chrstrandcoord,gene,shoot1,shoot2,shoot3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,anther1,anther2,anther3
Chr4+19677678,LOC_Os04g32650,1,1,1,0,0,0,0,0,2,0,0,0
Chr4+19682169,LOC_Os04g32650,28,36,37,36,36,27,32,24,34,2,2,0
Chr4+19682000,LOC_Os04g32650,159,160,160,153,154,159,88,91,83,18,18,25
Chr4+19693301,LOC_Os04g32670,69,79,61,170,197,160,97,91,92,51,42,58
Chr4+19694653,LOC_Os04g32670,1,1,1,0,1,1,4,6,3,1,1,1
Chr4-20046676,LOC_Os04g33110,0,0,0,1,0,0,0,0,0,0,0,0
Chr4-20045934,LOC_Os04g33110,1558,1321,1568,4122,4254,3997,983,1146,981,417,389,424
Chr4-20124695,LOC_Os04g33280,29,16,20,56,48,55,11,2,27,14,13,15
Chr4-20124949,LOC_Os04g33280,0,0,1,5,0,6,0,0,0,0,1,1
Chr4-20125077,LOC_Os04g33280,80,70,83,84,94,98,19,21,22,67,50,67
Chr4+20872624,LOC_Os04g34450,0,0,0,0,0,0,1,2,2,0,0,1
Chr4+20872284,LOC_Os04g34450,138,124,138,89,91,71,128,112,128,202,236,207
Chr4+20865574,LOC_Os04g34450,0,1,1,0,0,0,0,0,0,2,1,1
Chr4+21268294,LOC_Os04g34984,0,4,3,1,0,1,2,2,0,8,12,9
Chr4+21268742,LOC_Os04g34984,1,0,0,0,0,0,0,0,0,0,0,0
Chr4+21265387,LOC_Os04g34984,0,0,0,1,1,1,0,0,0,0,0,0
Chr4+21267966,LOC_Os04g34984,1,0,0,0,0,0,1,1,1,0,0,1
Chr4+21268220,LOC_Os04g34984,31,49,45,60,54,54,34,31,37,48,47,61
Chr4-21461913,LOC_Os04g35290,4,1,1,3,2,3,2,1,1,1,1,2
Chr4-21462280,LOC_Os04g35290,0,0,1,2,2,2,0,0,2,1,2,0
Chr4-21462068,LOC_Os04g35290,75,74,84,137,98,119,123,111,129,15,36,38
Chr4+21847904,LOC_Os04g35840,26,23,11,13,11,12,13,8,11,4,10,10
Chr4+21848067,LOC_Os04g35840,175,172,183,203,208,195,92,75,88,87,92,85
Chr4-22837568,LOC_Os04g38410,0,0,0,0,0,0,0,3,0,0,0,3
Chr4-22835915,LOC_Os04g38410,33448,33726,33788,1677,1798,2019,419,404,393,564,643,533
Chr4-23182531,LOC_Os04g39030,13,3,2,1,0,1,1,1,1,3,6,3
Chr4-23178432,LOC_Os04g39030,0,0,0,0,0,0,1,2,1,63,64,67
Chr4+24375527,LOC_Os04g41100,2,0,2,1,1,1,0,0,0,1,2,2
Chr4+24377215,LOC_Os04g41100,3,2,1,0,0,1,1,1,1,0,0,0
Chr4+24375624,LOC_Os04g41100,0,0,0,0,0,0,0,1,2,0,0,0
Chr4+24376982,LOC_Os04g41100,0,11,7,9,5,11,0,2,2,2,2,4
Chr4+24375892,LOC_Os04g41100,3,0,1,1,1,0,1,0,0,0,2,1
Chr4+24378221,LOC_Os04g41100,12,12,11,19,9,9,6,8,10,10,9,5
Chr4+24378067,LOC_Os04g41100,5,2,5,0,2,3,0,0,0,3,2,1
Chr4+24376899,LOC_Os04g41100,21,16,10,22,17,24,5,5,5,14,4,11
Chr4+24375297,LOC_Os04g41100,69,46,45,130,137,120,36,35,43,66,67,79
Chr4+24376800,LOC_Os04g41100,0,0,2,0,6,0,3,1,0,2,0,6
Chr4+24377050,LOC_Os04g41100,0,3,0,0,0,1,0,0,0,0,0,0
Chr4+24378165,LOC_Os04g41100,3,3,4,1,4,5,0,0,0,0,1,1
Chr4+24375988,LOC_Os04g41100,1,1,1,0,0,0,1,1,1,0,0,0
Chr4+24377632,LOC_Os04g41100,7,9,5,13,14,3,5,9,7,7,10,9
Chr4+24468762,LOC_Os04g41229,52,72,64,7,8,19,58,59,59,0,0,0
Chr4+24462034,LOC_Os04g41229,1,2,1,0,0,0,8,1,2,0,0,0
Chr4+24505398,LOC_Os04g41280,3,3,3,0,1,0,8,4,10,29,27,33
Chr4+24503052,LOC_Os04g41280,8,4,3,10,17,11,4,3,3,6,5,5
Chr4+24515245,LOC_Os04g41310,20,12,12,74,66,62,7,12,6,0,0,0
Chr4+24515684,LOC_Os04g41310,0,0,0,10,10,7,0,0,0,0,0,0
Chr4+24515551,LOC_Os04g41310,1,0,0,10,11,7,0,0,0,0,0,0
Chr4+24515494,LOC_Os04g41310,42,2,15,150,142,149,6,3,10,0,0,0
Chr4+24515364,LOC_Os04g41310,10,9,12,71,92,79,7,8,0,0,0,1
Chr4+25548760,LOC_Os04g43150,27,29,18,17,19,18,26,29,34,98,63,56
Chr4+25548907,LOC_Os04g43150,45,42,39,35,35,48,38,40,39,67,52,59
Chr4+25548632,LOC_Os04g43150,0,0,0,0,0,0,0,0,0,5,3,2
Chr4-26023984,LOC_Os04g43916,129,86,11,39,37,46,74,89,91,23,23,24
Chr4-26024059,LOC_Os04g43916,5,4,7,3,0,3,6,9,8,1,0,0
Chr4+26494070,LOC_Os04g44710,2,15,11,4,4,5,13,9,13,32,26,26
Chr4+26494603,LOC_Os04g44710,0,2,2,1,3,0,1,0,0,1,1,1
Chr4+26494227,LOC_Os04g44710,7,10,8,1,1,1,6,3,6,17,6,17
Chr4-27260359,LOC_Os04g46020,84,99,76,82,74,64,76,76,76,89,103,119
Chr4-27260424,LOC_Os04g46020,6,9,9,2,2,4,0,8,2,7,7,2
Chr4-27260178,LOC_Os04g46020,14,8,10,8,7,11,5,15,23,11,12,9
Chr4+28081226,LOC_Os04g47290,10,10,10,7,17,18,3,6,1,5,7,7
Chr4+28080026,LOC_Os04g47290,0,4,3,0,1,0,0,1,1,0,0,2
Chr4+28079833,LOC_Os04g47290,1,1,0,0,0,2,1,1,1,1,0,2
Chr4+28079988,LOC_Os04g47290,5,1,7,0,0,0,1,2,1,1,3,2
Chr4+28081326,LOC_Os04g47290,1,2,1,2,1,0,0,0,1,0,1,2
Chr4+30018691,LOC_Os04g50740,2,2,2,0,0,0,0,1,1,0,1,0
Chr4+30021075,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,3,2
Chr4+30018590,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,1,0
Chr4+30020951,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30017597,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30017765,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,1
Chr4-30198541,LOC_Os04g51009,0,0,0,0,0,0,0,0,0,0,0,0
Chr4-30195970,LOC_Os04g51009,3,3,3,5,5,5,1,4,0,3,3,2
Chr4+30431433,LOC_Os04g51380,0,0,0,0,1,1,0,0,2,1,0,0
Chr4+30431682,LOC_Os04g51380,13,27,25,30,25,29,34,42,31,14,22,14
Chr4-30510410,LOC_Os04g51500,12,6,7,7,4,14,5,4,6,9,8,11
Chr4-30511131,LOC_Os04g51500,3,4,0,0,0,0,0,0,0,0,3,1
Chr4-30510977,LOC_Os04g51500,24,26,31,25,22,23,20,20,24,11,14,12
Chr4-30511643,LOC_Os04g51500,0,0,0,0,0,0,0,0,0,0,0,0
Chr4-30888315,LOC_Os04g52020,0,0,0,0,0,0,0,0,0,0,0,0
Chr4-30888160,LOC_Os04g52020,21,21,23,22,19,22,12,11,16,18,40,51
Chr4-30901964,LOC_Os04g52020,0,0,0,2,2,2,4,1,4,1,4,4
Chr4-32339713,LOC_Os04g54330,125,131,108,201,194,213,176,174,186,126,101,115
Chr4-32341122,LOC_Os04g54330,15,14,12,6,8,6,31,25,27,35,28,32
Chr4-32341286,LOC_Os04g54330,4,0,0,2,3,2,8,16,3,9,7,4
Chr4-32340906,LOC_Os04g54330,4,2,2,1,0,1,0,11,10,2,3,1
Chr4-32340699,LOC_Os04g54330,0,0,0,0,0,0,2,1,1,0,0,1
Chr4+32365038,LOC_Os04g54390,32,37,36,4,0,7,30,30,33,3,0,0
Chr4+32364856,LOC_Os04g54390,2,0,4,0,0,0,6,7,4,1,1,0
Chr4+32481960,LOC_Os04g54630,10,10,14,19,19,19,2,2,5,8,9,9
Chr4+32482344,LOC_Os04g54630,88,76,85,313,244,301,4,7,5,81,59,49
Chr4-32955890,LOC_Os04g55410,31,62,62,62,65,64,76,90,74,33,36,37
Chr4-32955709,LOC_Os04g55410,26,16,23,38,37,35,27,24,33,17,16,18
Chr4-32955999,LOC_Os04g55410,56,60,57,72,64,74,110,115,117,20,48,32
Chr4-32959349,LOC_Os04g55410,0,0,0,1,1,0,1,1,1,1,3,0
Chr4-33604477,LOC_Os04g56370,0,0,0,0,0,0,1,1,1,0,6,0
Chr4-33604414,LOC_Os04g56370,31,32,33,6,5,6,2,1,3,0,1,3
Chr4-34088194,LOC_Os04g57220,890,937,910,6866,6425,6868,832,833,854,1545,1659,1486
Chr4-34087823,LOC_Os04g57220,176,240,267,704,678,713,154,177,163,309,296,288
Chr4+34094547,LOC_Os04g57230,4,1,0,2,1,0,0,4,0,0,0,1
Chr4+34095241,LOC_Os04g57230,5,0,1,0,1,0,1,1,1,7,7,4
Chr4+34095364,LOC_Os04g57230,10,12,11,18,14,6,7,9,8,12,11,11
Chr4-35104853,LOC_Os04g59010,0,0,0,0,0,0,0,0,0,0,1,0
Chr4-35105039,LOC_Os04g59010,0,1,0,0,2,1,0,0,0,0,0,0
Chr4-35105259,LOC_Os04g59010,76,68,53,46,48,45,99,102,88,50,61,49
Chr4+35380940,LOC_Os04g59494,1,0,1,0,0,0,1,1,1,1,2,1
Chr4+35382163,LOC_Os04g59494,1491,1464,1505,110,99,81,69,73,70,27,22,20
Chr4+35381104,LOC_Os04g59494,0,0,0,1,1,1,0,0,0,2,0,3
Chr4+35381191,LOC_Os04g59494,79,56,67,57,57,53,162,91,132,45,72,25
Chr5-152021,LOC_Os05g01210,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-150149,LOC_Os05g01210,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-150331,LOC_Os05g01210,1,0,0,0,0,0,0,0,0,0,0,0
Chr5-149984,LOC_Os05g01210,38,37,41,54,60,42,23,25,23,69,70,77
Chr5-149814,LOC_Os05g01210,3,0,0,1,0,0,0,2,1,6,2,6
Chr5+256928,LOC_Os05g01444,1,2,4,0,0,0,0,0,0,2,2,0
Chr5+258397,LOC_Os05g01444,2,4,2,0,0,1,1,1,2,1,0,1
Chr5+256962,LOC_Os05g01444,2,2,3,1,1,1,3,0,1,1,2,1
Chr5+297254,LOC_Os05g01500,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+297106,LOC_Os05g01500,36,38,37,13,13,12,33,32,33,16,18,19
Chr5-2378523,LOC_Os05g04940,8,9,2,28,31,20,14,18,12,4,6,11
Chr5-2378752,LOC_Os05g04940,0,1,0,0,5,2,6,4,5,6,9,9
Chr5-2705818,LOC_Os05g05440,8,14,19,6,6,2,12,10,10,57,59,43
Chr5-2704029,LOC_Os05g05440,0,0,0,0,1,1,1,0,1,0,0,2
Chr5-2703872,LOC_Os05g05440,0,0,0,0,0,0,0,0,0,7,12,7
Chr5-2703669,LOC_Os05g05440,41,40,43,105,87,87,28,42,24,337,335,299
Chr5-2703988,LOC_Os05g05440,0,0,0,0,0,0,0,1,0,0,0,0
Chr5-2716805,LOC_Os05g05460,10,10,10,2,2,1,7,2,8,0,0,0
Chr5-2716915,LOC_Os05g05460,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3011181,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3010904,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3009851,LOC_Os05g06014,0,0,0,0,0,0,1,3,2,0,0,0
Chr5-3010793,LOC_Os05g06014,0,1,0,2,1,1,0,0,0,0,0,0
Chr5-3011730,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,1,0,1
Chr5-3011594,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3008702,LOC_Os05g06014,24,27,23,42,28,26,78,81,53,89,94,103
Chr5-3009030,LOC_Os05g06014,1,0,0,0,0,0,0,0,0,0,1,0
Chr5-3011386,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3245605,LOC_Os05g06340,12,11,13,6,8,5,6,8,4,2,2,2
Chr5-3245447,LOC_Os05g06340,105,121,120,136,122,133,98,56,100,22,23,20
Chr5+4105902,LOC_Os05g07640,24,20,37,12,10,13,27,29,28,22,13,13
Chr5+4105739,LOC_Os05g07640,62,49,56,54,56,46,129,98,123,92,97,91
Chr5+4408160,LOC_Os05g08090,0,2,2,18,16,11,2,0,1,10,5,8
Chr5+4407066,LOC_Os05g08090,15,28,16,31,33,32,21,28,15,34,19,27
Chr5+4560816,LOC_Os05g08360,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+4562425,LOC_Os05g08360,100,102,70,70,61,76,454,520,484,106,128,121
Chr5+5444923,LOC_Os05g09630,41,42,39,58,54,64,35,30,27,86,91,64
Chr5+5445216,LOC_Os05g09630,3,3,6,7,5,2,1,2,6,5,4,3
Chr5+5444789,LOC_Os05g09630,0,0,0,0,0,0,0,0,0,0,1,1
Chr5+5750897,LOC_Os05g10570,0,0,0,2,2,2,0,0,1,0,0,1
Chr5+5750938,LOC_Os05g10570,4,4,4,4,1,1,1,1,2,1,2,0
Chr5+5751232,LOC_Os05g10570,2,0,2,3,4,3,0,0,0,3,1,5
Chr5+8039679,LOC_Os05g14300,2,3,2,0,2,0,1,1,1,4,6,10
Chr5+8039388,LOC_Os05g14300,30,28,38,63,63,63,32,31,28,164,149,130
Chr5+8445893,LOC_Os05g14860,0,1,0,0,0,0,0,0,0,0,0,0
Chr5+8441324,LOC_Os05g14860,0,0,0,0,0,0,1,2,0,2,1,1
Chr5+8445685,LOC_Os05g14860,186,172,165,246,237,228,123,132,114,184,171,134
Chr5+11318018,LOC_Os05g19470,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+11319833,LOC_Os05g19470,3,5,3,6,8,8,4,4,4,28,36,35
Chr5+11319749,LOC_Os05g19470,0,0,0,2,0,2,0,0,2,1,2,0
Chr5+11316107,LOC_Os05g19470,2,3,0,3,6,9,4,1,4,14,2,11
Chr5+11318339,LOC_Os05g19470,1,0,0,5,4,6,0,0,1,3,4,5
Chr5+11319113,LOC_Os05g19470,3,0,3,2,1,2,0,3,4,0,4,0
Chr5+11318948,LOC_Os05g19470,4,0,0,0,1,0,1,3,0,11,11,12
Chr5-13610694,LOC_Os05g23720,832,740,810,515,454,406,720,753,753,589,581,550
Chr5-13610558,LOC_Os05g23720,13,7,15,7,6,15,13,14,13,5,5,5
Chr5-13613559,LOC_Os05g23720,1,1,0,0,0,0,0,0,0,0,0,0
Chr5+14773095,LOC_Os05g25400,13,14,15,7,9,7,2,0,1,2,2,1
Chr5+14772808,LOC_Os05g25400,29,45,32,2,1,11,1,2,1,3,6,0
Chr5+14772943,LOC_Os05g25400,14,22,15,5,5,8,1,1,0,3,0,3
Chr5-16421620,LOC_Os05g28090,21,17,23,2,3,2,0,0,0,0,1,0
Chr5-16421717,LOC_Os05g28090,17,14,8,11,11,2,0,0,0,1,1,0
Chr5-16421555,LOC_Os05g28090,24,35,15,5,5,7,0,1,1,0,0,0
Chr5-16503182,LOC_Os05g28190,95,122,95,191,150,185,130,106,103,89,98,87
Chr5-16502944,LOC_Os05g28190,150,165,178,119,134,135,196,189,194,141,150,129
Chr5+16691067,LOC_Os05g28500,217,205,209,182,231,142,75,56,70,86,102,110
Chr5+16691249,LOC_Os05g28500,3,4,5,4,3,5,1,0,0,2,3,2
Chr5-16704728,LOC_Os05g28520,38,25,27,0,0,0,2,2,2,0,0,0
Chr5-16702087,LOC_Os05g28520,106,119,108,5,3,4,19,22,22,13,28,22
Chr5+17548974,LOC_Os05g30280,0,1,1,1,0,0,0,1,1,1,1,1
Chr5+17552298,LOC_Os05g30280,1,2,0,8,2,11,8,6,6,0,1,0
Chr5+17551303,LOC_Os05g30280,3,3,0,0,0,0,0,1,1,0,0,0
Chr5+18470650,LOC_Os05g31720,16,3,2,1,0,1,0,0,1,170,154,167
Chr5+18468220,LOC_Os05g31720,1,0,0,1,1,1,1,1,1,0,0,0
Chr5-19327433,LOC_Os05g32970,162,156,165,297,250,302,174,169,171,178,213,199
Chr5-19327896,LOC_Os05g32970,3,6,12,4,6,6,6,7,4,4,4,4
Chr5-20263846,LOC_Os05g34230,40,33,35,63,49,64,12,16,11,44,39,38
Chr5-20263897,LOC_Os05g34230,0,0,2,0,0,0,0,0,1,1,0,1
Chr5-20264338,LOC_Os05g34230,1,0,0,1,0,1,1,0,0,0,1,2
Chr5-21214833,LOC_Os05g35740,178,175,194,749,753,749,204,192,148,186,215,236
Chr5-21216004,LOC_Os05g35740,0,0,0,0,0,0,1,1,1,0,1,0
Chr5-23080701,LOC_Os05g39350,1,13,5,0,2,0,19,17,7,0,0,1
Chr5-23081204,LOC_Os05g39350,25,35,37,6,4,4,29,34,25,1,0,1
Chr5-23080918,LOC_Os05g39350,75,73,70,11,7,19,69,64,53,4,4,2
Chr5+23646570,LOC_Os05g40260,4,9,2,2,1,3,1,1,0,1,1,0
Chr5+23646793,LOC_Os05g40260,5,4,8,1,1,0,0,1,1,0,0,0
Chr5+23646947,LOC_Os05g40260,3,1,4,0,0,1,0,0,4,0,0,0
Chr5+23646682,LOC_Os05g40260,185,129,139,26,38,41,20,16,16,4,8,10
Chr5-23903677,LOC_Os05g40770,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-23903866,LOC_Os05g40770,0,1,1,0,0,0,0,0,0,0,0,0
Chr5-23899487,LOC_Os05g40770,28,0,11,14,13,13,39,31,46,22,21,26
Chr5+23997619,LOC_Os05g40910,1,2,3,10,12,11,3,0,1,5,4,5
Chr5+23997165,LOC_Os05g40910,19,7,12,29,15,23,3,3,1,8,8,8
Chr5-24154004,LOC_Os05g41240,0,1,0,8,7,7,0,0,1,2,2,0
Chr5-24153894,LOC_Os05g41240,4,1,10,3,7,7,2,2,2,5,3,16
Chr5-24158021,LOC_Os05g41240,0,0,0,1,0,0,1,1,0,2,1,1
Chr5-24154145,LOC_Os05g41240,47,46,60,128,95,85,49,49,48,38,33,31
Chr5+25003740,LOC_Os05g43060,5,6,8,5,7,7,2,2,4,34,28,25
Chr5+25015240,LOC_Os05g43060,0,0,0,0,0,0,0,0,0,1,0,0
Chr5+25014809,LOC_Os05g43060,129,106,107,207,302,284,111,103,122,184,177,165
Chr5+25003943,LOC_Os05g43060,2,3,0,0,0,0,0,0,0,0,1,1
Chr5+25955576,LOC_Os05g44610,2,12,7,1,1,0,1,3,2,18,11,23
Chr5+25955711,LOC_Os05g44610,8,5,14,1,1,1,7,7,7,18,11,14
Chr5+25955830,LOC_Os05g44610,0,1,1,0,0,1,1,1,2,0,5,7
Chr5-26237578,LOC_Os05g45210,177,154,127,30,33,27,179,150,176,74,71,75
Chr5-26238026,LOC_Os05g45210,0,0,0,0,0,0,1,0,3,0,0,0
Chr5+26560015,LOC_Os05g45840,24,27,25,29,61,55,64,68,70,14,15,12
Chr5+26559970,LOC_Os05g45840,4,0,0,4,2,2,5,4,5,0,0,0
Chr5+26559853,LOC_Os05g45840,0,0,0,0,1,1,2,2,3,0,0,0
Chr5+26938254,LOC_Os05g46500,41,39,35,66,60,58,40,49,52,43,44,41
Chr5+26938658,LOC_Os05g46500,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-27701827,LOC_Os05g48330,1,0,0,0,0,0,3,3,3,1,1,1
Chr5-27702121,LOC_Os05g48330,48,52,33,47,31,37,104,99,117,43,30,43
Chr5-27701941,LOC_Os05g48330,3,4,3,3,0,1,15,13,14,10,8,0
Chr5-27703689,LOC_Os05g48330,0,0,0,0,0,0,1,0,0,0,0,0
Chr5+27807427,LOC_Os05g48510,230,235,238,162,164,164,337,335,324,81,90,71
Chr5+27807002,LOC_Os05g48510,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-28476339,LOC_Os05g49630,1,1,2,3,0,1,2,1,1,3,3,3
Chr5-28473688,LOC_Os05g49630,0,0,0,2,4,4,3,3,3,13,21,18
Chr5-28473600,LOC_Os05g49630,1,0,0,0,0,0,2,0,1,8,12,14
Chr5-28871886,LOC_Os05g50380,1,3,0,0,0,0,0,0,0,8,8,8
Chr5-28871811,LOC_Os05g50380,68,68,63,69,53,56,12,8,1,477,437,490
Chr5+28940830,LOC_Os05g50480,2,1,2,0,0,0,0,1,1,0,0,0
Chr5+28942987,LOC_Os05g50480,1,2,1,0,0,0,2,1,1,2,1,1
Chr5+28948384,LOC_Os05g50480,101,99,112,127,117,126,167,170,153,154,143,150
Chr5+28948519,LOC_Os05g50480,0,3,3,2,1,4,5,5,5,6,4,7
Chr5+28948271,LOC_Os05g50480,2,2,2,0,1,3,0,1,3,4,6,6
Chr5+29616053,LOC_Os05g51630,0,0,0,2,1,0,0,0,0,0,0,1
Chr5+29616221,LOC_Os05g51630,55,46,43,73,72,73,38,26,33,91,109,114
Chr5+29616434,LOC_Os05g51630,8,6,3,16,10,7,1,0,1,12,12,19
Chr6+409962,LOC_Os06g01680,5,19,7,14,32,15,17,13,20,44,36,44
Chr6+410144,LOC_Os06g01680,54,80,55,54,39,53,48,52,45,47,52,41
Chr6+925182,LOC_Os06g02600,74,50,73,90,88,92,169,133,183,99,88,99
Chr6+924568,LOC_Os06g02600,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+923649,LOC_Os06g02600,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+1923594,LOC_Os06g04480,9,23,18,32,42,34,2,2,2,0,0,3
Chr6+1923233,LOC_Os06g04480,11,9,8,25,13,25,0,0,0,0,1,0
Chr6-2498984,LOC_Os06g05520,53,55,50,81,84,76,52,45,44,50,20,72
Chr6-2500522,LOC_Os06g05520,0,0,0,0,0,0,1,1,2,4,3,5
Chr6-2500900,LOC_Os06g05520,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+2576703,LOC_Os06g05690,2,2,4,0,0,0,104,111,112,0,0,0
Chr6+2576776,LOC_Os06g05690,1,0,0,0,0,1,10,29,23,0,0,0
Chr6+2702290,LOC_Os06g05900,7,7,3,7,8,7,4,4,4,11,3,11
Chr6+2705022,LOC_Os06g05900,6,17,9,8,16,34,13,4,19,18,15,15
Chr6+3203919,LOC_Os06g06790,9,10,10,0,0,0,48,47,44,2,10,10
Chr6+3203821,LOC_Os06g06790,12,17,13,0,0,0,69,59,74,14,17,18
Chr6-3256753,LOC_Os06g06870,0,0,0,0,0,0,0,0,0,0,0,0
Chr6-3250547,LOC_Os06g06870,9,14,24,26,28,29,17,9,11,59,56,52
Chr6-3256457,LOC_Os06g06870,0,0,0,0,0,0,0,0,0,5,4,3
Chr6+3338153,LOC_Os06g07030,27,20,23,535,539,543,40,44,42,203,271,229
Chr6+3338864,LOC_Os06g07030,0,0,1,0,0,0,0,3,1,3,12,0
Chr6+3338599,LOC_Os06g07030,0,0,0,0,0,0,0,1,0,0,1,0
Chr6+4540239,LOC_Os06g09020,73,70,69,117,116,127,123,113,105,84,92,90
Chr6+4540523,LOC_Os06g09020,5,2,1,18,16,20,14,15,20,8,8,7
Chr6+4868760,LOC_Os06g09560,7,10,6,1,2,2,4,5,4,3,8,3
Chr6+4869574,LOC_Os06g09560,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+4870069,LOC_Os06g09560,45,41,45,0,1,0,72,68,62,27,30,25
Chr6+4869341,LOC_Os06g09560,4,2,4,0,0,0,1,2,1,3,3,1
Chr6+5427193,LOC_Os06g10520,56,59,63,286,305,293,179,211,171,48,35,29
Chr6+5421314,LOC_Os06g10520,2,0,0,1,1,1,0,1,1,0,0,0
Chr6+5427119,LOC_Os06g10520,4,5,3,29,28,28,15,16,17,7,3,2
Chr6-6036960,LOC_Os06g11440,3,2,3,2,0,2,1,0,0,7,5,2
Chr6-6045572,LOC_Os06g11440,4,1,0,0,0,0,0,1,1,4,3,0
Chr6-6036738,LOC_Os06g11440,18,30,30,34,33,22,33,28,25,16,21,22
Chr6+6734093,LOC_Os06g12400,0,0,0,0,1,0,0,0,1,3,3,3
Chr6+6733997,LOC_Os06g12400,0,0,0,0,0,0,0,0,0,0,2,0
Chr6+6734446,LOC_Os06g12400,27,33,30,54,65,49,38,47,37,52,39,47
Chr6+7496628,LOC_Os06g13570,14,11,12,37,39,39,10,9,13,22,11,10
Chr6+7488115,LOC_Os06g13570,12,9,5,6,16,14,7,7,14,7,9,2
Chr6+8316861,LOC_Os06g14740,95,95,96,131,124,162,30,80,68,60,60,52
Chr6+8316719,LOC_Os06g14740,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+8314693,LOC_Os06g14740,1,0,0,0,0,0,1,0,0,0,0,0
Chr6-8598272,LOC_Os06g15170,12,19,13,0,7,1,0,0,0,0,2,1
Chr6-8597895,LOC_Os06g15170,80,93,87,0,1,3,0,0,0,11,11,11
Chr6-8758767,LOC_Os06g15420,14,21,17,7,7,7,11,14,13,6,6,5
Chr6-8759043,LOC_Os06g15420,359,329,345,75,74,73,212,248,213,134,143,155
Chr6+10927115,LOC_Os06g19200,42,47,35,58,75,74,2,10,11,60,55,53
Chr6+10927366,LOC_Os06g19200,14,14,13,17,19,13,4,8,1,10,12,7
Chr6-13302551,LOC_Os06g22820,72,73,71,329,329,336,72,69,88,67,77,45
Chr6-13302263,LOC_Os06g22820,0,0,0,2,0,1,1,0,1,0,0,1
Chr6+13384654,LOC_Os06g22919,2,2,4,46,61,74,0,1,0,14,12,12
Chr6+13390409,LOC_Os06g22919,1,3,4,210,200,234,442,419,343,56,56,53
Chr6+13379165,LOC_Os06g22919,0,0,0,0,6,6,0,0,0,0,1,1
Chr6+13651201,LOC_Os06g23390,0,0,0,1,1,1,3,2,4,0,0,0
Chr6+13651306,LOC_Os06g23390,18,14,13,0,0,0,0,1,0,10,18,16
Chr6-14897115,LOC_Os06g25500,5,9,6,8,9,7,1,3,0,2,4,3
Chr6-14897441,LOC_Os06g25500,0,0,1,2,1,4,0,0,0,0,1,1
Chr6-14897283,LOC_Os06g25500,6,7,5,22,6,15,5,8,1,4,3,3
Chr6+16510334,LOC_Os06g28970,0,0,0,0,0,0,0,0,0,0,4,3
Chr6+16512798,LOC_Os06g28970,210,208,209,58,46,58,71,85,76,66,67,65
Chr6-16991756,LOC_Os06g29630,13,4,9,17,19,19,9,6,9,5,8,4
Chr6-16993466,LOC_Os06g29630,0,0,0,0,0,0,3,1,2,0,0,0
Chr6-18159030,LOC_Os06g31220,0,1,3,7,10,7,2,2,3,3,4,2
Chr6-18158753,LOC_Os06g31220,4,5,5,5,6,11,4,5,1,6,4,4
Chr6-18159497,LOC_Os06g31220,6,4,9,2,2,1,2,4,3,2,3,2
Chr6-18158673,LOC_Os06g31220,2,2,0,6,5,2,2,2,1,0,0,0
Chr6-18160069,LOC_Os06g31220,0,0,0,1,1,1,2,1,1,0,0,0
Chr6+19418434,LOC_Os06g33330,0,0,0,1,1,0,1,0,0,2,1,1
Chr6+19418158,LOC_Os06g33330,0,0,0,1,3,0,0,0,2,1,1,0
Chr6+19418311,LOC_Os06g33330,10,9,7,12,12,15,7,12,16,18,13,21
Chr6+19418486,LOC_Os06g33330,1,0,1,2,1,1,1,2,3,0,3,9
Chr6+19417156,LOC_Os06g33330,1,1,1,0,0,0,4,2,3,0,0,0
Chr6-20034728,LOC_Os06g34440,0,0,0,0,0,0,0,0,0,1,0,1
Chr6-20035117,LOC_Os06g34440,82,74,49,91,87,92,51,63,42,33,46,41
Chr6-20034649,LOC_Os06g34440,1,1,5,1,0,0,3,0,2,3,3,1
Chr6-20223915,LOC_Os06g34790,2070,1716,1706,555,610,544,645,588,568,250,229,236
