chrstrandcoord,gene,endosperm1,endosperm2,endosperm3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,embryo1,embryo2,embryo3
Chr4+19418720,LOC_Os04g32370,22,18,21,67,65,69,45,35,42,19,10,23
Chr4+19677678,LOC_Os04g32650,5,0,9,0,0,0,0,0,0,0,0,0
Chr4+19682169,LOC_Os04g32650,2,2,1,56,49,48,36,36,27,5,5,7
Chr4+19682000,LOC_Os04g32650,74,72,80,228,214,215,153,154,159,107,65,95
Chr4+19693301,LOC_Os04g32670,161,179,143,107,124,114,170,197,160,85,84,85
Chr4+19694653,LOC_Os04g32670,9,1,5,1,0,1,0,1,1,7,12,15
Chr4-20046676,LOC_Os04g33110,1,1,3,2,1,2,1,0,0,5,7,22
Chr4-20045934,LOC_Os04g33110,598,605,493,2343,2464,2168,4122,4254,3997,444,456,445
Chr4-20124695,LOC_Os04g33280,22,20,16,88,99,92,56,48,55,31,6,20
Chr4-20124949,LOC_Os04g33280,9,8,9,3,4,2,5,0,6,4,6,4
Chr4-20125077,LOC_Os04g33280,86,57,111,121,124,106,84,94,98,108,107,140
Chr4+20872624,LOC_Os04g34450,13,5,4,1,0,0,0,0,0,12,16,3
Chr4+20872284,LOC_Os04g34450,238,228,147,100,89,97,89,91,71,178,157,175
Chr4+20865574,LOC_Os04g34450,3,3,4,0,0,0,0,0,0,2,2,0
Chr4+21268294,LOC_Os04g34984,3,6,9,1,2,1,1,0,1,2,1,1
Chr4+21268742,LOC_Os04g34984,5,0,5,0,0,0,0,0,0,10,13,7
Chr4+21265387,LOC_Os04g34984,4,0,0,0,1,0,1,1,1,1,1,0
Chr4+21267966,LOC_Os04g34984,24,0,17,0,0,0,0,0,0,1,1,2
Chr4+21268220,LOC_Os04g34984,31,28,87,43,48,40,60,54,54,56,77,30
Chr4-21461913,LOC_Os04g35290,1,2,0,1,1,3,3,2,3,4,3,2
Chr4-21462280,LOC_Os04g35290,9,9,1,0,0,0,2,2,2,7,5,8
Chr4-21462068,LOC_Os04g35290,29,102,85,73,86,87,137,98,119,45,72,81
Chr4+21847904,LOC_Os04g35840,18,1,16,4,3,2,13,11,12,12,12,12
Chr4+21848067,LOC_Os04g35840,147,119,107,91,98,95,203,208,195,31,30,29
Chr4-22837568,LOC_Os04g38410,0,0,0,0,0,1,0,0,0,0,1,2
Chr4-22835915,LOC_Os04g38410,88,227,180,16116,15671,16019,1677,1798,2019,4,15,9
Chr4-23182531,LOC_Os04g39030,2,3,0,1,0,0,1,0,1,2,0,1
Chr4-23178432,LOC_Os04g39030,0,0,0,1,1,1,0,0,0,0,0,0
Chr4+24375527,LOC_Os04g41100,6,3,3,0,0,0,1,1,1,11,10,9
Chr4+24377215,LOC_Os04g41100,1,0,0,3,10,1,0,0,1,6,11,1
Chr4+24375624,LOC_Os04g41100,9,7,4,0,0,0,0,0,0,0,1,0
Chr4+24376982,LOC_Os04g41100,0,0,0,9,10,9,9,5,11,0,0,0
Chr4+24375892,LOC_Os04g41100,9,4,3,3,6,1,1,1,0,0,0,0
Chr4+24378221,LOC_Os04g41100,1,4,4,11,15,14,19,9,9,4,0,5
Chr4+24378067,LOC_Os04g41100,0,0,0,1,6,0,0,2,3,0,0,0
Chr4+24376899,LOC_Os04g41100,7,6,1,30,31,26,22,17,24,3,3,3
Chr4+24375297,LOC_Os04g41100,203,196,198,143,161,156,130,137,120,95,96,101
Chr4+24376800,LOC_Os04g41100,2,0,1,7,3,5,0,6,0,5,3,4
Chr4+24377050,LOC_Os04g41100,0,0,0,0,0,0,0,0,1,0,0,0
Chr4+24378165,LOC_Os04g41100,0,0,0,3,4,3,1,4,5,3,1,8
Chr4+24375988,LOC_Os04g41100,9,6,3,0,0,0,0,0,0,2,0,0
Chr4+24377632,LOC_Os04g41100,50,47,12,14,14,13,13,14,3,28,28,16
Chr4+24468762,LOC_Os04g41229,0,2,1,60,69,67,7,8,19,0,0,0
Chr4+24462034,LOC_Os04g41229,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+24505398,LOC_Os04g41280,0,0,0,0,0,0,0,1,0,1,0,1
Chr4+24503052,LOC_Os04g41280,196,156,278,10,3,7,10,17,11,151,151,155
Chr4+24515245,LOC_Os04g41310,2,1,0,58,56,59,74,66,62,0,0,0
Chr4+24515684,LOC_Os04g41310,0,0,0,4,11,13,10,10,7,0,0,0
Chr4+24515551,LOC_Os04g41310,0,0,0,8,6,16,10,11,7,0,0,0
Chr4+24515494,LOC_Os04g41310,0,0,0,166,148,181,150,142,149,0,0,0
Chr4+24515364,LOC_Os04g41310,2,1,0,80,82,85,71,92,79,0,0,0
Chr4+25548760,LOC_Os04g43150,136,152,132,16,8,10,17,19,18,224,245,251
Chr4+25548907,LOC_Os04g43150,104,86,71,35,43,33,35,35,48,137,145,126
Chr4+25548632,LOC_Os04g43150,8,16,8,0,0,0,0,0,0,7,3,5
Chr4-26023984,LOC_Os04g43916,35,48,25,22,19,26,39,37,46,15,5,4
Chr4-26024059,LOC_Os04g43916,12,21,13,4,4,4,3,0,3,2,0,1
Chr4+26494070,LOC_Os04g44710,10,0,2,9,9,5,4,4,5,5,5,8
Chr4+26494603,LOC_Os04g44710,0,0,0,0,0,0,1,3,0,0,0,0
Chr4+26494227,LOC_Os04g44710,2,13,25,4,3,12,1,1,1,27,19,19
Chr4-27260359,LOC_Os04g46020,13,0,12,33,36,39,82,74,64,20,20,17
Chr4-27260424,LOC_Os04g46020,0,0,1,2,2,3,2,2,4,0,0,0
Chr4-27260178,LOC_Os04g46020,0,4,5,8,4,5,8,7,11,0,0,0
Chr4+28081226,LOC_Os04g47290,3,1,1,53,59,61,7,17,18,2,2,2
Chr4+28080026,LOC_Os04g47290,0,0,0,1,0,2,0,1,0,0,0,0
Chr4+28079833,LOC_Os04g47290,0,0,0,3,3,0,0,0,2,0,0,0
Chr4+28079988,LOC_Os04g47290,0,0,0,2,1,3,0,0,0,0,0,1
Chr4+28081326,LOC_Os04g47290,0,0,0,5,5,5,2,1,0,0,0,0
Chr4+30018691,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30021075,LOC_Os04g50740,11,12,6,0,0,0,0,0,0,17,30,25
Chr4+30018590,LOC_Os04g50740,0,5,2,0,0,0,0,0,0,5,0,5
Chr4+30020951,LOC_Os04g50740,7,2,11,0,0,0,0,0,0,11,8,14
Chr4+30017597,LOC_Os04g50740,10,17,16,0,0,0,0,0,0,7,10,11
Chr4+30017765,LOC_Os04g50740,12,20,12,0,0,0,0,0,0,28,11,15
Chr4-30198541,LOC_Os04g51009,0,0,0,0,0,1,0,0,0,0,0,0
Chr4-30195970,LOC_Os04g51009,1,0,3,10,4,7,5,5,5,6,0,0
Chr4+30431433,LOC_Os04g51380,3,5,2,0,0,0,0,1,1,8,12,8
Chr4+30431682,LOC_Os04g51380,31,1,27,31,38,30,30,25,29,22,26,21
Chr4-30510410,LOC_Os04g51500,3,1,0,5,4,3,7,4,14,13,13,12
Chr4-30511131,LOC_Os04g51500,0,0,0,0,1,1,0,0,0,7,5,4
Chr4-30510977,LOC_Os04g51500,20,16,11,39,38,41,25,22,23,20,28,31
Chr4-30511643,LOC_Os04g51500,0,5,0,1,0,3,0,0,0,0,0,0
Chr4-30888315,LOC_Os04g52020,6,15,4,1,0,0,0,0,0,0,18,15
Chr4-30888160,LOC_Os04g52020,32,37,30,30,30,33,22,19,22,17,18,22
Chr4-30901964,LOC_Os04g52020,8,2,35,4,2,6,2,2,2,0,1,0
Chr4-32339713,LOC_Os04g54330,218,239,222,166,167,181,201,194,213,290,171,243
Chr4-32341122,LOC_Os04g54330,11,144,126,4,3,3,6,8,6,4160,4109,2839
Chr4-32341286,LOC_Os04g54330,12,9,7,0,1,1,2,3,2,18,22,14
Chr4-32340906,LOC_Os04g54330,15,17,18,1,0,1,1,0,1,146,78,144
Chr4-32340699,LOC_Os04g54330,154,146,140,0,0,0,0,0,0,545,884,575
Chr4+32365038,LOC_Os04g54390,0,0,0,0,0,1,4,0,7,0,1,0
Chr4+32364856,LOC_Os04g54390,1,1,2,0,1,0,0,0,0,0,0,0
Chr4+32481960,LOC_Os04g54630,1,2,0,11,9,21,19,19,19,8,9,8
Chr4+32482344,LOC_Os04g54630,11,15,13,736,620,688,313,244,301,45,51,48
Chr4-32955890,LOC_Os04g55410,2,2,0,85,83,80,62,65,64,0,2,3
Chr4-32955709,LOC_Os04g55410,0,2,1,42,39,39,38,37,35,1,1,1
Chr4-32955999,LOC_Os04g55410,30,0,7,71,94,90,72,64,74,1,1,2
Chr4-32959349,LOC_Os04g55410,1,1,2,0,0,1,1,1,0,0,0,0
Chr4-33604477,LOC_Os04g56370,0,1,0,0,0,0,0,0,0,0,0,0
Chr4-33604414,LOC_Os04g56370,10,2,1,4,14,5,6,5,6,0,0,0
Chr4-34088194,LOC_Os04g57220,2495,2782,2340,3839,3963,3539,6866,6425,6868,3246,1808,3928
Chr4-34087823,LOC_Os04g57220,332,343,359,535,479,512,704,678,713,565,724,425
Chr4+34094547,LOC_Os04g57230,0,0,0,0,6,1,2,1,0,1,0,0
Chr4+34095241,LOC_Os04g57230,0,0,0,0,1,0,0,1,0,13,15,12
Chr4+34095364,LOC_Os04g57230,6,2,0,8,5,7,18,14,6,11,25,11
Chr4-35104853,LOC_Os04g59010,4,0,1,0,0,0,0,0,0,1,0,0
Chr4-35105039,LOC_Os04g59010,7,10,4,0,2,0,0,2,1,4,4,3
Chr4-35105259,LOC_Os04g59010,34,58,52,70,76,60,46,48,45,15,27,27
Chr4+35380940,LOC_Os04g59494,3,4,0,2,3,0,0,0,0,11,9,6
Chr4+35382163,LOC_Os04g59494,16,19,19,251,270,262,110,99,81,3,3,3
Chr4+35381104,LOC_Os04g59494,1,2,4,0,0,0,1,1,1,4,3,2
Chr4+35381191,LOC_Os04g59494,89,104,131,67,71,79,57,57,53,53,65,49
Chr5-152021,LOC_Os05g01210,6,8,6,0,0,0,0,0,0,0,0,0
Chr5-150149,LOC_Os05g01210,7,17,5,0,0,0,0,0,0,2,0,1
Chr5-150331,LOC_Os05g01210,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-149984,LOC_Os05g01210,258,263,220,69,71,73,54,60,42,37,36,40
Chr5-149814,LOC_Os05g01210,5,6,4,1,0,2,1,0,0,0,0,0
Chr5+256928,LOC_Os05g01444,3,5,0,1,0,0,0,0,0,0,0,0
Chr5+258397,LOC_Os05g01444,6,5,0,5,5,3,0,0,1,1,2,3
Chr5+256962,LOC_Os05g01444,0,1,1,1,1,1,1,1,1,2,3,2
Chr5+297254,LOC_Os05g01500,0,0,0,2,3,2,0,0,0,0,0,0
Chr5+297106,LOC_Os05g01500,51,47,47,14,16,19,13,13,12,70,53,60
Chr5-2378523,LOC_Os05g04940,18,47,25,12,14,20,28,31,20,20,21,17
Chr5-2378752,LOC_Os05g04940,14,28,30,2,7,8,0,5,2,17,25,28
Chr5-2705818,LOC_Os05g05440,11,10,11,0,1,1,6,6,2,14,11,12
Chr5-2704029,LOC_Os05g05440,0,0,0,0,0,0,0,1,1,2,1,2
Chr5-2703872,LOC_Os05g05440,3,1,2,0,0,0,0,0,0,0,1,0
Chr5-2703669,LOC_Os05g05440,51,45,23,114,124,115,105,87,87,46,44,15
Chr5-2703988,LOC_Os05g05440,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-2716805,LOC_Os05g05460,2,6,13,2,1,9,2,2,1,4,5,4
Chr5-2716915,LOC_Os05g05460,2,1,1,0,0,0,0,0,0,8,14,11
Chr5-3011181,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,6,5,3
Chr5-3010904,LOC_Os05g06014,8,1,2,0,0,0,0,0,0,13,11,12
Chr5-3009851,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,3,2,2
Chr5-3010793,LOC_Os05g06014,3,17,7,1,0,1,2,1,1,109,109,110
Chr5-3011730,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,9,9,12
Chr5-3011594,LOC_Os05g06014,2,0,0,0,0,0,0,0,0,16,15,18
Chr5-3008702,LOC_Os05g06014,6,2,1,8,9,15,42,28,26,85,74,56
Chr5-3009030,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,1,1,1
Chr5-3011386,LOC_Os05g06014,3,2,3,0,0,0,0,0,0,19,19,30
Chr5-3245605,LOC_Os05g06340,14,1,9,11,5,13,6,8,5,0,3,0
Chr5-3245447,LOC_Os05g06340,34,106,8,96,83,121,136,122,133,10,4,12
Chr5+4105902,LOC_Os05g07640,2,7,4,4,18,12,12,10,13,3,4,3
Chr5+4105739,LOC_Os05g07640,46,49,48,69,56,53,54,56,46,102,97,91
Chr5+4408160,LOC_Os05g08090,0,0,0,13,14,13,18,16,11,0,0,0
Chr5+4407066,LOC_Os05g08090,66,39,42,15,36,57,31,33,32,21,17,22
Chr5+4560816,LOC_Os05g08360,11,12,8,0,0,0,0,0,0,75,63,65
Chr5+4562425,LOC_Os05g08360,367,294,257,27,49,57,70,61,76,797,815,773
Chr5+5444923,LOC_Os05g09630,33,51,42,48,55,53,58,54,64,80,76,79
Chr5+5445216,LOC_Os05g09630,4,1,1,7,7,4,7,5,2,7,0,6
Chr5+5444789,LOC_Os05g09630,3,3,4,0,0,0,0,0,0,3,2,3
Chr5+5750897,LOC_Os05g10570,5,11,4,3,2,2,2,2,2,6,2,3
Chr5+5750938,LOC_Os05g10570,0,4,3,0,5,9,4,1,1,7,6,9
Chr5+5751232,LOC_Os05g10570,1,0,0,10,12,10,3,4,3,0,1,1
Chr5+8039679,LOC_Os05g14300,8,29,20,4,6,5,0,2,0,7,0,5
Chr5+8039388,LOC_Os05g14300,10,100,85,65,68,68,63,63,63,88,91,89
Chr5+8445893,LOC_Os05g14860,0,3,2,3,2,2,0,0,0,0,0,0
Chr5+8441324,LOC_Os05g14860,0,0,0,1,0,0,0,0,0,1,0,1
Chr5+8445685,LOC_Os05g14860,76,85,90,272,273,267,246,237,228,162,158,175
Chr5+11318018,LOC_Os05g19470,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+11319833,LOC_Os05g19470,0,2,0,4,0,16,6,8,8,11,10,5
Chr5+11319749,LOC_Os05g19470,1,2,2,2,0,0,2,0,2,0,0,1
Chr5+11316107,LOC_Os05g19470,21,12,18,0,1,4,3,6,9,17,9,17
Chr5+11318339,LOC_Os05g19470,1,12,3,8,0,8,5,4,6,1,1,1
Chr5+11319113,LOC_Os05g19470,0,0,0,4,0,8,2,1,2,0,0,1
Chr5+11318948,LOC_Os05g19470,0,0,1,1,0,1,0,1,0,0,0,0
Chr5-13610694,LOC_Os05g23720,594,623,596,224,233,230,515,454,406,1422,1458,1401
Chr5-13610558,LOC_Os05g23720,21,15,13,1,4,4,7,6,15,10,8,9
Chr5-13613559,LOC_Os05g23720,0,0,0,0,0,0,0,0,0,3,1,1
Chr5+14773095,LOC_Os05g25400,0,0,0,12,6,9,7,9,7,0,0,0
Chr5+14772808,LOC_Os05g25400,1,0,3,13,27,37,2,1,11,0,0,3
Chr5+14772943,LOC_Os05g25400,0,0,0,18,20,19,5,5,8,0,0,0
Chr5-16421620,LOC_Os05g28090,0,0,0,8,7,7,2,3,2,0,1,0
Chr5-16421717,LOC_Os05g28090,5,3,2,15,25,26,11,11,2,0,0,0
Chr5-16421555,LOC_Os05g28090,0,0,0,30,33,25,5,5,7,0,0,0
Chr5-16503182,LOC_Os05g28190,237,226,279,155,155,150,191,150,185,690,674,484
Chr5-16502944,LOC_Os05g28190,342,402,296,153,162,167,119,134,135,490,528,489
Chr5+16691067,LOC_Os05g28500,135,118,48,509,521,613,182,231,142,70,67,65
Chr5+16691249,LOC_Os05g28500,8,9,12,14,9,9,4,3,5,4,3,4
Chr5-16704728,LOC_Os05g28520,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-16702087,LOC_Os05g28520,4,6,9,8,8,8,5,3,4,15,18,10
Chr5+17548974,LOC_Os05g30280,0,3,1,2,3,1,1,0,0,0,3,0
Chr5+17552298,LOC_Os05g30280,1,4,0,3,3,7,8,2,11,2,0,2
Chr5+17551303,LOC_Os05g30280,0,1,1,0,0,0,0,0,0,1,1,0
Chr5+18470650,LOC_Os05g31720,1,1,0,1,1,0,1,0,1,0,0,0
Chr5+18468220,LOC_Os05g31720,1,0,0,0,0,0,1,1,1,0,0,0
Chr5-19327433,LOC_Os05g32970,144,188,192,744,1084,1328,297,250,302,80,69,90
Chr5-19327896,LOC_Os05g32970,0,2,0,13,9,13,4,6,6,1,3,9
Chr5-20263846,LOC_Os05g34230,11,9,1,157,126,121,63,49,64,20,23,18
Chr5-20263897,LOC_Os05g34230,5,6,6,1,2,2,0,0,0,0,0,0
Chr5-20264338,LOC_Os05g34230,3,18,7,0,2,1,1,0,1,5,4,3
Chr5-21214833,LOC_Os05g35740,1866,1551,2087,669,513,615,749,753,749,748,676,688
Chr5-21216004,LOC_Os05g35740,10,9,6,0,1,0,0,0,0,1,0,0
Chr5-23080701,LOC_Os05g39350,2,1,1,0,6,1,0,2,0,0,0,0
Chr5-23081204,LOC_Os05g39350,3,3,1,1,2,1,6,4,4,1,0,0
Chr5-23080918,LOC_Os05g39350,0,0,0,4,3,6,11,7,19,0,0,0
Chr5+23646570,LOC_Os05g40260,0,0,0,2,3,15,2,1,3,1,2,0
Chr5+23646793,LOC_Os05g40260,0,0,3,0,2,1,1,1,0,0,0,0
Chr5+23646947,LOC_Os05g40260,0,1,1,0,0,1,0,0,1,0,0,0
Chr5+23646682,LOC_Os05g40260,7,1,2,106,109,105,26,38,41,7,6,5
Chr5-23903677,LOC_Os05g40770,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-23903866,LOC_Os05g40770,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-23899487,LOC_Os05g40770,4,6,5,21,20,20,14,13,13,0,0,0
Chr5+23997619,LOC_Os05g40910,0,4,8,6,10,8,10,12,11,5,2,0
Chr5+23997165,LOC_Os05g40910,0,2,2,36,35,40,29,15,23,4,7,6
Chr5-24154004,LOC_Os05g41240,0,0,0,0,5,3,8,7,7,0,0,0
Chr5-24153894,LOC_Os05g41240,4,8,4,10,2,7,3,7,7,4,4,3
Chr5-24158021,LOC_Os05g41240,2,0,5,0,1,0,1,0,0,0,0,1
Chr5-24154145,LOC_Os05g41240,67,67,66,135,154,126,128,95,85,60,58,53
Chr5+25003740,LOC_Os05g43060,10,10,11,2,1,2,5,7,7,21,20,21
Chr5+25015240,LOC_Os05g43060,6,4,9,0,0,0,0,0,0,1,0,2
Chr5+25014809,LOC_Os05g43060,118,136,97,210,207,198,207,302,284,269,268,279
Chr5+25003943,LOC_Os05g43060,3,1,0,0,0,0,0,0,0,1,0,1
Chr5+25955576,LOC_Os05g44610,4,5,20,1,1,1,1,1,0,8,14,9
Chr5+25955711,LOC_Os05g44610,0,0,0,0,0,0,1,1,1,11,3,7
Chr5+25955830,LOC_Os05g44610,0,0,0,0,0,0,0,0,1,0,1,0
Chr5-26237578,LOC_Os05g45210,191,167,174,54,42,38,30,33,27,224,228,154
Chr5-26238026,LOC_Os05g45210,2,1,7,0,0,0,0,0,0,3,3,2
Chr5+26560015,LOC_Os05g45840,15,29,26,18,16,23,29,61,55,4,6,11
Chr5+26559970,LOC_Os05g45840,7,3,25,1,1,1,4,2,2,11,14,13
Chr5+26559853,LOC_Os05g45840,15,19,28,0,0,0,0,1,1,26,11,40
Chr5+26938254,LOC_Os05g46500,44,40,45,85,77,79,66,60,58,13,4,12
Chr5+26938658,LOC_Os05g46500,25,10,14,2,1,0,0,0,0,0,0,0
Chr5-27701827,LOC_Os05g48330,0,0,0,0,0,0,0,0,0,2,2,0
Chr5-27702121,LOC_Os05g48330,32,21,30,1,0,0,47,31,37,19,15,21
Chr5-27701941,LOC_Os05g48330,2,0,1,0,0,0,3,0,1,1,1,2
Chr5-27703689,LOC_Os05g48330,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+27807427,LOC_Os05g48510,180,147,183,215,239,176,162,164,164,211,221,210
Chr5+27807002,LOC_Os05g48510,3,10,38,0,0,0,0,0,0,2,1,4
Chr5-28476339,LOC_Os05g49630,11,14,17,0,0,1,3,0,1,15,10,19
Chr5-28473688,LOC_Os05g49630,2,7,2,5,3,6,2,4,4,1,2,2
Chr5-28473600,LOC_Os05g49630,1,1,1,1,6,3,0,0,0,0,1,3
Chr5-28871886,LOC_Os05g50380,43,42,49,0,0,0,0,0,0,156,149,143
Chr5-28871811,LOC_Os05g50380,279,220,318,15,22,20,69,53,56,561,587,536
Chr5+28940830,LOC_Os05g50480,0,0,1,2,5,0,0,0,0,0,0,0
Chr5+28942987,LOC_Os05g50480,7,5,5,3,2,0,0,0,0,0,0,0
Chr5+28948384,LOC_Os05g50480,113,160,128,135,177,111,127,117,126,299,298,293
Chr5+28948519,LOC_Os05g50480,3,4,1,2,0,2,2,1,4,4,4,6
Chr5+28948271,LOC_Os05g50480,13,13,10,0,1,3,0,1,3,7,10,8
Chr5+29616053,LOC_Os05g51630,0,4,3,0,0,0,2,1,0,13,3,6
Chr5+29616221,LOC_Os05g51630,164,165,195,138,138,148,73,72,73,172,160,184
Chr5+29616434,LOC_Os05g51630,5,10,11,36,20,21,16,10,7,10,10,9
Chr6+409962,LOC_Os06g01680,43,43,31,21,18,22,14,32,15,67,70,60
Chr6+410144,LOC_Os06g01680,47,21,38,49,52,63,54,39,53,32,33,62
Chr6+925182,LOC_Os06g02600,244,255,271,71,72,62,90,88,92,423,422,389
Chr6+924568,LOC_Os06g02600,7,7,8,0,0,0,0,0,0,29,15,30
Chr6+923649,LOC_Os06g02600,1,3,4,0,0,0,0,0,0,4,12,9
Chr6+1923594,LOC_Os06g04480,134,120,125,56,54,64,32,42,34,7,11,8
Chr6+1923233,LOC_Os06g04480,89,47,89,50,28,47,25,13,25,8,9,10
Chr6-2498984,LOC_Os06g05520,81,28,37,111,153,186,81,84,76,47,45,45
Chr6-2500522,LOC_Os06g05520,1,1,0,0,1,1,0,0,0,1,3,0
Chr6-2500900,LOC_Os06g05520,7,3,7,0,0,0,0,0,0,4,4,4
Chr6+2576703,LOC_Os06g05690,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+2576776,LOC_Os06g05690,0,1,0,0,0,0,0,0,1,0,0,0
Chr6+2702290,LOC_Os06g05900,10,5,11,3,1,2,7,8,7,4,8,6
Chr6+2705022,LOC_Os06g05900,8,16,14,17,11,24,8,16,34,50,40,42
Chr6+3203919,LOC_Os06g06790,2,6,5,0,0,0,0,0,0,6,6,6
Chr6+3203821,LOC_Os06g06790,5,43,3,1,3,3,0,0,0,49,49,49
Chr6-3256753,LOC_Os06g06870,6,10,9,0,0,0,0,0,0,0,1,1
Chr6-3250547,LOC_Os06g06870,39,38,41,14,47,17,26,28,29,59,78,36
Chr6-3256457,LOC_Os06g06870,7,0,8,0,0,0,0,0,0,0,0,0
Chr6+3338153,LOC_Os06g07030,4227,3316,4674,461,416,442,535,539,543,2300,3457,3198
Chr6+3338864,LOC_Os06g07030,60,42,77,1,1,0,0,0,0,1,10,8
Chr6+3338599,LOC_Os06g07030,63,53,62,0,0,0,0,0,0,7,12,8
Chr6+4540239,LOC_Os06g09020,77,65,79,56,84,55,117,116,127,84,84,69
Chr6+4540523,LOC_Os06g09020,13,5,13,14,10,12,18,16,20,15,15,20
Chr6+4868760,LOC_Os06g09560,2,8,13,6,5,5,1,2,2,1,0,0
Chr6+4869574,LOC_Os06g09560,0,19,8,0,0,0,0,0,0,0,2,0
Chr6+4870069,LOC_Os06g09560,508,449,480,5,3,3,0,1,0,363,348,360
Chr6+4869341,LOC_Os06g09560,18,26,15,0,0,0,0,0,0,25,24,26
Chr6+5427193,LOC_Os06g10520,20,17,9,45,39,39,286,305,293,4,3,3
Chr6+5421314,LOC_Os06g10520,0,2,3,0,0,0,1,1,1,0,0,0
Chr6+5427119,LOC_Os06g10520,3,6,1,10,4,4,29,28,28,9,2,5
Chr6-6036960,LOC_Os06g11440,33,15,26,3,2,2,2,0,2,78,66,61
Chr6-6045572,LOC_Os06g11440,1,0,1,1,2,1,0,0,0,0,0,0
Chr6-6036738,LOC_Os06g11440,21,39,45,25,26,28,34,33,22,65,63,64
Chr6+6734093,LOC_Os06g12400,2,0,4,0,0,0,0,1,0,10,11,1
Chr6+6733997,LOC_Os06g12400,6,5,11,0,0,0,0,0,0,0,3,1
Chr6+6734446,LOC_Os06g12400,89,57,127,77,93,81,54,65,49,70,107,78
Chr6+7496628,LOC_Os06g13570,88,57,43,28,32,29,37,39,39,104,103,104
Chr6+7488115,LOC_Os06g13570,21,22,6,11,11,9,6,16,14,5,5,5
Chr6+8316861,LOC_Os06g14740,102,141,125,192,204,185,131,124,162,136,130,137
Chr6+8316719,LOC_Os06g14740,4,2,6,0,0,0,0,0,0,2,3,1
Chr6+8314693,LOC_Os06g14740,1,8,9,0,0,0,0,0,0,0,1,0
Chr6-8598272,LOC_Os06g15170,0,5,5,22,8,9,0,7,1,0,0,0
Chr6-8597895,LOC_Os06g15170,1,2,1,33,27,27,0,1,3,0,0,0
Chr6-8758767,LOC_Os06g15420,2,0,9,17,12,5,7,7,7,1,1,3
Chr6-8759043,LOC_Os06g15420,37,38,26,163,163,152,75,74,73,65,56,72
Chr6+10927115,LOC_Os06g19200,4,4,2,63,51,60,58,75,74,3,5,5
Chr6+10927366,LOC_Os06g19200,0,0,0,49,54,44,17,19,13,0,0,0
Chr6-13302551,LOC_Os06g22820,49,61,61,189,190,190,329,329,336,45,67,45
Chr6-13302263,LOC_Os06g22820,0,3,5,0,1,1,2,0,1,2,2,3
Chr6+13384654,LOC_Os06g22919,0,0,0,37,33,39,46,61,74,0,0,0
Chr6+13390409,LOC_Os06g22919,7,3,2,109,97,100,210,200,234,3,3,2
Chr6+13379165,LOC_Os06g22919,0,0,0,2,1,3,0,6,6,0,0,0
Chr6+13651201,LOC_Os06g23390,3,6,6,0,0,1,1,1,1,0,0,0
Chr6+13651306,LOC_Os06g23390,0,0,0,2,2,2,0,0,0,0,0,0
Chr6-14897115,LOC_Os06g25500,3,1,4,4,2,3,8,9,7,9,10,7
Chr6-14897441,LOC_Os06g25500,0,1,0,1,0,1,2,1,4,4,4,4
Chr6-14897283,LOC_Os06g25500,0,0,0,6,7,3,22,6,15,11,11,11
Chr6+16510334,LOC_Os06g28970,1,3,3,0,0,0,0,0,0,1,0,0
Chr6+16512798,LOC_Os06g28970,22,16,23,121,130,105,58,46,58,21,29,31
Chr6-16991756,LOC_Os06g29630,4,22,6,11,14,15,17,19,19,45,41,28
Chr6-16993466,LOC_Os06g29630,15,7,0,2,0,0,0,0,0,13,13,12
Chr6-18159030,LOC_Os06g31220,1,2,1,0,6,9,7,10,7,16,5,6
Chr6-18158753,LOC_Os06g31220,1,2,2,11,18,10,5,6,11,2,4,3
Chr6-18159497,LOC_Os06g31220,10,10,10,4,2,0,2,2,1,0,4,12
Chr6-18158673,LOC_Os06g31220,0,0,0,0,2,0,6,5,2,0,0,0
Chr6-18160069,LOC_Os06g31220,7,5,6,3,1,7,1,1,1,1,1,0
Chr6+19418434,LOC_Os06g33330,0,0,2,3,2,2,1,1,0,0,0,1
Chr6+19418158,LOC_Os06g33330,7,12,17,3,5,3,1,3,0,18,19,13
Chr6+19418311,LOC_Os06g33330,101,62,102,46,38,39,12,12,15,124,103,108
Chr6+19418486,LOC_Os06g33330,2,0,2,4,0,3,2,1,1,2,1,1
Chr6+19417156,LOC_Os06g33330,28,6,40,5,6,3,0,0,0,12,11,12
Chr6-20034728,LOC_Os06g34440,6,0,2,0,0,0,0,0,0,2,1,4
Chr6-20035117,LOC_Os06g34440,27,30,62,96,100,88,91,87,92,65,53,60
