chrstrandcoord,gene,shoot1,shoot2,shoot3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,pistil1,pistil2,pistil3
Chr4+19682000,LOC_Os04g32650,159,160,160,141,127,139,41,25,70,30,32,33
Chr4+19693301,LOC_Os04g32670,69,79,61,118,141,97,87,96,92,126,105,112
Chr4+19694653,LOC_Os04g32670,1,1,1,1,0,3,3,1,1,2,4,0
Chr4-20046676,LOC_Os04g33110,0,0,0,3,2,3,0,2,2,1,3,1
Chr4-20045934,LOC_Os04g33110,1558,1321,1568,1127,1016,1040,1679,1626,1971,1258,1410,1371
Chr4-20124695,LOC_Os04g33280,29,16,20,13,9,29,34,33,34,11,11,11
Chr4-20124949,LOC_Os04g33280,0,0,1,2,0,0,3,2,1,2,1,0
Chr4-20125077,LOC_Os04g33280,80,70,83,54,52,47,50,61,64,58,51,57
Chr4+20872624,LOC_Os04g34450,0,0,0,0,0,0,0,1,0,0,0,0
Chr4+20872284,LOC_Os04g34450,138,124,138,110,137,137,128,78,144,107,110,93
Chr4+20865574,LOC_Os04g34450,0,1,1,0,0,0,0,0,0,0,0,0
Chr4+21268294,LOC_Os04g34984,0,4,3,0,0,1,3,2,1,1,0,7
Chr4+21268742,LOC_Os04g34984,1,0,0,0,0,0,1,1,0,0,0,0
Chr4+21265387,LOC_Os04g34984,0,0,0,1,0,1,2,4,9,0,2,1
Chr4+21267966,LOC_Os04g34984,1,0,0,0,0,0,1,0,0,0,0,2
Chr4+21268220,LOC_Os04g34984,31,49,45,39,21,47,64,52,85,42,41,32
Chr4-21461913,LOC_Os04g35290,4,1,1,2,2,0,0,0,0,1,1,1
Chr4-21462280,LOC_Os04g35290,0,0,1,0,2,0,1,0,1,2,3,4
Chr4-21462068,LOC_Os04g35290,75,74,84,63,67,75,51,55,53,47,57,51
Chr4+21847904,LOC_Os04g35840,26,23,11,3,0,1,20,19,10,4,3,2
Chr4+21848067,LOC_Os04g35840,175,172,183,51,39,55,150,182,163,46,18,36
Chr4-22837568,LOC_Os04g38410,0,0,0,0,0,1,2,1,2,1,1,1
Chr4-22835915,LOC_Os04g38410,33448,33726,33788,9,8,3,2682,2299,2687,1263,1481,1341
Chr4-23182531,LOC_Os04g39030,13,3,2,2,3,2,2,2,1,0,1,0
Chr4-23178432,LOC_Os04g39030,0,0,0,1,1,1,7,12,13,0,0,1
Chr4+24375527,LOC_Os04g41100,2,0,2,0,0,0,0,0,0,2,0,0
Chr4+24377215,LOC_Os04g41100,3,2,1,0,0,0,5,2,3,1,1,1
Chr4+24375624,LOC_Os04g41100,0,0,0,0,0,0,1,0,0,0,0,0
Chr4+24376982,LOC_Os04g41100,0,11,7,6,1,6,1,2,0,4,5,7
Chr4+24375892,LOC_Os04g41100,3,0,1,0,0,0,0,3,1,6,9,2
Chr4+24378221,LOC_Os04g41100,12,12,11,16,16,18,12,5,18,5,1,1
Chr4+24378067,LOC_Os04g41100,5,2,5,2,1,2,1,2,1,1,1,1
Chr4+24376899,LOC_Os04g41100,21,16,10,2,6,3,10,12,17,8,7,6
Chr4+24375297,LOC_Os04g41100,69,46,45,55,63,72,64,71,60,69,72,70
Chr4+24376800,LOC_Os04g41100,0,0,2,0,1,0,2,2,2,3,2,2
Chr4+24377050,LOC_Os04g41100,0,3,0,0,0,0,0,0,0,0,0,0
Chr4+24378165,LOC_Os04g41100,3,3,4,2,0,2,4,0,4,1,0,1
Chr4+24375988,LOC_Os04g41100,1,1,1,0,0,0,0,0,0,0,1,0
Chr4+24377632,LOC_Os04g41100,7,9,5,12,5,7,6,0,8,9,8,8
Chr4+24468762,LOC_Os04g41229,52,72,64,220,224,185,0,0,0,0,0,0
Chr4+24462034,LOC_Os04g41229,1,2,1,3,3,3,0,0,0,0,0,0
Chr4+24505398,LOC_Os04g41280,3,3,3,7,3,11,10,9,14,85,75,86
Chr4+24503052,LOC_Os04g41280,8,4,3,19,18,9,5,20,17,5,6,3
Chr4+24515245,LOC_Os04g41310,20,12,12,62,68,53,40,25,29,3,0,2
Chr4+24515684,LOC_Os04g41310,0,0,0,4,4,3,5,15,13,0,0,0
Chr4+24515551,LOC_Os04g41310,1,0,0,4,5,2,6,7,1,0,0,0
Chr4+24515494,LOC_Os04g41310,42,2,15,77,72,80,65,69,67,2,3,2
Chr4+24515364,LOC_Os04g41310,10,9,12,50,48,56,54,42,47,2,3,0
Chr4+25548760,LOC_Os04g43150,27,29,18,21,28,30,36,31,37,90,92,79
Chr4+25548907,LOC_Os04g43150,45,42,39,31,36,37,37,41,43,53,53,55
Chr4+25548632,LOC_Os04g43150,0,0,0,0,1,4,0,0,0,2,3,3
Chr4-26023984,LOC_Os04g43916,129,86,11,76,71,75,37,29,33,15,20,34
Chr4-26024059,LOC_Os04g43916,5,4,7,13,17,7,0,5,1,1,0,2
Chr4+26494070,LOC_Os04g44710,2,15,11,6,10,11,16,12,12,23,9,18
Chr4+26494603,LOC_Os04g44710,0,2,2,1,1,2,1,0,0,1,1,1
Chr4+26494227,LOC_Os04g44710,7,10,8,7,6,5,1,18,19,8,10,7
Chr4-27260359,LOC_Os04g46020,84,99,76,80,107,74,113,107,113,150,161,148
Chr4-27260424,LOC_Os04g46020,6,9,9,5,5,5,8,10,0,10,5,6
Chr4-27260178,LOC_Os04g46020,14,8,10,27,26,38,23,15,27,15,11,6
Chr4+28081226,LOC_Os04g47290,10,10,10,2,3,1,11,15,25,5,10,20
Chr4+28080026,LOC_Os04g47290,0,4,3,0,0,0,0,7,3,0,0,0
Chr4+28079833,LOC_Os04g47290,1,1,0,0,1,1,1,0,0,0,1,0
Chr4+28079988,LOC_Os04g47290,5,1,7,0,0,0,0,0,0,0,0,0
Chr4+28081326,LOC_Os04g47290,1,2,1,1,0,0,4,0,6,2,2,2
Chr4+30018691,LOC_Os04g50740,2,2,2,0,0,0,1,0,1,0,0,0
Chr4+30021075,LOC_Os04g50740,0,0,0,0,0,0,0,3,0,5,3,3
Chr4+30018590,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30020951,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30017597,LOC_Os04g50740,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+30017765,LOC_Os04g50740,0,0,0,1,0,1,0,0,0,3,2,2
Chr4-30198541,LOC_Os04g51009,0,0,0,1,1,2,0,0,0,1,1,5
Chr4-30195970,LOC_Os04g51009,3,3,3,1,1,1,5,1,5,3,2,3
Chr4+30431433,LOC_Os04g51380,0,0,0,0,1,0,0,0,0,1,0,0
Chr4+30431682,LOC_Os04g51380,13,27,25,15,13,16,37,36,29,20,22,23
Chr4-30510410,LOC_Os04g51500,12,6,7,4,9,9,6,7,3,16,11,11
Chr4-30511131,LOC_Os04g51500,3,4,0,1,0,2,1,2,1,2,2,2
Chr4-30510977,LOC_Os04g51500,24,26,31,30,23,24,20,26,19,34,32,25
Chr4-30511643,LOC_Os04g51500,0,0,0,0,0,0,0,1,1,0,0,0
Chr4-30888315,LOC_Os04g52020,0,0,0,0,0,0,0,0,0,0,0,0
Chr4-30888160,LOC_Os04g52020,21,21,23,25,43,33,29,26,24,26,31,33
Chr4-30901964,LOC_Os04g52020,0,0,0,6,6,5,6,2,5,3,5,2
Chr4-32339713,LOC_Os04g54330,125,131,108,144,142,129,151,143,137,96,106,104
Chr4-32341122,LOC_Os04g54330,15,14,12,11,2,13,11,10,14,73,100,88
Chr4-32341286,LOC_Os04g54330,4,0,0,4,4,4,8,3,2,4,4,3
Chr4-32340906,LOC_Os04g54330,4,2,2,2,9,5,0,0,1,3,3,5
Chr4-32340699,LOC_Os04g54330,0,0,0,0,0,0,4,0,2,1,8,1
Chr4+32365038,LOC_Os04g54390,32,37,36,11,10,10,3,5,9,4,6,5
Chr4+32364856,LOC_Os04g54390,2,0,4,0,0,2,1,2,2,0,0,0
Chr4+32481960,LOC_Os04g54630,10,10,14,0,1,0,43,52,54,10,11,13
Chr4+32482344,LOC_Os04g54630,88,76,85,14,11,7,315,363,365,39,33,28
Chr4-32955890,LOC_Os04g55410,31,62,62,148,135,150,22,40,15,27,22,22
Chr4-32955709,LOC_Os04g55410,26,16,23,64,74,73,19,17,21,16,14,15
Chr4-32955999,LOC_Os04g55410,56,60,57,186,192,195,28,26,28,23,26,20
Chr4-32959349,LOC_Os04g55410,0,0,0,11,6,16,0,0,0,0,1,1
Chr4-33604477,LOC_Os04g56370,0,0,0,1,2,1,0,0,1,0,0,0
Chr4-33604414,LOC_Os04g56370,31,32,33,0,0,0,2,2,2,13,16,16
Chr4-34088194,LOC_Os04g57220,890,937,910,2039,2832,2394,2473,2180,2555,2617,2948,2643
Chr4-34087823,LOC_Os04g57220,176,240,267,336,441,225,393,637,662,201,217,199
Chr4+34094547,LOC_Os04g57230,4,1,0,3,4,4,0,0,0,1,0,0
Chr4+34095241,LOC_Os04g57230,5,0,1,0,0,1,0,0,1,0,0,0
Chr4+34095364,LOC_Os04g57230,10,12,11,10,9,8,30,14,22,20,19,17
Chr4-35104853,LOC_Os04g59010,0,0,0,0,0,0,0,0,0,1,0,0
Chr4-35105039,LOC_Os04g59010,0,1,0,1,1,1,0,0,0,0,1,0
Chr4-35105259,LOC_Os04g59010,76,68,53,117,83,78,38,42,48,88,52,78
Chr4+35380940,LOC_Os04g59494,1,0,1,0,0,0,0,0,0,4,4,3
Chr4+35382163,LOC_Os04g59494,1491,1464,1505,27,15,25,112,126,84,71,73,72
Chr4+35381104,LOC_Os04g59494,0,0,0,0,0,0,0,0,0,2,1,0
Chr4+35381191,LOC_Os04g59494,79,56,67,39,64,67,79,77,76,112,90,98
Chr5-152021,LOC_Os05g01210,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-150149,LOC_Os05g01210,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-150331,LOC_Os05g01210,1,0,0,0,0,0,0,0,0,0,0,0
Chr5-149984,LOC_Os05g01210,38,37,41,23,21,20,42,42,42,67,59,77
Chr5-149814,LOC_Os05g01210,3,0,0,0,0,0,2,2,2,6,0,0
Chr5+256928,LOC_Os05g01444,1,2,4,0,0,0,0,0,1,1,0,0
Chr5+258397,LOC_Os05g01444,2,4,2,16,20,17,1,4,1,0,0,0
Chr5+256962,LOC_Os05g01444,2,2,3,1,0,0,2,1,5,2,2,1
Chr5+297254,LOC_Os05g01500,0,0,0,0,0,0,0,0,0,1,0,0
Chr5+297106,LOC_Os05g01500,36,38,37,22,22,22,18,16,18,18,18,19
Chr5-2378523,LOC_Os05g04940,8,9,2,21,17,14,18,18,17,28,30,17
Chr5-2378752,LOC_Os05g04940,0,1,0,0,3,5,0,2,1,10,11,10
Chr5-2705818,LOC_Os05g05440,8,14,19,5,2,3,14,7,3,37,44,37
Chr5-2704029,LOC_Os05g05440,0,0,0,0,0,0,2,2,2,0,4,2
Chr5-2703872,LOC_Os05g05440,0,0,0,1,0,0,0,4,2,3,4,4
Chr5-2703669,LOC_Os05g05440,41,40,43,37,28,31,69,51,59,78,91,75
Chr5-2703988,LOC_Os05g05440,0,0,0,0,0,0,0,0,0,1,1,1
Chr5-2716805,LOC_Os05g05460,10,10,10,4,7,10,2,2,1,0,2,0
Chr5-2716915,LOC_Os05g05460,0,0,0,0,0,0,1,2,0,0,0,0
Chr5-3011181,LOC_Os05g06014,0,0,0,0,1,1,0,0,0,8,1,5
Chr5-3010904,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3009851,LOC_Os05g06014,0,0,0,0,1,0,0,1,1,1,5,1
Chr5-3010793,LOC_Os05g06014,0,1,0,0,0,0,0,0,0,1,1,1
Chr5-3011730,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3011594,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3008702,LOC_Os05g06014,24,27,23,40,45,44,52,50,56,98,96,99
Chr5-3009030,LOC_Os05g06014,1,0,0,0,2,0,0,0,0,2,4,3
Chr5-3011386,LOC_Os05g06014,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-3245605,LOC_Os05g06340,12,11,13,6,7,4,2,0,1,2,0,0
Chr5-3245447,LOC_Os05g06340,105,121,120,124,96,57,50,45,56,34,31,34
Chr5+4105902,LOC_Os05g07640,24,20,37,18,10,20,11,1,13,15,14,6
Chr5+4105739,LOC_Os05g07640,62,49,56,74,73,75,128,96,102,65,63,53
Chr5+4408160,LOC_Os05g08090,0,2,2,4,3,5,4,3,4,0,2,6
Chr5+4407066,LOC_Os05g08090,15,28,16,14,16,14,34,37,27,40,43,42
Chr5+4560816,LOC_Os05g08360,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+4562425,LOC_Os05g08360,100,102,70,285,299,333,131,141,214,432,392,416
Chr5+5444923,LOC_Os05g09630,41,42,39,42,26,43,48,56,59,71,73,67
Chr5+5445216,LOC_Os05g09630,3,3,6,0,3,1,11,5,13,5,4,4
Chr5+5444789,LOC_Os05g09630,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+5750897,LOC_Os05g10570,0,0,0,0,0,0,0,0,0,0,0,0
Chr5+5750938,LOC_Os05g10570,4,4,4,2,0,1,6,8,3,1,1,1
Chr5+5751232,LOC_Os05g10570,2,0,2,0,0,0,4,4,1,2,3,2
Chr5+8039679,LOC_Os05g14300,2,3,2,4,5,9,0,4,2,3,8,2
Chr5+8039388,LOC_Os05g14300,30,28,38,81,99,115,102,69,82,78,85,97
Chr5+8445893,LOC_Os05g14860,0,1,0,2,0,2,0,0,0,0,0,0
Chr5+8441324,LOC_Os05g14860,0,0,0,4,2,0,1,1,0,0,0,0
Chr5+8445685,LOC_Os05g14860,186,172,165,179,167,195,122,96,134,71,68,41
Chr5+11318018,LOC_Os05g19470,0,0,0,0,0,0,3,3,4,0,0,0
Chr5+11319833,LOC_Os05g19470,3,5,3,3,4,4,13,14,18,15,13,8
Chr5+11319749,LOC_Os05g19470,0,0,0,0,0,0,4,2,5,4,4,4
Chr5+11316107,LOC_Os05g19470,2,3,0,3,4,4,0,3,0,4,5,5
Chr5+11318339,LOC_Os05g19470,1,0,0,0,1,1,0,0,0,2,0,3
Chr5+11319113,LOC_Os05g19470,3,0,3,0,0,0,0,0,0,1,0,2
Chr5+11318948,LOC_Os05g19470,4,0,0,2,2,2,4,2,1,4,5,5
Chr5-13610694,LOC_Os05g23720,832,740,810,336,504,395,501,667,602,765,782,786
Chr5-13610558,LOC_Os05g23720,13,7,15,6,7,7,18,3,6,14,10,16
Chr5-13613559,LOC_Os05g23720,1,1,0,0,0,0,0,0,1,0,0,0
Chr5+14773095,LOC_Os05g25400,13,14,15,0,0,0,5,6,2,0,1,0
Chr5+14772808,LOC_Os05g25400,29,45,32,0,3,4,10,21,10,7,4,6
Chr5+14772943,LOC_Os05g25400,14,22,15,1,3,3,8,8,7,5,5,6
Chr5-16421620,LOC_Os05g28090,21,17,23,0,0,0,1,2,0,1,0,1
Chr5-16421717,LOC_Os05g28090,17,14,8,0,0,0,1,3,5,0,0,0
Chr5-16421555,LOC_Os05g28090,24,35,15,0,0,0,9,7,9,1,1,1
Chr5-16503182,LOC_Os05g28190,95,122,95,102,59,74,110,177,133,217,202,207
Chr5-16502944,LOC_Os05g28190,150,165,178,92,90,95,118,84,121,216,220,206
Chr5+16691067,LOC_Os05g28500,217,205,209,20,24,23,108,156,99,49,51,63
Chr5+16691249,LOC_Os05g28500,3,4,5,1,1,1,3,4,4,1,0,0
Chr5-16704728,LOC_Os05g28520,38,25,27,1,0,2,1,0,0,0,1,0
Chr5-16702087,LOC_Os05g28520,106,119,108,1,3,6,38,31,23,18,24,23
Chr5+17548974,LOC_Os05g30280,0,1,1,1,1,0,1,0,1,0,1,0
Chr5+17552298,LOC_Os05g30280,1,2,0,39,24,30,4,0,5,0,1,1
Chr5+17551303,LOC_Os05g30280,3,3,0,1,0,0,1,2,0,0,0,0
Chr5+18470650,LOC_Os05g31720,16,3,2,0,1,0,19,12,17,3,4,6
Chr5+18468220,LOC_Os05g31720,1,0,0,0,0,1,3,0,2,0,0,0
Chr5-19327433,LOC_Os05g32970,162,156,165,63,94,116,250,279,303,397,541,456
Chr5-19327896,LOC_Os05g32970,3,6,12,1,1,0,10,9,11,15,21,10
Chr5-20263846,LOC_Os05g34230,40,33,35,93,110,79,28,30,29,55,47,54
Chr5-20263897,LOC_Os05g34230,0,0,2,5,4,5,1,0,0,2,2,0
Chr5-20264338,LOC_Os05g34230,1,0,0,2,1,3,1,1,1,4,3,3
Chr5-21214833,LOC_Os05g35740,178,175,194,487,489,440,330,343,318,196,205,193
Chr5-21216004,LOC_Os05g35740,0,0,0,2,0,2,0,0,0,0,0,0
Chr5-23080701,LOC_Os05g39350,1,13,5,30,32,30,2,1,0,4,1,0
Chr5-23081204,LOC_Os05g39350,25,35,37,45,39,46,7,7,8,0,0,0
Chr5-23080918,LOC_Os05g39350,75,73,70,190,145,130,3,2,10,1,0,0
Chr5+23646570,LOC_Os05g40260,4,9,2,1,1,0,2,0,1,2,1,2
Chr5+23646793,LOC_Os05g40260,5,4,8,0,0,0,6,4,4,1,1,0
Chr5+23646947,LOC_Os05g40260,3,1,4,1,0,0,0,0,0,1,1,1
Chr5+23646682,LOC_Os05g40260,185,129,139,8,7,9,12,32,10,33,16,31
Chr5-23903677,LOC_Os05g40770,0,0,0,0,0,1,0,0,0,0,0,0
Chr5-23903866,LOC_Os05g40770,0,1,1,22,8,12,0,0,0,0,0,0
Chr5-23899487,LOC_Os05g40770,28,0,11,501,733,974,5,5,8,29,29,29
Chr5+23997619,LOC_Os05g40910,1,2,3,2,1,1,11,2,0,9,6,0
Chr5+23997165,LOC_Os05g40910,19,7,12,2,1,2,26,13,14,23,16,16
Chr5-24154004,LOC_Os05g41240,0,1,0,1,0,0,1,5,1,1,1,1
Chr5-24153894,LOC_Os05g41240,4,1,10,0,2,1,6,6,7,2,5,3
Chr5-24158021,LOC_Os05g41240,0,0,0,0,1,0,1,1,1,0,0,0
Chr5-24154145,LOC_Os05g41240,47,46,60,32,49,26,88,89,52,51,44,47
Chr5+25003740,LOC_Os05g43060,5,6,8,6,3,4,11,6,5,10,9,9
Chr5+25015240,LOC_Os05g43060,0,0,0,0,0,0,0,0,0,2,0,2
Chr5+25014809,LOC_Os05g43060,129,106,107,123,140,90,73,109,117,263,127,193
Chr5+25003943,LOC_Os05g43060,2,3,0,1,1,0,0,0,0,0,0,0
Chr5+25955576,LOC_Os05g44610,2,12,7,0,1,2,4,4,1,11,15,17
Chr5+25955711,LOC_Os05g44610,8,5,14,2,5,4,2,1,1,28,17,30
Chr5+25955830,LOC_Os05g44610,0,1,1,1,0,0,0,3,4,5,8,0
Chr5-26237578,LOC_Os05g45210,177,154,127,329,363,288,135,100,96,158,196,180
Chr5-26238026,LOC_Os05g45210,0,0,0,1,0,0,0,0,0,0,1,1
Chr5+26560015,LOC_Os05g45840,24,27,25,182,202,229,24,44,22,8,21,24
Chr5+26559970,LOC_Os05g45840,4,0,0,20,2,11,5,4,7,0,1,0
Chr5+26559853,LOC_Os05g45840,0,0,0,12,14,5,0,1,4,2,2,2
Chr5+26938254,LOC_Os05g46500,41,39,35,57,64,65,58,55,35,30,29,26
Chr5+26938658,LOC_Os05g46500,0,0,0,1,0,1,0,0,0,1,0,1
Chr5-27701827,LOC_Os05g48330,1,0,0,3,0,3,2,3,1,0,0,0
Chr5-27702121,LOC_Os05g48330,48,52,33,256,205,300,79,59,77,50,46,46
Chr5-27701941,LOC_Os05g48330,3,4,3,19,16,22,9,8,8,6,4,8
Chr5-27703689,LOC_Os05g48330,0,0,0,8,6,5,0,0,0,3,2,1
Chr5+27807427,LOC_Os05g48510,230,235,238,243,255,260,160,131,158,164,157,169
Chr5+27807002,LOC_Os05g48510,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-28476339,LOC_Os05g49630,1,1,2,2,1,0,2,2,1,21,16,14
Chr5-28473688,LOC_Os05g49630,0,0,0,2,2,2,1,1,0,0,1,0
Chr5-28473600,LOC_Os05g49630,1,0,0,0,1,1,3,1,3,2,2,2
Chr5-28871886,LOC_Os05g50380,1,3,0,0,0,1,15,33,12,14,13,14
Chr5-28871811,LOC_Os05g50380,68,68,63,7,0,14,426,419,436,376,392,381
Chr5+28940830,LOC_Os05g50480,2,1,2,1,2,1,1,1,1,1,1,1
Chr5+28942987,LOC_Os05g50480,1,2,1,2,2,1,3,0,0,1,1,1
Chr5+28948384,LOC_Os05g50480,101,99,112,156,163,146,137,129,120,193,226,251
Chr5+28948519,LOC_Os05g50480,0,3,3,5,0,4,1,2,3,0,0,0
Chr5+28948271,LOC_Os05g50480,2,2,2,2,2,2,1,3,1,3,9,2
Chr5+29616053,LOC_Os05g51630,0,0,0,0,0,0,0,0,1,0,0,0
Chr5+29616221,LOC_Os05g51630,55,46,43,83,192,37,90,92,96,55,62,62
Chr5+29616434,LOC_Os05g51630,8,6,3,12,14,17,22,10,9,4,4,3
Chr6+409962,LOC_Os06g01680,5,19,7,15,12,9,24,56,9,51,44,36
Chr6+410144,LOC_Os06g01680,54,80,55,31,35,33,87,65,87,60,53,54
Chr6+925182,LOC_Os06g02600,74,50,73,135,147,145,107,134,105,149,145,141
Chr6+924568,LOC_Os06g02600,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+923649,LOC_Os06g02600,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+1923594,LOC_Os06g04480,9,23,18,7,6,7,21,4,23,7,4,5
Chr6+1923233,LOC_Os06g04480,11,9,8,2,1,1,8,8,9,1,2,2
Chr6-2498984,LOC_Os06g05520,53,55,50,49,53,47,66,65,61,84,83,69
Chr6-2500522,LOC_Os06g05520,0,0,0,1,1,1,0,0,1,1,1,1
Chr6-2500900,LOC_Os06g05520,0,0,0,1,0,0,0,0,0,1,3,2
Chr6+2576703,LOC_Os06g05690,2,2,4,26,43,29,0,0,0,0,0,0
Chr6+2576776,LOC_Os06g05690,1,0,0,4,5,6,0,0,0,0,0,0
Chr6+2702290,LOC_Os06g05900,7,7,3,18,3,10,1,2,4,0,1,1
Chr6+2705022,LOC_Os06g05900,6,17,9,10,15,10,13,14,14,23,23,22
Chr6+3203919,LOC_Os06g06790,9,10,10,33,33,33,5,8,9,15,20,11
Chr6+3203821,LOC_Os06g06790,12,17,13,63,43,58,23,8,12,20,24,27
Chr6-3256753,LOC_Os06g06870,0,0,0,0,0,0,0,0,0,0,0,0
Chr6-3250547,LOC_Os06g06870,9,14,24,19,2,17,19,26,20,51,46,45
Chr6-3256457,LOC_Os06g06870,0,0,0,0,0,0,1,0,0,2,0,0
Chr6+3338153,LOC_Os06g07030,27,20,23,359,619,521,249,233,272,117,142,98
Chr6+3338864,LOC_Os06g07030,0,0,1,9,5,1,0,0,0,0,0,0
Chr6+3338599,LOC_Os06g07030,0,0,0,1,0,1,0,0,0,0,0,0
Chr6+4540239,LOC_Os06g09020,73,70,69,85,74,92,92,90,76,204,124,175
Chr6+4540523,LOC_Os06g09020,5,2,1,21,16,8,7,8,6,25,22,19
Chr6+4868760,LOC_Os06g09560,7,10,6,9,0,5,1,3,0,2,2,2
Chr6+4869574,LOC_Os06g09560,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+4870069,LOC_Os06g09560,45,41,45,61,62,64,19,11,13,12,15,7
Chr6+4869341,LOC_Os06g09560,4,2,4,4,3,0,1,2,1,1,0,0
Chr6+5427193,LOC_Os06g10520,56,59,63,212,226,174,76,39,45,62,56,70
Chr6+5421314,LOC_Os06g10520,2,0,0,0,0,0,1,0,0,0,0,0
Chr6+5427119,LOC_Os06g10520,4,5,3,24,18,21,11,13,3,10,9,9
Chr6-6036960,LOC_Os06g11440,3,2,3,0,2,1,4,3,4,8,13,11
Chr6-6045572,LOC_Os06g11440,4,1,0,1,0,2,0,0,0,1,0,2
Chr6-6036738,LOC_Os06g11440,18,30,30,20,20,21,25,33,36,38,34,43
Chr6+6734093,LOC_Os06g12400,0,0,0,0,0,0,3,2,0,1,1,1
Chr6+6733997,LOC_Os06g12400,0,0,0,0,0,0,3,1,2,0,0,0
Chr6+6734446,LOC_Os06g12400,27,33,30,24,27,24,23,22,25,79,83,83
Chr6+7496628,LOC_Os06g13570,14,11,12,9,9,8,21,21,15,45,37,36
Chr6+7488115,LOC_Os06g13570,12,9,5,22,20,20,17,3,17,2,2,2
Chr6+8316861,LOC_Os06g14740,95,95,96,109,115,111,145,121,113,71,93,80
Chr6+8316719,LOC_Os06g14740,0,0,0,0,0,0,0,0,0,0,0,0
Chr6+8314693,LOC_Os06g14740,1,0,0,0,1,0,0,0,0,0,0,0
Chr6-8598272,LOC_Os06g15170,12,19,13,1,1,0,1,2,0,3,2,5
Chr6-8597895,LOC_Os06g15170,80,93,87,0,0,0,9,10,14,11,12,11
Chr6-8758767,LOC_Os06g15420,14,21,17,18,18,20,6,8,11,9,10,9
Chr6-8759043,LOC_Os06g15420,359,329,345,116,126,148,138,148,113,197,231,177
Chr6+10927115,LOC_Os06g19200,42,47,35,25,16,11,46,33,57,63,70,71
Chr6+10927366,LOC_Os06g19200,14,14,13,10,11,11,9,9,7,18,18,18
Chr6-13302551,LOC_Os06g22820,72,73,71,69,62,73,63,60,72,53,45,44
Chr6-13302263,LOC_Os06g22820,0,0,0,2,1,2,0,0,0,0,0,0
Chr6+13384654,LOC_Os06g22919,2,2,4,22,15,18,29,31,24,13,9,12
Chr6+13390409,LOC_Os06g22919,1,3,4,23,25,24,40,8,25,28,27,28
Chr6+13379165,LOC_Os06g22919,0,0,0,3,0,0,0,3,3,0,0,0
Chr6+13651201,LOC_Os06g23390,0,0,0,1,0,0,1,1,1,0,0,0
Chr6+13651306,LOC_Os06g23390,18,14,13,0,0,1,2,2,2,0,0,0
Chr6-14897115,LOC_Os06g25500,5,9,6,0,3,0,9,6,8,10,10,5
Chr6-14897441,LOC_Os06g25500,0,0,1,2,0,0,2,0,1,2,2,2
Chr6-14897283,LOC_Os06g25500,6,7,5,1,1,4,1,17,10,5,19,13
Chr6+16510334,LOC_Os06g28970,0,0,0,0,0,0,1,0,0,1,1,1
Chr6+16512798,LOC_Os06g28970,210,208,209,39,34,33,90,93,107,69,54,57
Chr6-16991756,LOC_Os06g29630,13,4,9,4,4,4,9,9,5,20,19,21
Chr6-16993466,LOC_Os06g29630,0,0,0,0,0,0,0,0,0,2,1,0
Chr6-18159030,LOC_Os06g31220,0,1,3,1,3,1,8,7,7,9,8,9
Chr6-18158753,LOC_Os06g31220,4,5,5,1,1,1,4,5,3,9,8,6
Chr6-18159497,LOC_Os06g31220,6,4,9,3,4,7,4,4,6,0,1,1
Chr6-18158673,LOC_Os06g31220,2,2,0,1,1,0,1,1,0,2,1,1
Chr6-18160069,LOC_Os06g31220,0,0,0,0,0,0,0,1,5,2,3,4
Chr6+19418434,LOC_Os06g33330,0,0,0,0,4,0,2,0,0,1,1,0
Chr6+19418158,LOC_Os06g33330,0,0,0,2,0,1,7,3,0,0,0,2
Chr6+19418311,LOC_Os06g33330,10,9,7,13,5,8,21,25,24,24,22,23
Chr6+19418486,LOC_Os06g33330,1,0,1,1,1,1,1,5,2,1,1,2
Chr6+19417156,LOC_Os06g33330,1,1,1,0,1,0,3,0,0,2,1,2
Chr6-20034728,LOC_Os06g34440,0,0,0,0,0,0,0,0,0,0,0,0
Chr6-20035117,LOC_Os06g34440,82,74,49,35,37,37,57,72,78,92,79,88
Chr6-20034649,LOC_Os06g34440,1,1,5,2,3,1,3,4,2,0,0,0
Chr6-20223915,LOC_Os06g34790,2070,1716,1706,270,386,328,408,484,357,360,385,372
Chr6-20223699,LOC_Os06g34790,0,0,0,0,1,0,2,1,3,1,0,1
Chr6-20635351,LOC_Os06g35410,124,167,306,227,193,250,34,34,34,2,1,4
