chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,leaf_20days1,leaf_20days2,leaf_20days3,husk1,husk2,husk3
Chr4+19677678,LOC_Os04g32650,0,0,0,5,0,9,0,0,2,0,0,2
Chr4+19682169,LOC_Os04g32650,3,2,9,2,2,1,61,60,76,9,9,9
Chr4+19682000,LOC_Os04g32650,71,66,65,74,72,80,140,84,191,41,25,70
Chr4+19693301,LOC_Os04g32670,89,98,96,161,179,143,113,80,120,87,96,92
Chr4+19694653,LOC_Os04g32670,6,9,13,9,1,5,2,2,2,3,1,1
Chr4-20046676,LOC_Os04g33110,11,14,12,1,1,3,6,6,5,0,2,2
Chr4-20045934,LOC_Os04g33110,421,461,416,598,605,493,5601,5797,5649,1679,1626,1971
Chr4-20124695,LOC_Os04g33280,10,45,4,22,20,16,68,68,71,34,33,34
Chr4-20124949,LOC_Os04g33280,1,7,7,9,8,9,1,3,7,3,2,1
Chr4-20125077,LOC_Os04g33280,84,87,89,86,57,111,139,142,152,50,61,64
Chr4+20872624,LOC_Os04g34450,5,3,13,13,5,4,0,0,0,0,1,0
Chr4+20872284,LOC_Os04g34450,229,227,248,238,228,147,111,108,114,128,78,144
Chr4+20865574,LOC_Os04g34450,4,0,1,3,3,4,0,0,0,0,0,0
Chr4+21268294,LOC_Os04g34984,1,12,3,3,6,9,1,1,4,3,2,1
Chr4+21268742,LOC_Os04g34984,12,13,8,5,0,5,0,0,0,1,1,0
Chr4+21265387,LOC_Os04g34984,5,0,5,4,0,0,0,0,0,2,4,9
Chr4+21267966,LOC_Os04g34984,6,2,15,24,0,17,0,0,0,1,0,0
Chr4+21268220,LOC_Os04g34984,52,52,53,31,28,87,11,39,32,64,52,85
Chr4-21461913,LOC_Os04g35290,3,2,4,1,2,0,5,2,5,0,0,0
Chr4-21462280,LOC_Os04g35290,8,9,9,9,9,1,0,0,0,1,0,1
Chr4-21462068,LOC_Os04g35290,38,49,68,29,102,85,62,114,65,51,55,53
Chr4+21847904,LOC_Os04g35840,28,13,37,18,1,16,9,11,9,20,19,10
Chr4+21848067,LOC_Os04g35840,106,94,93,147,119,107,280,294,285,150,182,163
Chr4-22837568,LOC_Os04g38410,0,0,0,0,0,0,4,1,2,2,1,2
Chr4-22835915,LOC_Os04g38410,4,3,12,88,227,180,29764,30436,30313,2682,2299,2687
Chr4-23182531,LOC_Os04g39030,3,3,1,2,3,0,7,7,7,2,2,1
Chr4-23178432,LOC_Os04g39030,0,0,0,0,0,0,0,0,0,7,12,13
Chr4+24375527,LOC_Os04g41100,16,7,4,6,3,3,2,2,2,0,0,0
Chr4+24377215,LOC_Os04g41100,3,2,6,1,0,0,1,2,1,5,2,3
Chr4+24375624,LOC_Os04g41100,0,0,3,9,7,4,0,0,0,1,0,0
Chr4+24376982,LOC_Os04g41100,6,2,1,0,0,0,12,17,19,1,2,0
Chr4+24375892,LOC_Os04g41100,0,3,2,9,4,3,3,0,2,0,3,1
Chr4+24378221,LOC_Os04g41100,4,0,0,1,4,4,27,21,34,12,5,18
Chr4+24378067,LOC_Os04g41100,0,0,2,0,0,0,7,4,4,1,2,1
Chr4+24376899,LOC_Os04g41100,2,3,2,7,6,1,5,3,19,10,12,17
Chr4+24375297,LOC_Os04g41100,157,168,166,203,196,198,117,123,70,64,71,60
Chr4+24376800,LOC_Os04g41100,4,2,4,2,0,1,3,3,3,2,2,2
Chr4+24377050,LOC_Os04g41100,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+24378165,LOC_Os04g41100,1,0,1,0,0,0,16,10,6,4,0,4
Chr4+24375988,LOC_Os04g41100,3,2,6,9,6,3,0,0,0,0,0,0
Chr4+24377632,LOC_Os04g41100,31,29,26,50,47,12,9,7,17,6,0,8
Chr4+24468762,LOC_Os04g41229,0,0,0,0,2,1,59,60,61,0,0,0
Chr4+24462034,LOC_Os04g41229,0,0,0,0,0,0,0,0,0,0,0,0
Chr4+24505398,LOC_Os04g41280,0,1,0,0,0,0,0,1,2,10,9,14
Chr4+24503052,LOC_Os04g41280,215,192,177,196,156,278,9,8,18,5,20,17
Chr4+24515245,LOC_Os04g41310,0,3,0,2,1,0,22,6,18,40,25,29
Chr4+24515684,LOC_Os04g41310,0,0,0,0,0,0,2,0,0,5,15,13
Chr4+24515551,LOC_Os04g41310,0,3,2,0,0,0,0,0,0,6,7,1
Chr4+24515494,LOC_Os04g41310,0,0,0,0,0,0,26,47,17,65,69,67
Chr4+24515364,LOC_Os04g41310,0,1,2,2,1,0,23,15,18,54,42,47
Chr4+25548760,LOC_Os04g43150,249,228,189,136,152,132,15,14,13,36,31,37
Chr4+25548907,LOC_Os04g43150,116,119,130,104,86,71,29,28,26,37,41,43
Chr4+25548632,LOC_Os04g43150,9,15,12,8,16,8,0,0,0,0,0,0
Chr4-26023984,LOC_Os04g43916,16,26,22,35,48,25,42,48,48,37,29,33
Chr4-26024059,LOC_Os04g43916,5,16,21,12,21,13,8,6,6,0,5,1
Chr4+26494070,LOC_Os04g44710,16,3,8,10,0,2,6,10,13,16,12,12
Chr4+26494603,LOC_Os04g44710,2,0,1,0,0,0,0,0,0,1,0,0
Chr4+26494227,LOC_Os04g44710,0,22,9,2,13,25,9,5,1,1,18,19
Chr4-27260359,LOC_Os04g46020,7,16,5,13,0,12,36,44,33,113,107,113
Chr4-27260424,LOC_Os04g46020,3,3,3,0,0,1,0,0,8,8,10,0
Chr4-27260178,LOC_Os04g46020,0,0,0,0,4,5,7,6,6,23,15,27
Chr4+28081226,LOC_Os04g47290,0,0,1,3,1,1,71,71,80,11,15,25
Chr4+28080026,LOC_Os04g47290,0,0,0,0,0,0,3,0,1,0,7,3
Chr4+28079833,LOC_Os04g47290,0,0,0,0,0,0,3,5,4,1,0,0
Chr4+28079988,LOC_Os04g47290,0,0,0,0,0,0,1,5,1,0,0,0
Chr4+28081326,LOC_Os04g47290,0,0,0,0,0,0,9,5,9,4,0,6
Chr4+30018691,LOC_Os04g50740,0,0,0,0,0,0,7,7,5,1,0,1
Chr4+30021075,LOC_Os04g50740,10,7,8,11,12,6,0,0,0,0,3,0
Chr4+30018590,LOC_Os04g50740,2,6,4,0,5,2,0,0,0,0,0,0
Chr4+30020951,LOC_Os04g50740,23,25,11,7,2,11,0,0,0,0,0,0
Chr4+30017597,LOC_Os04g50740,13,10,5,10,17,16,0,0,0,0,0,0
Chr4+30017765,LOC_Os04g50740,9,6,14,12,20,12,0,0,0,0,0,0
Chr4-30198541,LOC_Os04g51009,3,0,2,0,0,0,0,0,0,0,0,0
Chr4-30195970,LOC_Os04g51009,0,0,0,1,0,3,4,3,0,5,1,5
Chr4+30431433,LOC_Os04g51380,0,6,2,3,5,2,0,1,1,0,0,0
Chr4+30431682,LOC_Os04g51380,27,12,8,31,1,27,42,37,40,37,36,29
Chr4-30510410,LOC_Os04g51500,10,14,10,3,1,0,4,7,5,6,7,3
Chr4-30511131,LOC_Os04g51500,8,4,7,0,0,0,1,0,1,1,2,1
Chr4-30510977,LOC_Os04g51500,32,32,35,20,16,11,21,54,53,20,26,19
Chr4-30511643,LOC_Os04g51500,2,6,3,0,5,0,1,0,2,0,1,1
Chr4-30888315,LOC_Os04g52020,3,6,5,6,15,4,0,0,0,0,0,0
Chr4-30888160,LOC_Os04g52020,26,16,27,32,37,30,19,25,23,29,26,24
Chr4-30901964,LOC_Os04g52020,15,3,7,8,2,35,1,2,1,6,2,5
Chr4-32339713,LOC_Os04g54330,216,279,216,218,239,222,112,127,140,151,143,137
Chr4-32341122,LOC_Os04g54330,442,391,570,11,144,126,6,11,14,11,10,14
Chr4-32341286,LOC_Os04g54330,20,25,8,12,9,7,0,0,0,8,3,2
Chr4-32340906,LOC_Os04g54330,55,55,64,15,17,18,0,0,0,0,0,1
Chr4-32340699,LOC_Os04g54330,196,183,181,154,146,140,0,0,0,4,0,2
Chr4+32365038,LOC_Os04g54390,1,1,1,0,0,0,5,1,3,3,5,9
Chr4+32364856,LOC_Os04g54390,3,6,1,1,1,2,0,0,0,1,2,2
Chr4+32481960,LOC_Os04g54630,4,4,0,1,2,0,57,42,43,43,52,54
Chr4+32482344,LOC_Os04g54630,8,29,27,11,15,13,695,649,706,315,363,365
Chr4-32955890,LOC_Os04g55410,2,1,0,2,2,0,45,35,22,22,40,15
Chr4-32955709,LOC_Os04g55410,0,3,1,0,2,1,12,11,15,19,17,21
Chr4-32955999,LOC_Os04g55410,6,0,6,30,0,7,26,38,27,28,26,28
Chr4-32959349,LOC_Os04g55410,2,3,4,1,1,2,3,3,2,0,0,0
Chr4-33604477,LOC_Os04g56370,0,1,0,0,1,0,2,3,2,0,0,1
Chr4-33604414,LOC_Os04g56370,0,0,0,10,2,1,34,37,22,2,2,2
Chr4-34088194,LOC_Os04g57220,2942,3782,3200,2495,2782,2340,3160,3312,2986,2473,2180,2555
Chr4-34087823,LOC_Os04g57220,449,196,388,332,343,359,523,525,541,393,637,662
Chr4+34094547,LOC_Os04g57230,3,5,3,0,0,0,7,6,16,0,0,0
Chr4+34095241,LOC_Os04g57230,3,4,4,0,0,0,0,0,0,0,0,1
Chr4+34095364,LOC_Os04g57230,8,11,14,6,2,0,1,0,6,30,14,22
Chr4-35104853,LOC_Os04g59010,2,4,3,4,0,1,0,0,0,0,0,0
Chr4-35105039,LOC_Os04g59010,3,9,11,7,10,4,0,1,2,0,0,0
Chr4-35105259,LOC_Os04g59010,22,25,45,34,58,52,74,77,15,38,42,48
Chr4+35380940,LOC_Os04g59494,2,3,6,3,4,0,0,0,0,0,0,0
Chr4+35382163,LOC_Os04g59494,1,4,3,16,19,19,243,261,305,112,126,84
Chr4+35381104,LOC_Os04g59494,5,2,6,1,2,4,0,0,0,0,0,0
Chr4+35381191,LOC_Os04g59494,31,132,155,89,104,131,87,89,81,79,77,76
Chr5-152021,LOC_Os05g01210,0,11,3,6,8,6,0,0,0,0,0,0
Chr5-150149,LOC_Os05g01210,8,26,13,7,17,5,1,0,0,0,0,0
Chr5-150331,LOC_Os05g01210,3,3,3,0,0,0,0,0,0,0,0,0
Chr5-149984,LOC_Os05g01210,152,218,228,258,263,220,76,67,60,42,42,42
Chr5-149814,LOC_Os05g01210,10,5,10,5,6,4,5,0,1,2,2,2
Chr5+256928,LOC_Os05g01444,0,1,2,3,5,0,1,2,3,0,0,1
Chr5+258397,LOC_Os05g01444,8,27,9,6,5,0,0,1,1,1,4,1
Chr5+256962,LOC_Os05g01444,0,0,0,0,1,1,2,2,0,2,1,5
Chr5+297254,LOC_Os05g01500,0,0,0,0,0,0,3,4,2,0,0,0
Chr5+297106,LOC_Os05g01500,58,36,44,51,47,47,21,14,10,18,16,18
Chr5-2378523,LOC_Os05g04940,33,50,19,18,47,25,3,5,8,18,18,17
Chr5-2378752,LOC_Os05g04940,41,33,26,14,28,30,2,0,0,0,2,1
Chr5-2705818,LOC_Os05g05440,19,18,22,11,10,11,11,3,9,14,7,3
Chr5-2704029,LOC_Os05g05440,28,15,4,0,0,0,4,1,0,2,2,2
Chr5-2703872,LOC_Os05g05440,8,5,6,3,1,2,1,1,3,0,4,2
Chr5-2703669,LOC_Os05g05440,33,25,33,51,45,23,109,121,105,69,51,59
Chr5-2703988,LOC_Os05g05440,0,1,0,0,0,0,0,0,0,0,0,0
Chr5-2716805,LOC_Os05g05460,8,2,3,2,6,13,1,4,9,2,2,1
Chr5-2716915,LOC_Os05g05460,0,4,3,2,1,1,0,0,0,1,2,0
Chr5-3011181,LOC_Os05g06014,8,8,7,0,0,0,0,0,0,0,0,0
Chr5-3010904,LOC_Os05g06014,1,4,4,8,1,2,0,0,0,0,0,0
Chr5-3009851,LOC_Os05g06014,2,0,1,0,0,0,0,0,0,0,1,1
Chr5-3010793,LOC_Os05g06014,85,54,62,3,17,7,0,0,0,0,0,0
Chr5-3011730,LOC_Os05g06014,1,1,3,0,0,0,0,0,0,0,0,0
Chr5-3011594,LOC_Os05g06014,0,0,4,2,0,0,0,0,0,0,0,0
Chr5-3008702,LOC_Os05g06014,37,54,62,6,2,1,15,15,4,52,50,56
Chr5-3009030,LOC_Os05g06014,0,4,4,0,0,0,0,0,0,0,0,0
Chr5-3011386,LOC_Os05g06014,2,4,4,3,2,3,0,0,0,0,0,0
Chr5-3245605,LOC_Os05g06340,12,4,10,14,1,9,6,10,8,2,0,1
Chr5-3245447,LOC_Os05g06340,64,42,59,34,106,8,134,137,114,50,45,56
Chr5+4105902,LOC_Os05g07640,5,5,7,2,7,4,16,20,14,11,1,13
Chr5+4105739,LOC_Os05g07640,115,81,72,46,49,48,77,91,64,128,96,102
Chr5+4408160,LOC_Os05g08090,0,0,0,0,0,0,17,13,14,4,3,4
Chr5+4407066,LOC_Os05g08090,32,33,34,66,39,42,27,28,25,34,37,27
Chr5+4560816,LOC_Os05g08360,32,14,25,11,12,8,0,0,0,0,0,0
Chr5+4562425,LOC_Os05g08360,414,374,421,367,294,257,22,9,20,131,141,214
Chr5+5444923,LOC_Os05g09630,59,44,51,33,51,42,30,30,31,48,56,59
Chr5+5445216,LOC_Os05g09630,2,0,4,4,1,1,3,2,3,11,5,13
Chr5+5444789,LOC_Os05g09630,4,9,4,3,3,4,0,0,0,0,0,0
Chr5+5750897,LOC_Os05g10570,3,0,3,5,11,4,8,5,7,0,0,0
Chr5+5750938,LOC_Os05g10570,6,5,3,0,4,3,10,18,17,6,8,3
Chr5+5751232,LOC_Os05g10570,0,0,0,1,0,0,0,3,3,4,4,1
Chr5+8039679,LOC_Os05g14300,3,4,5,8,29,20,4,0,0,0,4,2
Chr5+8039388,LOC_Os05g14300,86,70,103,10,100,85,51,17,46,102,69,82
Chr5+8445893,LOC_Os05g14860,0,0,0,0,3,2,0,1,1,0,0,0
Chr5+8441324,LOC_Os05g14860,6,10,8,0,0,0,0,0,0,1,1,0
Chr5+8445685,LOC_Os05g14860,138,127,111,76,85,90,207,228,213,122,96,134
Chr5+11318018,LOC_Os05g19470,0,0,0,0,0,0,0,0,0,3,3,4
Chr5+11319833,LOC_Os05g19470,9,12,13,0,2,0,10,18,9,13,14,18
Chr5+11319749,LOC_Os05g19470,2,1,1,1,2,2,0,0,0,4,2,5
Chr5+11316107,LOC_Os05g19470,20,20,14,21,12,18,1,0,0,0,3,0
Chr5+11318339,LOC_Os05g19470,0,7,3,1,12,3,4,3,4,0,0,0
Chr5+11319113,LOC_Os05g19470,0,0,0,0,0,0,2,0,2,0,0,0
Chr5+11318948,LOC_Os05g19470,0,2,0,0,0,1,2,1,2,4,2,1
Chr5-13610694,LOC_Os05g23720,862,676,666,594,623,596,288,281,279,501,667,602
Chr5-13610558,LOC_Os05g23720,8,7,4,21,15,13,4,7,7,18,3,6
Chr5-13613559,LOC_Os05g23720,9,11,10,0,0,0,0,0,0,0,0,1
Chr5+14773095,LOC_Os05g25400,0,0,0,0,0,0,7,7,8,5,6,2
Chr5+14772808,LOC_Os05g25400,0,4,0,1,0,3,6,7,11,10,21,10
Chr5+14772943,LOC_Os05g25400,0,0,0,0,0,0,9,15,20,8,8,7
Chr5-16421620,LOC_Os05g28090,0,0,0,0,0,0,12,15,20,1,2,0
Chr5-16421717,LOC_Os05g28090,1,5,1,5,3,2,45,29,37,1,3,5
Chr5-16421555,LOC_Os05g28090,0,0,0,0,0,0,45,38,42,9,7,9
Chr5-16503182,LOC_Os05g28190,194,276,392,237,226,279,92,85,82,110,177,133
Chr5-16502944,LOC_Os05g28190,288,437,414,342,402,296,131,148,122,118,84,121
Chr5+16691067,LOC_Os05g28500,107,48,24,135,118,48,954,645,583,108,156,99
Chr5+16691249,LOC_Os05g28500,1,4,1,8,9,12,2,8,12,3,4,4
Chr5-16704728,LOC_Os05g28520,0,0,0,0,0,0,0,0,0,1,0,0
Chr5-16702087,LOC_Os05g28520,11,9,6,4,6,9,9,1,5,38,31,23
Chr5+17548974,LOC_Os05g30280,0,0,3,0,3,1,3,5,5,1,0,1
Chr5+17552298,LOC_Os05g30280,0,0,0,1,4,0,0,5,0,4,0,5
Chr5+17551303,LOC_Os05g30280,0,3,3,0,1,1,2,0,0,1,2,0
Chr5+18470650,LOC_Os05g31720,0,0,0,1,1,0,0,0,0,19,12,17
Chr5+18468220,LOC_Os05g31720,0,0,0,1,0,0,2,2,3,3,0,2
Chr5-19327433,LOC_Os05g32970,131,73,95,144,188,192,897,894,869,250,279,303
Chr5-19327896,LOC_Os05g32970,5,2,4,0,2,0,4,5,5,10,9,11
Chr5-20263846,LOC_Os05g34230,16,23,23,11,9,1,96,101,103,28,30,29
Chr5-20263897,LOC_Os05g34230,2,1,2,5,6,6,1,2,2,1,0,0
Chr5-20264338,LOC_Os05g34230,6,6,5,3,18,7,0,0,0,1,1,1
Chr5-21214833,LOC_Os05g35740,1824,1360,1473,1866,1551,2087,390,422,440,330,343,318
Chr5-21216004,LOC_Os05g35740,3,5,5,10,9,6,0,0,0,0,0,0
Chr5-23080701,LOC_Os05g39350,0,0,0,2,1,1,0,0,0,2,1,0
Chr5-23081204,LOC_Os05g39350,0,0,0,3,3,1,0,2,1,7,7,8
Chr5-23080918,LOC_Os05g39350,3,4,1,0,0,0,6,2,2,3,2,10
Chr5+23646570,LOC_Os05g40260,0,1,0,0,0,0,5,6,4,2,0,1
Chr5+23646793,LOC_Os05g40260,0,0,0,0,0,3,9,21,17,6,4,4
Chr5+23646947,LOC_Os05g40260,0,1,0,0,1,1,0,1,2,0,0,0
Chr5+23646682,LOC_Os05g40260,0,4,4,7,1,2,116,130,121,12,32,10
Chr5-23903677,LOC_Os05g40770,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-23903866,LOC_Os05g40770,0,0,0,0,0,0,0,0,0,0,0,0
Chr5-23899487,LOC_Os05g40770,2,4,0,4,6,5,4,0,8,5,5,8
Chr5+23997619,LOC_Os05g40910,4,7,2,0,4,8,10,10,10,11,2,0
Chr5+23997165,LOC_Os05g40910,8,5,9,0,2,2,42,39,45,26,13,14
Chr5-24154004,LOC_Os05g41240,0,0,0,0,0,0,9,10,9,1,5,1
Chr5-24153894,LOC_Os05g41240,3,5,7,4,8,4,5,0,5,6,6,7
Chr5-24158021,LOC_Os05g41240,1,1,2,2,0,5,0,0,0,1,1,1
Chr5-24154145,LOC_Os05g41240,34,54,44,67,67,66,117,116,120,88,89,52
Chr5+25003740,LOC_Os05g43060,11,19,19,10,10,11,6,5,4,11,6,5
Chr5+25015240,LOC_Os05g43060,5,1,7,6,4,9,0,0,0,0,0,0
Chr5+25014809,LOC_Os05g43060,161,143,231,118,136,97,133,150,151,73,109,117
Chr5+25003943,LOC_Os05g43060,5,5,6,3,1,0,4,5,2,0,0,0
Chr5+25955576,LOC_Os05g44610,2,1,4,4,5,20,0,0,5,4,4,1
Chr5+25955711,LOC_Os05g44610,6,3,9,0,0,0,0,0,0,2,1,1
Chr5+25955830,LOC_Os05g44610,1,0,0,0,0,0,0,0,2,0,3,4
Chr5-26237578,LOC_Os05g45210,225,219,231,191,167,174,24,26,24,135,100,96
Chr5-26238026,LOC_Os05g45210,0,4,6,2,1,7,0,0,0,0,0,0
Chr5+26560015,LOC_Os05g45840,5,9,10,15,29,26,20,17,25,24,44,22
Chr5+26559970,LOC_Os05g45840,31,17,13,7,3,25,5,6,3,5,4,7
Chr5+26559853,LOC_Os05g45840,10,15,12,15,19,28,0,0,0,0,1,4
Chr5+26938254,LOC_Os05g46500,40,16,37,44,40,45,43,45,49,58,55,35
Chr5+26938658,LOC_Os05g46500,1,2,1,25,10,14,0,0,0,0,0,0
Chr5-27701827,LOC_Os05g48330,0,2,0,0,0,0,2,1,2,2,3,1
Chr5-27702121,LOC_Os05g48330,25,17,32,32,21,30,10,7,9,79,59,77
Chr5-27701941,LOC_Os05g48330,1,3,0,2,0,1,4,0,8,9,8,8
Chr5-27703689,LOC_Os05g48330,2,1,1,0,0,0,0,0,0,0,0,0
Chr5+27807427,LOC_Os05g48510,10,98,188,180,147,183,83,118,117,160,131,158
Chr5+27807002,LOC_Os05g48510,4,2,3,3,10,38,0,0,0,0,0,0
Chr5-28476339,LOC_Os05g49630,4,6,1,11,14,17,0,0,0,2,2,1
Chr5-28473688,LOC_Os05g49630,7,5,2,2,7,2,8,3,11,1,1,0
Chr5-28473600,LOC_Os05g49630,3,1,1,1,1,1,2,12,3,3,1,3
Chr5-28871886,LOC_Os05g50380,96,106,73,43,42,49,0,0,0,15,33,12
Chr5-28871811,LOC_Os05g50380,506,532,455,279,220,318,7,14,14,426,419,436
Chr5+28940830,LOC_Os05g50480,0,0,0,0,0,1,0,0,0,1,1,1
Chr5+28942987,LOC_Os05g50480,3,2,5,7,5,5,5,6,4,3,0,0
Chr5+28948384,LOC_Os05g50480,187,166,164,113,160,128,177,179,179,137,129,120
Chr5+28948519,LOC_Os05g50480,11,11,1,3,4,1,6,2,4,1,2,3
Chr5+28948271,LOC_Os05g50480,0,1,3,13,13,10,0,1,2,1,3,1
Chr5+29616053,LOC_Os05g51630,2,0,1,0,4,3,0,0,2,0,0,1
Chr5+29616221,LOC_Os05g51630,186,205,196,164,165,195,173,169,191,90,92,96
Chr5+29616434,LOC_Os05g51630,11,6,8,5,10,11,7,32,16,22,10,9
Chr6+409962,LOC_Os06g01680,51,50,49,43,43,31,0,9,11,24,56,9
Chr6+410144,LOC_Os06g01680,60,42,64,47,21,38,59,63,60,87,65,87
Chr6+925182,LOC_Os06g02600,460,139,182,244,255,271,28,56,38,107,134,105
Chr6+924568,LOC_Os06g02600,6,9,15,7,7,8,0,0,0,0,0,0
Chr6+923649,LOC_Os06g02600,17,0,3,1,3,4,0,0,0,0,0,0
Chr6+1923594,LOC_Os06g04480,67,70,63,134,120,125,63,69,54,21,4,23
Chr6+1923233,LOC_Os06g04480,22,45,33,89,47,89,37,49,45,8,8,9
Chr6-2498984,LOC_Os06g05520,41,36,36,81,28,37,47,58,62,66,65,61
Chr6-2500522,LOC_Os06g05520,0,0,0,1,1,0,0,0,0,0,0,1
Chr6-2500900,LOC_Os06g05520,3,8,9,7,3,7,0,0,0,0,0,0
Chr6+2576703,LOC_Os06g05690,0,3,2,0,0,0,0,0,0,0,0,0
Chr6+2576776,LOC_Os06g05690,0,0,0,0,1,0,2,0,1,0,0,0
Chr6+2702290,LOC_Os06g05900,9,1,2,10,5,11,17,19,19,1,2,4
Chr6+2705022,LOC_Os06g05900,29,29,30,8,16,14,14,18,16,13,14,14
Chr6+3203919,LOC_Os06g06790,2,1,1,2,6,5,1,0,0,5,8,9
Chr6+3203821,LOC_Os06g06790,22,49,6,5,43,3,4,5,5,23,8,12
Chr6-3256753,LOC_Os06g06870,5,5,4,6,10,9,0,0,0,0,0,0
Chr6-3250547,LOC_Os06g06870,66,60,54,39,38,41,21,20,24,19,26,20
Chr6-3256457,LOC_Os06g06870,1,2,6,7,0,8,0,0,0,1,0,0
Chr6+3338153,LOC_Os06g07030,2504,2841,2563,4227,3316,4674,115,95,101,249,233,272
Chr6+3338864,LOC_Os06g07030,23,49,38,60,42,77,0,0,0,0,0,0
Chr6+3338599,LOC_Os06g07030,43,43,43,63,53,62,0,0,0,0,0,0
Chr6+4540239,LOC_Os06g09020,69,40,55,77,65,79,35,41,49,92,90,76
Chr6+4540523,LOC_Os06g09020,5,28,18,13,5,13,13,8,13,7,8,6
Chr6+4868760,LOC_Os06g09560,0,4,0,2,8,13,7,10,5,1,3,0
Chr6+4869574,LOC_Os06g09560,9,10,8,0,19,8,0,0,0,0,0,0
Chr6+4870069,LOC_Os06g09560,468,395,615,508,449,480,0,15,37,19,11,13
Chr6+4869341,LOC_Os06g09560,7,31,15,18,26,15,0,0,0,1,2,1
Chr6+5427193,LOC_Os06g10520,16,10,13,20,17,9,69,73,67,76,39,45
Chr6+5421314,LOC_Os06g10520,1,0,0,0,2,3,5,3,2,1,0,0
Chr6+5427119,LOC_Os06g10520,6,19,16,3,6,1,9,12,9,11,13,3
Chr6-6036960,LOC_Os06g11440,62,84,51,33,15,26,4,1,2,4,3,4
Chr6-6045572,LOC_Os06g11440,1,2,1,1,0,1,0,0,0,0,0,0
Chr6-6036738,LOC_Os06g11440,33,31,53,21,39,45,19,20,41,25,33,36
Chr6+6734093,LOC_Os06g12400,16,9,11,2,0,4,0,0,0,3,2,0
Chr6+6733997,LOC_Os06g12400,3,7,2,6,5,11,0,0,0,3,1,2
Chr6+6734446,LOC_Os06g12400,76,97,77,89,57,127,69,39,65,23,22,25
Chr6+7496628,LOC_Os06g13570,103,120,71,88,57,43,11,8,13,21,21,15
Chr6+7488115,LOC_Os06g13570,23,16,20,21,22,6,12,10,12,17,3,17
Chr6+8316861,LOC_Os06g14740,77,127,91,102,141,125,169,164,99,145,121,113
Chr6+8316719,LOC_Os06g14740,6,1,1,4,2,6,0,0,0,0,0,0
Chr6+8314693,LOC_Os06g14740,0,6,1,1,8,9,0,1,1,0,0,0
Chr6-8598272,LOC_Os06g15170,0,1,4,0,5,5,40,4,44,1,2,0
Chr6-8597895,LOC_Os06g15170,1,4,2,1,2,1,62,49,65,9,10,14
Chr6-8758767,LOC_Os06g15420,0,0,0,2,0,9,18,21,21,6,8,11
Chr6-8759043,LOC_Os06g15420,54,46,40,37,38,26,158,135,139,138,148,113
Chr6+10927115,LOC_Os06g19200,9,6,5,4,4,2,49,72,53,46,33,57
Chr6+10927366,LOC_Os06g19200,3,0,0,0,0,0,56,38,28,9,9,7
Chr6-13302551,LOC_Os06g22820,35,36,40,49,61,61,115,108,123,63,60,72
Chr6-13302263,LOC_Os06g22820,5,0,3,0,3,5,2,2,1,0,0,0
Chr6+13384654,LOC_Os06g22919,0,0,0,0,0,0,11,41,18,29,31,24
Chr6+13390409,LOC_Os06g22919,3,4,4,7,3,2,26,31,18,40,8,25
Chr6+13379165,LOC_Os06g22919,0,0,0,0,0,0,4,1,3,0,3,3
Chr6+13651201,LOC_Os06g23390,0,0,0,3,6,6,0,0,0,1,1,1
Chr6+13651306,LOC_Os06g23390,0,1,0,0,0,0,0,2,2,2,2,2
Chr6-14897115,LOC_Os06g25500,4,6,5,3,1,4,0,0,1,9,6,8
Chr6-14897441,LOC_Os06g25500,1,0,0,0,1,0,0,1,0,2,0,1
Chr6-14897283,LOC_Os06g25500,4,0,9,0,0,0,3,7,2,1,17,10
Chr6+16510334,LOC_Os06g28970,3,6,1,1,3,3,0,0,0,1,0,0
Chr6+16512798,LOC_Os06g28970,37,22,29,22,16,23,131,146,181,90,93,107
Chr6-16991756,LOC_Os06g29630,18,20,13,4,22,6,10,10,9,9,9,5
Chr6-16993466,LOC_Os06g29630,5,5,6,15,7,0,0,0,0,0,0,0
Chr6-18159030,LOC_Os06g31220,14,8,9,1,2,1,2,4,6,8,7,7
Chr6-18158753,LOC_Os06g31220,0,3,0,1,2,2,5,5,4,4,5,3
Chr6-18159497,LOC_Os06g31220,0,24,7,10,10,10,6,4,6,4,4,6
Chr6-18158673,LOC_Os06g31220,2,3,6,0,0,0,0,0,1,1,1,0
Chr6-18160069,LOC_Os06g31220,0,1,0,7,5,6,2,1,0,0,1,5
Chr6+19418434,LOC_Os06g33330,0,0,3,0,0,2,1,1,4,2,0,0
Chr6+19418158,LOC_Os06g33330,27,16,18,7,12,17,6,15,13,7,3,0
Chr6+19418311,LOC_Os06g33330,84,94,91,101,62,102,63,65,52,21,25,24
Chr6+19418486,LOC_Os06g33330,6,9,4,2,0,2,3,4,3,1,5,2
Chr6+19417156,LOC_Os06g33330,29,24,20,28,6,40,14,20,6,3,0,0
Chr6-20034728,LOC_Os06g34440,4,8,5,6,0,2,2,1,0,0,0,0
Chr6-20035117,LOC_Os06g34440,39,46,54,27,30,62,87,98,73,57,72,78
Chr6-20034649,LOC_Os06g34440,2,11,16,2,2,1,2,7,2,3,4,2
