"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","stem_60days1","stem_60days2","stem_60days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"466","Chr3-5298441","LOC_Os03g10400",1,1,2,11,4,3,4,5,7,6,3,13,2,3,2,0,0,0
"467","Chr3-5348422","LOC_Os03g10510",99,138,97,247,228,187,217,200,269,838,813,818,384,375,385,264,284,142
"468","Chr3-5348097","LOC_Os03g10510",6,10,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"469","Chr3-5779675","LOC_Os03g11240",6,7,2,0,0,3,1,1,1,1,2,0,1,1,1,12,13,12
"470","Chr3-5779638","LOC_Os03g11240",87,91,67,38,41,46,38,49,58,14,32,45,42,36,24,8,1,10
"471","Chr3-7103254","LOC_Os03g13170",7,12,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"472","Chr3-7103455","LOC_Os03g13170",163,137,151,41,64,58,1,1,2,3,4,3,0,1,0,0,0,0
"473","Chr3-7102176","LOC_Os03g13170",1670,1979,1199,1062,1295,1514,1226,1184,1271,1664,1467,1818,1293,1171,1380,747,719,673
"474","Chr3-7101925","LOC_Os03g13170",2,1,1,0,1,1,2,1,4,1,4,0,2,1,0,0,0,0
"475","Chr3-7103812","LOC_Os03g13170",6,13,8,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"476","Chr3-7102010","LOC_Os03g13170",3,3,2,0,0,3,3,4,7,6,5,9,7,6,8,0,0,0
"477","Chr3-7102946","LOC_Os03g13170",262,295,159,33,52,27,1,1,3,3,7,5,0,6,4,47,14,23
"478","Chr3-7102730","LOC_Os03g13170",4,10,11,1,4,0,2,4,0,2,0,2,0,0,0,3,1,1
"479","Chr3+7231671","LOC_Os03g13390",27,16,13,1,0,5,14,13,13,120,109,119,11,12,11,12,10,3
"480","Chr3+7231779","LOC_Os03g13390",4,6,4,2,2,2,0,1,1,15,17,11,0,2,0,0,0,2
"481","Chr3+7231507","LOC_Os03g13390",271,189,177,45,47,61,173,159,209,286,258,345,96,74,77,9,30,0
"482","Chr3+7675319","LOC_Os03g14120",4,2,3,2,2,1,0,1,0,2,1,1,0,0,1,2,0,0
"483","Chr3+7675543","LOC_Os03g14120",5,5,2,13,16,17,8,4,3,6,7,7,1,6,0,4,10,15
"484","Chr3+7675886","LOC_Os03g14120",6,6,5,43,42,28,11,12,15,24,18,31,7,6,10,26,42,34
"485","Chr3+7676702","LOC_Os03g14120",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,104,12
"486","Chr3-7847873","LOC_Os03g14450",1,0,0,2,1,3,1,2,3,9,9,9,3,2,2,1,1,1
"487","Chr3-7847996","LOC_Os03g14450",159,197,170,330,292,307,206,205,224,876,1077,1002,616,520,573,397,405,725
"488","Chr3-8547193","LOC_Os03g15540",24,2,7,1,2,8,0,1,0,1,0,1,3,2,2,12,0,25
"489","Chr3-8546870","LOC_Os03g15540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,2
"490","Chr3-8546947","LOC_Os03g15540",49,70,67,86,84,88,75,81,98,113,135,143,80,77,81,19,53,113
"491","Chr3-8581457","LOC_Os03g15580",2,4,18,9,14,5,15,19,17,16,17,16,15,12,15,0,0,0
"492","Chr3-8581591","LOC_Os03g15580",22,22,37,4,3,0,4,3,4,5,2,3,7,2,2,13,13,15
"493","Chr3+9016497","LOC_Os03g16334",503,502,523,194,155,251,23,25,23,40,41,40,43,52,49,1,1,25
"494","Chr3+9016764","LOC_Os03g16334",5,5,10,1,2,6,0,0,0,0,0,0,3,2,4,0,0,0
"495","Chr3+9014396","LOC_Os03g16334",2,4,2,0,1,2,1,2,3,0,1,0,0,0,0,1,9,7
"496","Chr3+9252238","LOC_Os03g16700",27,34,34,23,30,17,48,49,51,27,25,27,101,90,128,17,9,327
"497","Chr3+9249735","LOC_Os03g16700",0,2,6,2,0,1,1,1,1,0,1,0,2,4,2,0,0,0
"498","Chr3+9252587","LOC_Os03g16700",10,98,39,43,41,50,119,118,116,107,128,128,380,477,403,680,617,734
"499","Chr3+9247927","LOC_Os03g16700",5,3,0,0,2,1,0,0,0,0,1,0,0,0,0,2,6,1
"500","Chr3-10123820","LOC_Os03g18130",0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"501","Chr3-10120288","LOC_Os03g18130",72,75,69,4,9,7,319,294,287,54,42,48,218,183,227,39,128,237
"502","Chr3-10196515","LOC_Os03g18190",2,3,0,2,1,3,1,0,1,2,2,2,1,1,2,7,18,20
"503","Chr3-10191681","LOC_Os03g18190",6,6,0,0,1,0,0,0,1,4,2,4,1,0,1,0,0,0
"504","Chr3-10478483","LOC_Os03g18720",107,171,221,228,274,305,231,234,248,142,139,146,122,88,116,113,127,135
"505","Chr3-10480975","LOC_Os03g18720",2,1,3,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0
"506","Chr3-10478135","LOC_Os03g18720",23,21,39,11,20,9,4,6,5,4,4,4,1,4,6,0,19,8
"507","Chr3-10478323","LOC_Os03g18720",22,14,21,14,23,18,17,14,16,12,12,15,10,9,10,5,42,3
"508","Chr3-11007598","LOC_Os03g19580",39,36,27,46,46,50,115,134,146,158,167,162,211,177,135,32,8,94
"509","Chr3-11007785","LOC_Os03g19580",3,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,35,61
"510","Chr3+11272950","LOC_Os03g20010",10,10,12,11,22,22,61,72,66,39,39,36,11,14,14,20,44,106
"511","Chr3+11273211","LOC_Os03g20010",2,6,1,0,0,1,4,2,8,2,1,4,0,1,3,0,0,0
"512","Chr3-12358932","LOC_Os03g21650",38,29,20,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2
"513","Chr3-12359111","LOC_Os03g21650",215,104,121,134,86,110,0,0,0,0,0,0,1,1,0,0,0,0
"514","Chr3+12494791","LOC_Os03g21850",3,3,0,5,3,2,3,3,0,6,7,6,7,8,6,58,10,50
"515","Chr3+12493764","LOC_Os03g21850",3,4,9,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0
"516","Chr3+12495617","LOC_Os03g21850",6,5,8,1,14,5,0,0,0,0,0,0,0,0,1,0,0,0
"517","Chr3+12500195","LOC_Os03g21850",6,15,7,13,14,12,1,1,1,0,0,0,0,6,5,1,3,0
"518","Chr3+12500011","LOC_Os03g21850",118,129,157,262,266,289,31,39,20,3,2,2,31,36,30,94,35,5
"519","Chr3-12823606","LOC_Os03g22400",13,13,1,14,10,5,3,0,1,7,7,6,6,5,5,1,0,0
"520","Chr3-12823981","LOC_Os03g22400",103,105,74,36,36,27,40,54,50,38,30,35,24,21,37,1,63,34
"521","Chr3-12823726","LOC_Os03g22400",8,16,24,7,13,3,8,10,6,11,9,11,8,9,9,0,0,0
"522","Chr3-13122593","LOC_Os03g22720",8,9,13,32,58,45,32,50,44,36,38,44,22,21,23,95,53,124
"523","Chr3-13122744","LOC_Os03g22720",2,0,6,4,0,1,2,2,2,3,2,1,0,0,0,20,15,3
"524","Chr3-15967318","LOC_Os03g27830",1,0,0,0,0,0,1,1,2,1,1,0,1,2,0,0,0,0
"525","Chr3-15969754","LOC_Os03g27830",0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0
"526","Chr3-15967901","LOC_Os03g27830",10,1,13,4,21,26,19,19,21,1,0,5,3,5,4,3,0,0
"527","Chr3-15967045","LOC_Os03g27830",0,0,4,1,0,4,0,0,0,0,0,0,0,0,2,40,0,34
"528","Chr3-15968050","LOC_Os03g27830",1,5,0,2,4,0,7,8,8,2,3,3,1,2,0,6,13,22
"529","Chr3-15966789","LOC_Os03g27830",7,2,5,0,4,1,0,0,1,0,1,0,0,1,1,0,0,0
"530","Chr3+16632280","LOC_Os03g29240",0,1,6,1,0,1,0,0,0,0,0,0,8,2,8,0,0,0
"531","Chr3+16631923","LOC_Os03g29240",112,106,106,178,118,92,228,228,240,373,368,356,1276,1820,782,329,241,272
"532","Chr3-17265532","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14
"533","Chr3-17262563","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,0,0,0
"534","Chr3-17262487","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,4,7,5,3,2,3,0,0,0
"535","Chr3-19518896","LOC_Os03g34300",30,59,52,38,31,42,147,163,184,114,131,92,67,80,67,182,182,276
"536","Chr3-19519047","LOC_Os03g34300",20,11,12,3,3,3,3,0,2,1,0,2,0,0,0,97,0,50
"537","Chr3-21002655","LOC_Os03g37840",0,0,0,0,0,0,7,13,11,6,5,6,6,6,6,0,0,0
"538","Chr3-21003023","LOC_Os03g37840",0,0,0,0,0,0,5,5,5,3,3,0,1,1,0,0,0,0
"539","Chr3-21002883","LOC_Os03g37840",3,3,1,1,1,1,25,26,32,8,6,7,8,9,9,42,2,9
"540","Chr3-22168103","LOC_Os03g39860",0,0,0,0,0,0,3,8,3,0,0,0,2,1,1,0,0,0
"541","Chr3-22167896","LOC_Os03g39860",0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"542","Chr3-22164643","LOC_Os03g39860",103,138,85,63,49,55,82,91,81,64,56,69,121,128,122,162,59,292
"543","Chr3-22167574","LOC_Os03g39860",0,0,0,0,0,0,6,5,3,0,3,0,5,3,3,1,1,0
"544","Chr3-22169781","LOC_Os03g39860",1,3,3,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"545","Chr3+22377852","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,61
"546","Chr3+22380017","LOC_Os03g40260",8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"547","Chr3+22377915","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,22
"548","Chr3+22380147","LOC_Os03g40260",49,51,52,16,10,18,11,7,20,31,32,31,23,19,17,247,91,223
"549","Chr3-24049423","LOC_Os03g43114",1,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"550","Chr3-24052867","LOC_Os03g43114",0,0,0,0,0,0,7,8,6,1,1,1,0,0,0,5,6,0
"551","Chr3-24052315","LOC_Os03g43114",0,0,0,0,0,2,6,6,11,0,0,0,0,0,0,22,1,33
"552","Chr3-24053082","LOC_Os03g43114",0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,5,11,11
"553","Chr3+26439236","LOC_Os03g46710",14,55,46,27,31,20,40,44,53,34,32,49,28,26,22,1,0,3
"554","Chr3+26439085","LOC_Os03g46710",11,13,17,13,13,2,15,15,15,11,12,15,18,15,17,28,17,9
"555","Chr3+27123759","LOC_Os03g47780",76,13,97,26,28,10,34,28,41,42,57,24,28,34,42,3,12,10
"556","Chr3+27120063","LOC_Os03g47780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,4
"557","Chr3+27256555","LOC_Os03g47940",4,4,6,39,28,48,0,0,0,3,2,1,0,0,0,164,79,6
"558","Chr3+27252695","LOC_Os03g47940",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,11,15
"559","Chr3-27300750","LOC_Os03g48030",0,0,0,11,2,4,5,2,4,0,0,0,1,2,1,0,0,0
"560","Chr3-27300866","LOC_Os03g48030",1,2,1,8,18,9,18,26,31,4,2,2,3,0,2,1,0,0
"561","Chr3-27300940","LOC_Os03g48030",1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"562","Chr3-27300989","LOC_Os03g48030",1,4,2,0,3,2,7,3,0,0,0,0,0,0,0,0,0,0
"563","Chr3+27825665","LOC_Os03g48840",45,34,43,86,95,85,34,26,25,40,42,42,26,25,11,0,0,33
"564","Chr3+27823905","LOC_Os03g48840",8,8,14,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"565","Chr3-30062335","LOC_Os03g52340",103,125,127,106,94,89,35,56,42,40,48,47,359,374,374,49,44,54
"566","Chr3-30062223","LOC_Os03g52340",0,0,0,0,2,3,0,0,0,0,1,0,10,6,4,0,0,0
"567","Chr3-32360717","LOC_Os03g56790",808,937,746,961,985,876,1074,1015,1013,688,794,717,627,614,574,1273,728,768
"568","Chr3-32361758","LOC_Os03g56790",2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"569","Chr3-32363116","LOC_Os03g56790",7,9,6,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"570","Chr3-32363706","LOC_Os03g56790",10,6,2,11,14,16,0,0,0,1,2,1,0,0,0,0,0,0
"571","Chr3+32378357","LOC_Os03g56820",0,0,0,49,88,68,1,1,0,56,98,61,34,30,35,90,52,203
"572","Chr3+32378673","LOC_Os03g56820",1,0,1,6,1,6,0,0,0,47,47,47,8,7,4,7,42,3
"573","Chr3-32570108","LOC_Os03g57130",24,34,41,3,8,0,9,4,2,3,2,3,1,0,1,0,0,0
"574","Chr3-32570066","LOC_Os03g57130",87,91,62,31,101,3,124,112,136,92,107,95,71,61,91,69,31,162
"575","Chr3+33035379","LOC_Os03g58010",7,3,2,15,0,7,20,8,12,5,5,4,22,11,19,0,0,0
"576","Chr3+33035627","LOC_Os03g58010",0,0,2,2,2,0,6,12,5,2,2,1,10,10,11,54,63,2
"577","Chr3+33187191","LOC_Os03g58240",38,38,29,35,18,33,37,22,38,95,92,91,84,86,85,140,30,29
"578","Chr3+33183983","LOC_Os03g58240",3,1,5,0,0,0,0,0,0,1,1,1,0,0,0,1,2,8
"579","Chr3-33190872","LOC_Os03g58250",12,11,12,1,6,13,6,0,2,1,1,1,7,12,14,0,0,0
"580","Chr3-33187380","LOC_Os03g58250",37,35,35,24,26,25,31,29,33,29,27,28,148,132,142,40,88,25
"581","Chr3-33539234","LOC_Os03g58910",10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Chr3-33530087","LOC_Os03g58910",65,56,74,49,71,93,35,33,40,19,19,19,35,35,33,5,49,30
"583","Chr3-33530530","LOC_Os03g58910",17,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","Chr3-33530257","LOC_Os03g58910",8,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585","Chr3-33530461","LOC_Os03g58910",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","Chr3+33713385","LOC_Os03g59200",0,0,0,3,12,7,0,5,1,25,22,26,0,1,3,7,18,19
"587","Chr3+33713543","LOC_Os03g59200",0,1,1,3,3,3,0,0,1,11,10,13,2,1,2,0,0,0
"588","Chr3+33713681","LOC_Os03g59200",0,0,0,0,0,0,0,0,0,6,6,5,0,1,0,0,0,0
"589","Chr3+33734975","LOC_Os03g59240",0,8,6,17,12,14,7,4,7,44,38,40,27,32,24,8,21,14
"590","Chr3+33735183","LOC_Os03g59240",0,2,0,0,0,1,1,0,1,4,4,8,0,1,2,0,0,0
"591","Chr3+33734791","LOC_Os03g59240",0,0,0,2,1,1,0,0,0,1,0,1,1,1,2,0,0,0
"592","Chr3-34820693","LOC_Os03g61340",72,86,102,50,17,41,193,225,209,163,175,146,62,98,86,7,49,17
"593","Chr3-34820824","LOC_Os03g61340",27,28,37,12,8,14,22,17,22,6,8,12,7,11,9,2,3,3
"594","Chr3-35447854","LOC_Os03g62640",6,5,2,8,0,4,1,1,1,1,1,0,0,0,0,0,0,0
"595","Chr3-35446445","LOC_Os03g62640",153,226,272,154,166,47,101,126,116,45,33,56,15,152,63,12,109,89
"596","Chr3-35447557","LOC_Os03g62640",3,6,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"597","Chr3-35447302","LOC_Os03g62640",7,12,9,0,1,0,2,0,1,1,2,0,0,0,0,0,0,0
"598","Chr3-35664360","LOC_Os03g63074",1444,1651,1239,966,767,750,7,9,10,9,7,6,6,10,7,7,7,21
"599","Chr3-35659856","LOC_Os03g63074",2,0,2,10,2,8,5,7,7,2,0,1,0,0,0,1,2,1
"600","Chr3-35660476","LOC_Os03g63074",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"601","Chr3-35665518","LOC_Os03g63074",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602","Chr3+36175491","LOC_Os03g64010",7,7,4,8,4,2,8,9,9,6,3,5,3,5,3,15,28,33
"603","Chr3+36175371","LOC_Os03g64010",53,36,34,32,5,96,163,170,136,33,13,23,8,1,15,66,64,59
"604","Chr3+36175655","LOC_Os03g64010",0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605","Chr3-36265888","LOC_Os03g64190",12,15,20,4,11,5,1,0,1,2,0,0,1,0,0,1,0,0
"606","Chr3-36265551","LOC_Os03g64190",109,98,98,84,91,90,56,68,64,87,84,75,46,54,66,58,66,29
"607","Chr3-36265422","LOC_Os03g64190",7,13,17,7,17,7,0,0,1,1,2,0,1,1,1,0,0,0
"608","Chr4-227055","LOC_Os04g01300",25,18,33,36,28,41,18,29,17,45,44,46,20,32,24,2,5,4
"609","Chr4-226904","LOC_Os04g01300",109,126,55,107,360,228,285,272,262,745,751,767,508,506,506,243,133,82
"610","Chr4-4446093","LOC_Os04g08330",7,9,7,12,5,13,1,4,2,5,0,9,5,13,14,43,57,8
"611","Chr4-4446276","LOC_Os04g08330",8,7,5,47,55,35,21,16,17,34,27,37,25,24,21,17,28,3
"612","Chr4-4446462","LOC_Os04g08330",16,7,20,14,24,26,19,17,22,23,24,23,22,20,21,2,2,0
"613","Chr4+4455326","LOC_Os04g08340",1,0,6,21,14,11,4,4,3,12,1,0,5,6,6,0,5,9
"614","Chr4+4455129","LOC_Os04g08340",1,3,14,4,0,5,3,4,0,0,0,0,1,1,1,0,0,0
"615","Chr4+4455602","LOC_Os04g08340",0,0,0,2,2,3,3,0,2,0,3,3,3,1,0,0,0,0
"616","Chr4+4455445","LOC_Os04g08340",0,0,0,4,3,5,7,8,8,10,4,8,4,5,4,0,0,0
"617","Chr4-8310605","LOC_Os04g14790",1,1,1,3,0,2,0,0,0,0,2,0,2,2,3,0,0,0
"618","Chr4-8307366","LOC_Os04g14790",104,234,176,45,37,15,95,85,88,61,48,84,84,70,105,97,0,44
"619","Chr4-13821867","LOC_Os04g24170",1,13,9,3,3,3,0,0,2,0,0,0,1,0,0,10,0,10
"620","Chr4-13821597","LOC_Os04g24170",15,17,12,10,4,9,5,9,10,0,1,1,1,0,2,0,1,0
"621","Chr4-13822060","LOC_Os04g24170",12,19,29,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"622","Chr4-13821797","LOC_Os04g24170",138,130,122,108,106,114,157,163,168,29,30,29,48,46,52,126,64,190
"623","Chr4-16645532","LOC_Os04g28180",20,13,9,2,10,2,5,7,7,24,26,26,17,1,20,0,0,0
"624","Chr4-16645840","LOC_Os04g28180",2303,2332,2277,2397,2483,1987,2364,2316,2309,2518,2476,2548,1704,1720,1652,1012,1215,1304
"625","Chr4-16645602","LOC_Os04g28180",10,10,6,6,1,7,2,1,2,6,3,10,3,2,1,0,0,0
"626","Chr4+19411544","LOC_Os04g32370",6,21,15,6,0,17,14,13,23,24,19,21,24,17,16,117,41,141
"627","Chr4+19418448","LOC_Os04g32370",46,46,48,0,0,15,19,20,23,9,5,7,22,21,2,1,0,0
"628","Chr4+19418720","LOC_Os04g32370",17,15,12,16,19,18,45,35,42,31,35,31,47,50,49,59,47,56
"629","Chr4+19677678","LOC_Os04g32650",0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,5,2
"630","Chr4+19682169","LOC_Os04g32650",3,2,9,11,11,12,36,36,27,32,24,34,23,24,26,3,2,8
"631","Chr4+19682000","LOC_Os04g32650",71,66,65,156,103,153,153,154,159,88,91,83,141,127,139,80,21,84
"632","Chr4+19693301","LOC_Os04g32670",89,98,96,184,177,180,170,197,160,97,91,92,118,141,97,29,68,132
"633","Chr4+19694653","LOC_Os04g32670",6,9,13,1,1,1,0,1,1,4,6,3,1,0,3,1,2,2
"634","Chr4-20046676","LOC_Os04g33110",11,14,12,5,12,8,1,0,0,0,0,0,3,2,3,0,0,0
"635","Chr4-20045934","LOC_Os04g33110",421,461,416,5545,5504,5534,4122,4254,3997,983,1146,981,1127,1016,1040,3884,1157,205
"636","Chr4-20124695","LOC_Os04g33280",10,45,4,32,29,28,56,48,55,11,2,27,13,9,29,2,39,24
"637","Chr4-20124949","LOC_Os04g33280",1,7,7,4,3,4,5,0,6,0,0,0,2,0,0,0,0,0
"638","Chr4-20125077","LOC_Os04g33280",84,87,89,51,65,31,84,94,98,19,21,22,54,52,47,35,3,23
"639","Chr4+20872624","LOC_Os04g34450",5,3,13,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0
"640","Chr4+20872284","LOC_Os04g34450",229,227,248,79,91,94,89,91,71,128,112,128,110,137,137,158,185,144
"641","Chr4+20865574","LOC_Os04g34450",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"642","Chr4+21268294","LOC_Os04g34984",1,12,3,4,5,1,1,0,1,2,2,0,0,0,1,0,0,0
"643","Chr4+21268742","LOC_Os04g34984",12,13,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"644","Chr4+21265387","LOC_Os04g34984",5,0,5,1,1,4,1,1,1,0,0,0,1,0,1,0,0,0
"645","Chr4+21267966","LOC_Os04g34984",6,2,15,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0
"646","Chr4+21268220","LOC_Os04g34984",52,52,53,66,54,62,60,54,54,34,31,37,39,21,47,11,5,1
"647","Chr4-21461913","LOC_Os04g35290",3,2,4,5,1,0,3,2,3,2,1,1,2,2,0,0,0,0
"648","Chr4-21462280","LOC_Os04g35290",8,9,9,1,6,15,2,2,2,0,0,2,0,2,0,0,0,0
"649","Chr4-21462068","LOC_Os04g35290",38,49,68,76,63,93,137,98,119,123,111,129,63,67,75,61,93,0
"650","Chr4+21847904","LOC_Os04g35840",28,13,37,6,11,9,13,11,12,13,8,11,3,0,1,3,14,5
"651","Chr4+21848067","LOC_Os04g35840",106,94,93,54,35,37,203,208,195,92,75,88,51,39,55,74,54,7
"652","Chr4-22837568","LOC_Os04g38410",0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0
"653","Chr4-22835915","LOC_Os04g38410",4,3,12,51,32,44,1677,1798,2019,419,404,393,9,8,3,1251,1363,794
"654","Chr4-23182531","LOC_Os04g39030",3,3,1,1,0,0,1,0,1,1,1,1,2,3,2,8,0,0
"655","Chr4-23178432","LOC_Os04g39030",0,0,0,4,2,4,0,0,0,1,2,1,1,1,1,111,12,29
"656","Chr4+24375527","LOC_Os04g41100",16,7,4,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0
"657","Chr4+24377215","LOC_Os04g41100",3,2,6,7,1,4,0,0,1,1,1,1,0,0,0,0,0,0
"658","Chr4+24375624","LOC_Os04g41100",0,0,3,7,5,4,0,0,0,0,1,2,0,0,0,3,0,1
"659","Chr4+24376982","LOC_Os04g41100",6,2,1,4,4,5,9,5,11,0,2,2,6,1,6,1,2,1
"660","Chr4+24375892","LOC_Os04g41100",0,3,2,4,5,2,1,1,0,1,0,0,0,0,0,0,0,0
"661","Chr4+24378221","LOC_Os04g41100",4,0,0,0,5,4,19,9,9,6,8,10,16,16,18,18,15,2
"662","Chr4+24378067","LOC_Os04g41100",0,0,2,5,6,6,0,2,3,0,0,0,2,1,2,0,0,0
"663","Chr4+24376899","LOC_Os04g41100",2,3,2,7,8,7,22,17,24,5,5,5,2,6,3,11,11,23
"664","Chr4+24375297","LOC_Os04g41100",157,168,166,255,307,246,130,137,120,36,35,43,55,63,72,113,181,107
"665","Chr4+24376800","LOC_Os04g41100",4,2,4,3,2,2,0,6,0,3,1,0,0,1,0,15,3,7
"666","Chr4+24377050","LOC_Os04g41100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,236,88,92
"667","Chr4+24378165","LOC_Os04g41100",1,0,1,2,1,3,1,4,5,0,0,0,2,0,2,1,3,3
"668","Chr4+24375988","LOC_Os04g41100",3,2,6,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
"669","Chr4+24377632","LOC_Os04g41100",31,29,26,8,11,14,13,14,3,5,9,7,12,5,7,2,0,6
"670","Chr4+24468762","LOC_Os04g41229",0,0,0,0,1,2,7,8,19,58,59,59,220,224,185,0,0,0
"671","Chr4+24462034","LOC_Os04g41229",0,0,0,1,7,3,0,0,0,8,1,2,3,3,3,0,0,0
"672","Chr4+24505398","LOC_Os04g41280",0,1,0,3,1,4,0,1,0,8,4,10,7,3,11,2,12,19
"673","Chr4+24503052","LOC_Os04g41280",215,192,177,189,216,190,10,17,11,4,3,3,19,18,9,34,11,50
"674","Chr4+24515245","LOC_Os04g41310",0,3,0,0,0,0,74,66,62,7,12,6,62,68,53,8,14,17
"675","Chr4+24515684","LOC_Os04g41310",0,0,0,0,0,1,10,10,7,0,0,0,4,4,3,0,0,0
"676","Chr4+24515551","LOC_Os04g41310",0,3,2,0,0,0,10,11,7,0,0,0,4,5,2,1,0,0
"677","Chr4+24515494","LOC_Os04g41310",0,0,0,0,1,0,150,142,149,6,3,10,77,72,80,55,52,8
"678","Chr4+24515364","LOC_Os04g41310",0,1,2,0,0,0,71,92,79,7,8,0,50,48,56,11,14,2
"679","Chr4+25548760","LOC_Os04g43150",249,228,189,77,81,58,17,19,18,26,29,34,21,28,30,59,74,267
"680","Chr4+25548907","LOC_Os04g43150",116,119,130,51,49,22,35,35,48,38,40,39,31,36,37,20,5,11
"681","Chr4+25548632","LOC_Os04g43150",9,15,12,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"682","Chr4-26023984","LOC_Os04g43916",16,26,22,18,9,3,39,37,46,74,89,91,76,71,75,0,21,59
"683","Chr4-26024059","LOC_Os04g43916",5,16,21,9,11,11,3,0,3,6,9,8,13,17,7,0,0,0
"684","Chr4+26494070","LOC_Os04g44710",16,3,8,4,3,0,4,4,5,13,9,13,6,10,11,4,1,3
"685","Chr4+26494603","LOC_Os04g44710",2,0,1,1,0,1,1,3,0,1,0,0,1,1,2,1,3,0
"686","Chr4+26494227","LOC_Os04g44710",0,22,9,1,1,1,1,1,1,6,3,6,7,6,5,0,0,0
"687","Chr4-27260359","LOC_Os04g46020",7,16,5,6,9,3,82,74,64,76,76,76,80,107,74,11,32,44
"688","Chr4-27260424","LOC_Os04g46020",3,3,3,0,0,0,2,2,4,0,8,2,5,5,5,0,0,0
"689","Chr4-27260178","LOC_Os04g46020",0,0,0,0,0,0,8,7,11,5,15,23,27,26,38,0,0,0
"690","Chr4+28081226","LOC_Os04g47290",0,0,1,6,11,8,7,17,18,3,6,1,2,3,1,12,5,6
"691","Chr4+28080026","LOC_Os04g47290",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"692","Chr4+28079833","LOC_Os04g47290",0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0
"693","Chr4+28079988","LOC_Os04g47290",0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
"694","Chr4+28081326","LOC_Os04g47290",0,0,0,3,4,3,2,1,0,0,0,1,1,0,0,0,0,0
"695","Chr4+30018691","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,16,14
"696","Chr4+30021075","LOC_Os04g50740",10,7,8,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"697","Chr4+30018590","LOC_Os04g50740",2,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"698","Chr4+30020951","LOC_Os04g50740",23,25,11,4,2,6,0,0,0,0,0,0,0,0,0,1,2,0
