"","chrstrandcoord","gene","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","pistil1","pistil2","pistil3"
"467","Chr3-5348422","LOC_Os03g10510",230,238,189,162,219,156,217,200,269,384,375,385,638,598,595,144,119,147
"468","Chr3-5348097","LOC_Os03g10510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","Chr3-5779675","LOC_Os03g11240",2,2,3,2,2,0,1,1,1,1,1,1,6,5,5,7,7,9
"470","Chr3-5779638","LOC_Os03g11240",94,102,100,60,57,62,38,49,58,42,36,24,93,74,77,116,125,106
"471","Chr3-7103254","LOC_Os03g13170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,4
"472","Chr3-7103455","LOC_Os03g13170",3,3,0,11,5,4,1,1,2,0,1,0,0,4,0,0,1,4
"473","Chr3-7102176","LOC_Os03g13170",372,490,397,415,494,449,1226,1184,1271,1293,1171,1380,281,293,293,1048,1053,1103
"474","Chr3-7101925","LOC_Os03g13170",1,0,0,3,6,1,2,1,4,2,1,0,0,2,2,0,0,0
"475","Chr3-7103812","LOC_Os03g13170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"476","Chr3-7102010","LOC_Os03g13170",8,0,2,0,0,0,3,4,7,7,6,8,0,1,0,5,6,3
"477","Chr3-7102946","LOC_Os03g13170",2,3,3,1,1,0,1,1,3,0,6,4,2,2,4,21,21,29
"478","Chr3-7102730","LOC_Os03g13170",1,0,0,0,0,0,2,4,0,0,0,0,2,0,0,8,13,10
"479","Chr3+7231671","LOC_Os03g13390",1,0,0,15,6,16,14,13,13,11,12,11,6,6,5,0,0,1
"480","Chr3+7231779","LOC_Os03g13390",0,1,1,0,3,1,0,1,1,0,2,0,2,0,0,0,0,0
"481","Chr3+7231507","LOC_Os03g13390",47,43,55,125,138,168,173,159,209,96,74,77,23,23,22,4,2,1
"482","Chr3+7675319","LOC_Os03g14120",3,2,6,3,3,0,0,1,0,0,0,1,2,3,0,1,1,1
"483","Chr3+7675543","LOC_Os03g14120",8,1,5,10,9,9,8,4,3,1,6,0,14,24,20,4,2,6
"484","Chr3+7675886","LOC_Os03g14120",25,39,27,14,17,17,11,12,15,7,6,10,143,113,113,42,48,33
"485","Chr3+7676702","LOC_Os03g14120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"486","Chr3-7847873","LOC_Os03g14450",1,0,0,0,1,0,1,2,3,3,2,2,52,43,38,3,3,5
"487","Chr3-7847996","LOC_Os03g14450",99,106,75,105,106,90,206,205,224,616,520,573,1312,1537,1423,329,336,327
"488","Chr3-8547193","LOC_Os03g15540",0,2,0,0,4,1,0,1,0,3,2,2,1,1,2,3,3,3
"489","Chr3-8546870","LOC_Os03g15540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","Chr3-8546947","LOC_Os03g15540",59,61,61,81,82,72,75,81,98,80,77,81,67,58,64,127,135,127
"491","Chr3-8581457","LOC_Os03g15580",14,14,28,20,15,11,15,19,17,15,12,15,20,30,36,16,18,21
"492","Chr3-8581591","LOC_Os03g15580",0,0,4,2,8,5,4,3,4,7,2,2,3,10,6,3,4,10
"493","Chr3+9016497","LOC_Os03g16334",114,109,113,59,52,55,23,25,23,43,52,49,174,274,405,39,43,44
"494","Chr3+9016764","LOC_Os03g16334",0,0,0,0,0,0,0,0,0,3,2,4,4,3,3,0,0,0
"495","Chr3+9014396","LOC_Os03g16334",6,2,5,2,3,2,1,2,3,0,0,0,2,2,3,0,0,0
"496","Chr3+9252238","LOC_Os03g16700",156,157,155,108,89,83,48,49,51,101,90,128,88,60,73,27,29,31
"497","Chr3+9249735","LOC_Os03g16700",0,0,0,0,0,0,1,1,1,2,4,2,1,1,0,0,0,0
"498","Chr3+9252587","LOC_Os03g16700",562,557,555,242,237,273,119,118,116,380,477,403,273,317,240,72,60,65
"499","Chr3+9247927","LOC_Os03g16700",0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"500","Chr3-10123820","LOC_Os03g18130",0,0,0,3,2,3,0,0,1,0,1,0,2,1,3,0,0,0
"501","Chr3-10120288","LOC_Os03g18130",7,12,9,351,422,292,319,294,287,218,183,227,266,90,204,144,151,92
"502","Chr3-10196515","LOC_Os03g18190",6,6,6,2,3,5,1,0,1,1,1,2,2,2,1,0,0,0
"503","Chr3-10191681","LOC_Os03g18190",3,1,1,1,1,0,0,0,1,1,0,1,2,1,2,5,6,4
"504","Chr3-10478483","LOC_Os03g18720",51,143,81,133,140,124,231,234,248,122,88,116,58,47,38,125,128,131
"505","Chr3-10480975","LOC_Os03g18720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"506","Chr3-10478135","LOC_Os03g18720",1,1,1,4,2,3,4,6,5,1,4,6,3,4,4,7,6,2
"507","Chr3-10478323","LOC_Os03g18720",5,5,3,9,9,15,17,14,16,10,9,10,4,4,8,17,20,9
"508","Chr3-11007598","LOC_Os03g19580",97,95,97,81,92,85,115,134,146,211,177,135,149,111,112,39,42,40
"509","Chr3-11007785","LOC_Os03g19580",0,0,0,0,1,0,0,1,0,0,2,0,2,4,4,0,0,0
"510","Chr3+11272950","LOC_Os03g20010",187,197,266,205,217,206,61,72,66,11,14,14,22,14,24,28,28,31
"511","Chr3+11273211","LOC_Os03g20010",25,25,21,16,16,19,4,2,8,0,1,3,3,2,4,8,9,9
"512","Chr3-12358932","LOC_Os03g21650",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513","Chr3-12359111","LOC_Os03g21650",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"514","Chr3+12494791","LOC_Os03g21850",5,4,3,4,10,6,3,3,0,7,8,6,12,3,1,1,1,1
"515","Chr3+12493764","LOC_Os03g21850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516","Chr3+12495617","LOC_Os03g21850",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
"517","Chr3+12500195","LOC_Os03g21850",3,0,6,4,2,3,1,1,1,0,6,5,4,6,4,4,2,7
"518","Chr3+12500011","LOC_Os03g21850",53,32,47,54,54,60,31,39,20,31,36,30,88,64,83,162,154,157
"519","Chr3-12823606","LOC_Os03g22400",11,10,10,13,8,15,3,0,1,6,5,5,2,2,2,2,2,2
"520","Chr3-12823981","LOC_Os03g22400",48,59,65,58,111,76,40,54,50,24,21,37,83,64,73,98,62,100
"521","Chr3-12823726","LOC_Os03g22400",8,11,14,21,19,12,8,10,6,8,9,9,7,3,4,10,4,7
"522","Chr3-13122593","LOC_Os03g22720",51,55,54,39,35,34,32,50,44,22,21,23,69,68,68,43,34,42
"523","Chr3-13122744","LOC_Os03g22720",1,1,0,2,0,1,2,2,2,0,0,0,7,7,11,4,5,6
"524","Chr3-15967318","LOC_Os03g27830",6,3,1,3,1,0,1,1,2,1,2,0,7,5,5,2,2,2
"525","Chr3-15969754","LOC_Os03g27830",0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"526","Chr3-15967901","LOC_Os03g27830",11,27,13,18,15,18,19,19,21,3,5,4,19,22,20,16,21,21
"527","Chr3-15967045","LOC_Os03g27830",0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1
"528","Chr3-15968050","LOC_Os03g27830",4,8,1,6,4,4,7,8,8,1,2,0,26,26,33,3,0,2
"529","Chr3-15966789","LOC_Os03g27830",0,0,0,1,2,1,0,0,1,0,1,1,2,1,4,0,0,0
"530","Chr3+16632280","LOC_Os03g29240",1,1,2,0,0,1,0,0,0,8,2,8,0,1,0,0,0,0
"531","Chr3+16631923","LOC_Os03g29240",41,52,39,65,71,65,228,228,240,1276,1820,782,150,144,168,153,139,168
"532","Chr3-17265532","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"533","Chr3-17262563","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,2,1,3,3,3,1,3,0,0
"534","Chr3-17262487","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,3,2,3,9,5,9,8,11,10
"535","Chr3-19518896","LOC_Os03g34300",229,240,227,188,141,145,147,163,184,67,80,67,156,136,151,65,75,67
"536","Chr3-19519047","LOC_Os03g34300",7,0,4,2,4,4,3,0,2,0,0,0,4,4,4,2,3,1
"537","Chr3-21002655","LOC_Os03g37840",30,33,22,68,65,57,7,13,11,6,6,6,0,0,0,0,0,0
"538","Chr3-21003023","LOC_Os03g37840",10,3,6,33,25,12,5,5,5,1,1,0,0,0,0,0,0,0
"539","Chr3-21002883","LOC_Os03g37840",59,45,58,103,106,106,25,26,32,8,9,9,0,0,0,0,0,0
"540","Chr3-22168103","LOC_Os03g39860",55,13,9,11,20,2,3,8,3,2,1,1,1,0,1,0,1,0
"541","Chr3-22167896","LOC_Os03g39860",10,9,10,2,2,5,2,2,1,0,0,0,0,0,0,1,0,0
"542","Chr3-22164643","LOC_Os03g39860",954,993,1102,346,347,319,82,91,81,121,128,122,66,63,64,48,46,54
"543","Chr3-22167574","LOC_Os03g39860",23,33,25,5,17,15,6,5,3,5,3,3,0,0,1,0,0,0
"544","Chr3-22169781","LOC_Os03g39860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545","Chr3+22377852","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","Chr3+22380017","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"547","Chr3+22377915","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","Chr3+22380147","LOC_Os03g40260",24,21,23,17,26,23,11,7,20,23,19,17,34,36,18,23,14,35
"549","Chr3-24049423","LOC_Os03g43114",3,2,2,0,1,3,0,1,1,0,0,0,0,0,0,2,0,0
"550","Chr3-24052867","LOC_Os03g43114",7,12,32,12,16,18,7,8,6,0,0,0,0,0,0,1,1,1
"551","Chr3-24052315","LOC_Os03g43114",26,12,20,12,11,11,6,6,11,0,0,0,0,0,0,0,0,0
"552","Chr3-24053082","LOC_Os03g43114",0,2,1,4,5,3,1,0,2,0,0,0,0,0,1,0,0,0
"553","Chr3+26439236","LOC_Os03g46710",38,28,30,25,30,32,40,44,53,28,26,22,35,32,39,45,37,32
"554","Chr3+26439085","LOC_Os03g46710",4,8,6,19,12,9,15,15,15,18,15,17,10,12,16,4,18,6
"555","Chr3+27123759","LOC_Os03g47780",30,19,27,43,41,50,34,28,41,28,34,42,40,45,38,34,33,31
"556","Chr3+27120063","LOC_Os03g47780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557","Chr3+27256555","LOC_Os03g47940",0,0,0,0,0,0,0,0,0,0,0,0,150,143,155,494,493,498
"558","Chr3+27252695","LOC_Os03g47940",1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"559","Chr3-27300750","LOC_Os03g48030",57,54,62,25,24,21,5,2,4,1,2,1,0,0,0,3,4,0
"560","Chr3-27300866","LOC_Os03g48030",319,344,384,154,131,137,18,26,31,3,0,2,0,0,0,9,7,0
"561","Chr3-27300940","LOC_Os03g48030",39,33,26,18,3,6,1,1,1,0,0,0,0,0,0,0,0,0
"562","Chr3-27300989","LOC_Os03g48030",16,17,19,3,3,8,7,3,0,0,0,0,0,0,0,0,0,0
"563","Chr3+27825665","LOC_Os03g48840",10,11,28,10,9,12,34,26,25,26,25,11,53,71,68,54,60,52
"564","Chr3+27823905","LOC_Os03g48840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","Chr3-30062335","LOC_Os03g52340",28,22,58,77,54,29,35,56,42,359,374,374,55,61,18,37,34,53
"566","Chr3-30062223","LOC_Os03g52340",0,0,0,0,0,0,0,0,0,10,6,4,1,0,0,0,0,1
"567","Chr3-32360717","LOC_Os03g56790",1026,1015,1023,600,570,631,1074,1015,1013,627,614,574,400,390,552,350,366,351
"568","Chr3-32361758","LOC_Os03g56790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","Chr3-32363116","LOC_Os03g56790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570","Chr3-32363706","LOC_Os03g56790",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"571","Chr3+32378357","LOC_Os03g56820",3,1,2,1,1,1,1,1,0,34,30,35,144,155,163,155,140,154
"572","Chr3+32378673","LOC_Os03g56820",1,2,2,0,0,2,0,0,0,8,7,4,21,20,24,24,29,27
"573","Chr3-32570108","LOC_Os03g57130",4,4,3,7,0,2,9,4,2,1,0,1,1,0,0,0,0,3
"574","Chr3-32570066","LOC_Os03g57130",118,109,105,191,154,182,124,112,136,71,61,91,25,26,26,40,42,40
"575","Chr3+33035379","LOC_Os03g58010",22,17,27,35,33,32,20,8,12,22,11,19,1,1,0,0,2,2
"576","Chr3+33035627","LOC_Os03g58010",27,17,24,27,31,30,6,12,5,10,10,11,0,0,0,0,0,0
"577","Chr3+33187191","LOC_Os03g58240",38,32,3,53,36,48,37,22,38,84,86,85,99,90,73,54,48,42
"578","Chr3+33183983","LOC_Os03g58240",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"579","Chr3-33190872","LOC_Os03g58250",1,3,6,2,1,6,6,0,2,7,12,14,2,0,4,4,2,3
"580","Chr3-33187380","LOC_Os03g58250",52,52,76,109,85,84,31,29,33,148,132,142,34,22,43,41,30,44
"581","Chr3-33539234","LOC_Os03g58910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Chr3-33530087","LOC_Os03g58910",20,21,23,36,35,19,35,33,40,35,35,33,16,16,12,21,21,25
"583","Chr3-33530530","LOC_Os03g58910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","Chr3-33530257","LOC_Os03g58910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585","Chr3-33530461","LOC_Os03g58910",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","Chr3+33713385","LOC_Os03g59200",8,5,4,3,0,0,0,5,1,0,1,3,3,2,5,35,31,35
"587","Chr3+33713543","LOC_Os03g59200",3,1,4,1,0,0,0,0,1,2,1,2,5,4,3,17,19,17
"588","Chr3+33713681","LOC_Os03g59200",1,0,1,0,0,0,0,0,0,0,1,0,3,0,4,3,2,1
"589","Chr3+33734975","LOC_Os03g59240",0,4,4,4,4,6,7,4,7,27,32,24,10,21,17,61,68,76
"590","Chr3+33735183","LOC_Os03g59240",0,3,0,0,1,0,1,0,1,0,1,2,2,0,1,10,12,11
"591","Chr3+33734791","LOC_Os03g59240",3,1,0,1,1,1,0,0,0,1,1,2,0,0,0,1,1,0
"592","Chr3-34820693","LOC_Os03g61340",136,110,136,125,93,117,193,225,209,62,98,86,77,62,77,79,77,68
"593","Chr3-34820824","LOC_Os03g61340",9,15,11,34,35,31,22,17,22,7,11,9,10,12,6,8,5,13
"594","Chr3-35447854","LOC_Os03g62640",0,0,0,1,3,2,1,1,1,0,0,0,0,0,0,1,1,1
"595","Chr3-35446445","LOC_Os03g62640",136,145,97,131,169,141,101,126,116,15,152,63,83,56,64,123,122,106
"596","Chr3-35447557","LOC_Os03g62640",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"597","Chr3-35447302","LOC_Os03g62640",0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,1,3,4
"598","Chr3-35664360","LOC_Os03g63074",6,3,6,0,2,1,7,9,10,6,10,7,112,75,77,65,65,51
"599","Chr3-35659856","LOC_Os03g63074",11,16,20,40,27,25,5,7,7,0,0,0,5,2,4,12,1,7
"600","Chr3-35660476","LOC_Os03g63074",0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,2,2
"601","Chr3-35665518","LOC_Os03g63074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602","Chr3+36175491","LOC_Os03g64010",11,19,14,16,15,16,8,9,9,3,5,3,14,13,13,4,8,4
"603","Chr3+36175371","LOC_Os03g64010",182,185,178,194,180,173,163,170,136,8,1,15,46,27,42,44,38,39
"604","Chr3+36175655","LOC_Os03g64010",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"605","Chr3-36265888","LOC_Os03g64190",0,0,0,1,0,1,1,0,1,1,0,0,1,2,1,4,5,6
"606","Chr3-36265551","LOC_Os03g64190",76,94,53,54,65,70,56,68,64,46,54,66,44,55,69,62,84,88
"607","Chr3-36265422","LOC_Os03g64190",1,4,1,4,0,2,0,0,1,1,1,1,2,1,1,1,0,2
"608","Chr4-227055","LOC_Os04g01300",7,2,7,14,7,10,18,29,17,20,32,24,5,10,15,12,16,18
"609","Chr4-226904","LOC_Os04g01300",174,156,166,191,196,220,285,272,262,508,506,506,94,66,110,267,251,227
"610","Chr4-4446093","LOC_Os04g08330",0,6,5,1,5,1,1,4,2,5,13,14,11,10,10,1,1,1
"611","Chr4-4446276","LOC_Os04g08330",43,40,30,30,24,23,21,16,17,25,24,21,37,42,36,20,23,17
"612","Chr4-4446462","LOC_Os04g08330",20,21,17,10,13,12,19,17,22,22,20,21,23,20,18,16,24,20
"613","Chr4+4455326","LOC_Os04g08340",3,1,4,2,3,3,4,4,3,5,6,6,8,4,7,19,20,10
"614","Chr4+4455129","LOC_Os04g08340",4,3,0,1,0,1,3,4,0,1,1,1,1,1,0,15,17,9
"615","Chr4+4455602","LOC_Os04g08340",1,1,1,2,1,0,3,0,2,3,1,0,2,1,2,2,2,2
"616","Chr4+4455445","LOC_Os04g08340",3,3,2,0,0,3,7,8,8,4,5,4,4,2,4,7,9,7
"617","Chr4-8310605","LOC_Os04g14790",0,2,2,2,2,2,0,0,0,2,2,3,0,2,1,0,1,1
"618","Chr4-8307366","LOC_Os04g14790",98,87,114,121,124,122,95,85,88,84,70,105,148,111,123,102,75,59
"619","Chr4-13821867","LOC_Os04g24170",4,4,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,1
"620","Chr4-13821597","LOC_Os04g24170",7,4,4,5,5,5,5,9,10,1,0,2,4,4,4,4,3,4
"621","Chr4-13822060","LOC_Os04g24170",2,0,1,2,2,0,1,0,1,0,0,0,0,0,1,1,0,0
"622","Chr4-13821797","LOC_Os04g24170",126,109,124,160,110,146,157,163,168,48,46,52,43,45,39,63,62,58
"623","Chr4-16645532","LOC_Os04g28180",8,3,5,4,6,4,5,7,7,17,1,20,9,9,8,1,7,11
"624","Chr4-16645840","LOC_Os04g28180",518,554,545,754,744,764,2364,2316,2309,1704,1720,1652,658,625,636,1847,1922,1847
"625","Chr4-16645602","LOC_Os04g28180",0,0,0,1,1,0,2,1,2,3,2,1,2,1,2,1,1,1
"626","Chr4+19411544","LOC_Os04g32370",39,38,38,24,18,16,14,13,23,24,17,16,9,18,13,8,4,6
"627","Chr4+19418448","LOC_Os04g32370",34,35,16,25,41,32,19,20,23,22,21,2,71,66,62,10,16,7
"628","Chr4+19418720","LOC_Os04g32370",17,29,24,67,65,69,45,35,42,47,50,49,122,118,94,28,24,24
"629","Chr4+19677678","LOC_Os04g32650",0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"630","Chr4+19682169","LOC_Os04g32650",61,60,76,56,49,48,36,36,27,23,24,26,2,2,0,4,5,1
"631","Chr4+19682000","LOC_Os04g32650",140,84,191,228,214,215,153,154,159,141,127,139,18,18,25,30,32,33
"632","Chr4+19693301","LOC_Os04g32670",113,80,120,107,124,114,170,197,160,118,141,97,51,42,58,126,105,112
"633","Chr4+19694653","LOC_Os04g32670",2,2,2,1,0,1,0,1,1,1,0,3,1,1,1,2,4,0
"634","Chr4-20046676","LOC_Os04g33110",6,6,5,2,1,2,1,0,0,3,2,3,0,0,0,1,3,1
"635","Chr4-20045934","LOC_Os04g33110",5601,5797,5649,2343,2464,2168,4122,4254,3997,1127,1016,1040,417,389,424,1258,1410,1371
"636","Chr4-20124695","LOC_Os04g33280",68,68,71,88,99,92,56,48,55,13,9,29,14,13,15,11,11,11
"637","Chr4-20124949","LOC_Os04g33280",1,3,7,3,4,2,5,0,6,2,0,0,0,1,1,2,1,0
"638","Chr4-20125077","LOC_Os04g33280",139,142,152,121,124,106,84,94,98,54,52,47,67,50,67,58,51,57
"639","Chr4+20872624","LOC_Os04g34450",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"640","Chr4+20872284","LOC_Os04g34450",111,108,114,100,89,97,89,91,71,110,137,137,202,236,207,107,110,93
"641","Chr4+20865574","LOC_Os04g34450",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"642","Chr4+21268294","LOC_Os04g34984",1,1,4,1,2,1,1,0,1,0,0,1,8,12,9,1,0,7
"643","Chr4+21268742","LOC_Os04g34984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644","Chr4+21265387","LOC_Os04g34984",0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,2,1
"645","Chr4+21267966","LOC_Os04g34984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"646","Chr4+21268220","LOC_Os04g34984",11,39,32,43,48,40,60,54,54,39,21,47,48,47,61,42,41,32
"647","Chr4-21461913","LOC_Os04g35290",5,2,5,1,1,3,3,2,3,2,2,0,1,1,2,1,1,1
"648","Chr4-21462280","LOC_Os04g35290",0,0,0,0,0,0,2,2,2,0,2,0,1,2,0,2,3,4
"649","Chr4-21462068","LOC_Os04g35290",62,114,65,73,86,87,137,98,119,63,67,75,15,36,38,47,57,51
"650","Chr4+21847904","LOC_Os04g35840",9,11,9,4,3,2,13,11,12,3,0,1,4,10,10,4,3,2
"651","Chr4+21848067","LOC_Os04g35840",280,294,285,91,98,95,203,208,195,51,39,55,87,92,85,46,18,36
"652","Chr4-22837568","LOC_Os04g38410",4,1,2,0,0,1,0,0,0,0,0,1,0,0,3,1,1,1
"653","Chr4-22835915","LOC_Os04g38410",29764,30436,30313,16116,15671,16019,1677,1798,2019,9,8,3,564,643,533,1263,1481,1341
"654","Chr4-23182531","LOC_Os04g39030",7,7,7,1,0,0,1,0,1,2,3,2,3,6,3,0,1,0
"655","Chr4-23178432","LOC_Os04g39030",0,0,0,1,1,1,0,0,0,1,1,1,63,64,67,0,0,1
"656","Chr4+24375527","LOC_Os04g41100",2,2,2,0,0,0,1,1,1,0,0,0,1,2,2,2,0,0
"657","Chr4+24377215","LOC_Os04g41100",1,2,1,3,10,1,0,0,1,0,0,0,0,0,0,1,1,1
"658","Chr4+24375624","LOC_Os04g41100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659","Chr4+24376982","LOC_Os04g41100",12,17,19,9,10,9,9,5,11,6,1,6,2,2,4,4,5,7
"660","Chr4+24375892","LOC_Os04g41100",3,0,2,3,6,1,1,1,0,0,0,0,0,2,1,6,9,2
"661","Chr4+24378221","LOC_Os04g41100",27,21,34,11,15,14,19,9,9,16,16,18,10,9,5,5,1,1
"662","Chr4+24378067","LOC_Os04g41100",7,4,4,1,6,0,0,2,3,2,1,2,3,2,1,1,1,1
"663","Chr4+24376899","LOC_Os04g41100",5,3,19,30,31,26,22,17,24,2,6,3,14,4,11,8,7,6
"664","Chr4+24375297","LOC_Os04g41100",117,123,70,143,161,156,130,137,120,55,63,72,66,67,79,69,72,70
"665","Chr4+24376800","LOC_Os04g41100",3,3,3,7,3,5,0,6,0,0,1,0,2,0,6,3,2,2
"666","Chr4+24377050","LOC_Os04g41100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"667","Chr4+24378165","LOC_Os04g41100",16,10,6,3,4,3,1,4,5,2,0,2,0,1,1,1,0,1
"668","Chr4+24375988","LOC_Os04g41100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"669","Chr4+24377632","LOC_Os04g41100",9,7,17,14,14,13,13,14,3,12,5,7,7,10,9,9,8,8
"670","Chr4+24468762","LOC_Os04g41229",59,60,61,60,69,67,7,8,19,220,224,185,0,0,0,0,0,0
"671","Chr4+24462034","LOC_Os04g41229",0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0
"672","Chr4+24505398","LOC_Os04g41280",0,1,2,0,0,0,0,1,0,7,3,11,29,27,33,85,75,86
"673","Chr4+24503052","LOC_Os04g41280",9,8,18,10,3,7,10,17,11,19,18,9,6,5,5,5,6,3
"674","Chr4+24515245","LOC_Os04g41310",22,6,18,58,56,59,74,66,62,62,68,53,0,0,0,3,0,2
"675","Chr4+24515684","LOC_Os04g41310",2,0,0,4,11,13,10,10,7,4,4,3,0,0,0,0,0,0
"676","Chr4+24515551","LOC_Os04g41310",0,0,0,8,6,16,10,11,7,4,5,2,0,0,0,0,0,0
"677","Chr4+24515494","LOC_Os04g41310",26,47,17,166,148,181,150,142,149,77,72,80,0,0,0,2,3,2
"678","Chr4+24515364","LOC_Os04g41310",23,15,18,80,82,85,71,92,79,50,48,56,0,0,1,2,3,0
"679","Chr4+25548760","LOC_Os04g43150",15,14,13,16,8,10,17,19,18,21,28,30,98,63,56,90,92,79
"680","Chr4+25548907","LOC_Os04g43150",29,28,26,35,43,33,35,35,48,31,36,37,67,52,59,53,53,55
"681","Chr4+25548632","LOC_Os04g43150",0,0,0,0,0,0,0,0,0,0,1,4,5,3,2,2,3,3
"682","Chr4-26023984","LOC_Os04g43916",42,48,48,22,19,26,39,37,46,76,71,75,23,23,24,15,20,34
"683","Chr4-26024059","LOC_Os04g43916",8,6,6,4,4,4,3,0,3,13,17,7,1,0,0,1,0,2
"684","Chr4+26494070","LOC_Os04g44710",6,10,13,9,9,5,4,4,5,6,10,11,32,26,26,23,9,18
"685","Chr4+26494603","LOC_Os04g44710",0,0,0,0,0,0,1,3,0,1,1,2,1,1,1,1,1,1
"686","Chr4+26494227","LOC_Os04g44710",9,5,1,4,3,12,1,1,1,7,6,5,17,6,17,8,10,7
"687","Chr4-27260359","LOC_Os04g46020",36,44,33,33,36,39,82,74,64,80,107,74,89,103,119,150,161,148
"688","Chr4-27260424","LOC_Os04g46020",0,0,8,2,2,3,2,2,4,5,5,5,7,7,2,10,5,6
"689","Chr4-27260178","LOC_Os04g46020",7,6,6,8,4,5,8,7,11,27,26,38,11,12,9,15,11,6
"690","Chr4+28081226","LOC_Os04g47290",71,71,80,53,59,61,7,17,18,2,3,1,5,7,7,5,10,20
"691","Chr4+28080026","LOC_Os04g47290",3,0,1,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0
"692","Chr4+28079833","LOC_Os04g47290",3,5,4,3,3,0,0,0,2,0,1,1,1,0,2,0,1,0
"693","Chr4+28079988","LOC_Os04g47290",1,5,1,2,1,3,0,0,0,0,0,0,1,3,2,0,0,0
"694","Chr4+28081326","LOC_Os04g47290",9,5,9,5,5,5,2,1,0,1,0,0,0,1,2,2,2,2
"695","Chr4+30018691","LOC_Os04g50740",7,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"696","Chr4+30021075","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,3
"697","Chr4+30018590","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"698","Chr4+30020951","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"699","Chr4+30017597","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"700","Chr4+30017765","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,2
