"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","leaf_60days1","leaf_60days2","leaf_60days3","husk1","husk2","husk3","anther1","anther2","anther3","embryo1","embryo2","embryo3"
"467","Chr3-5348422","LOC_Os03g10510",99,138,97,247,228,187,162,219,156,173,174,170,638,598,595,96,129,124
"468","Chr3-5348097","LOC_Os03g10510",6,10,15,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7
"469","Chr3-5779675","LOC_Os03g11240",6,7,2,0,0,3,2,2,0,2,2,0,6,5,5,11,9,8
"470","Chr3-5779638","LOC_Os03g11240",87,91,67,38,41,46,60,57,62,50,45,37,93,74,77,89,89,89
"471","Chr3-7103254","LOC_Os03g13170",7,12,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"472","Chr3-7103455","LOC_Os03g13170",163,137,151,41,64,58,11,5,4,1,0,2,0,4,0,164,170,178
"473","Chr3-7102176","LOC_Os03g13170",1670,1979,1199,1062,1295,1514,415,494,449,796,748,710,281,293,293,1652,1521,1413
"474","Chr3-7101925","LOC_Os03g13170",2,1,1,0,1,1,3,6,1,2,2,5,0,2,2,1,1,2
"475","Chr3-7103812","LOC_Os03g13170",6,13,8,5,4,4,0,0,0,0,0,0,0,0,0,12,13,11
"476","Chr3-7102010","LOC_Os03g13170",3,3,2,0,0,3,0,0,0,6,2,7,0,1,0,3,3,3
"477","Chr3-7102946","LOC_Os03g13170",262,295,159,33,52,27,1,1,0,3,4,0,2,2,4,1362,1725,1106
"478","Chr3-7102730","LOC_Os03g13170",4,10,11,1,4,0,0,0,0,1,0,2,2,0,0,8,0,9
"479","Chr3+7231671","LOC_Os03g13390",27,16,13,1,0,5,15,6,16,1,2,1,6,6,5,0,2,3
"480","Chr3+7231779","LOC_Os03g13390",4,6,4,2,2,2,0,3,1,0,0,0,2,0,0,1,1,1
"481","Chr3+7231507","LOC_Os03g13390",271,189,177,45,47,61,125,138,168,26,23,3,23,23,22,43,35,39
"482","Chr3+7675319","LOC_Os03g14120",4,2,3,2,2,1,3,3,0,3,4,0,2,3,0,6,5,5
"483","Chr3+7675543","LOC_Os03g14120",5,5,2,13,16,17,10,9,9,13,7,10,14,24,20,15,15,14
"484","Chr3+7675886","LOC_Os03g14120",6,6,5,43,42,28,14,17,17,28,40,33,143,113,113,28,27,16
"485","Chr3+7676702","LOC_Os03g14120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"486","Chr3-7847873","LOC_Os03g14450",1,0,0,2,1,3,0,1,0,6,0,10,52,43,38,2,2,3
"487","Chr3-7847996","LOC_Os03g14450",159,197,170,330,292,307,105,106,90,592,583,685,1312,1537,1423,279,276,278
"488","Chr3-8547193","LOC_Os03g15540",24,2,7,1,2,8,0,4,1,0,0,0,1,1,2,20,30,16
"489","Chr3-8546870","LOC_Os03g15540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","Chr3-8546947","LOC_Os03g15540",49,70,67,86,84,88,81,82,72,45,59,90,67,58,64,27,46,58
"491","Chr3-8581457","LOC_Os03g15580",2,4,18,9,14,5,20,15,11,18,28,22,20,30,36,16,16,18
"492","Chr3-8581591","LOC_Os03g15580",22,22,37,4,3,0,2,8,5,3,4,4,3,10,6,28,26,26
"493","Chr3+9016497","LOC_Os03g16334",503,502,523,194,155,251,59,52,55,108,93,76,174,274,405,659,492,556
"494","Chr3+9016764","LOC_Os03g16334",5,5,10,1,2,6,0,0,0,0,0,1,4,3,3,1,5,4
"495","Chr3+9014396","LOC_Os03g16334",2,4,2,0,1,2,2,3,2,1,0,3,2,2,3,0,0,0
"496","Chr3+9252238","LOC_Os03g16700",27,34,34,23,30,17,108,89,83,49,43,68,88,60,73,13,19,31
"497","Chr3+9249735","LOC_Os03g16700",0,2,6,2,0,1,0,0,0,4,3,3,1,1,0,0,0,0
"498","Chr3+9252587","LOC_Os03g16700",10,98,39,43,41,50,242,237,273,277,271,170,273,317,240,6,15,43
"499","Chr3+9247927","LOC_Os03g16700",5,3,0,0,2,1,4,1,0,4,5,2,0,0,0,3,3,2
"500","Chr3-10123820","LOC_Os03g18130",0,3,1,0,0,0,3,2,3,0,0,0,2,1,3,0,1,1
"501","Chr3-10120288","LOC_Os03g18130",72,75,69,4,9,7,351,422,292,198,176,175,266,90,204,37,18,27
"502","Chr3-10196515","LOC_Os03g18190",2,3,0,2,1,3,2,3,5,0,1,1,2,2,1,1,0,1
"503","Chr3-10191681","LOC_Os03g18190",6,6,0,0,1,0,1,1,0,3,3,1,2,1,2,3,6,10
"504","Chr3-10478483","LOC_Os03g18720",107,171,221,228,274,305,133,140,124,72,102,91,58,47,38,175,196,223
"505","Chr3-10480975","LOC_Os03g18720",2,1,3,0,4,0,0,0,0,2,2,1,0,0,1,2,0,4
"506","Chr3-10478135","LOC_Os03g18720",23,21,39,11,20,9,4,2,3,1,0,3,3,4,4,33,39,40
"507","Chr3-10478323","LOC_Os03g18720",22,14,21,14,23,18,9,9,15,5,5,5,4,4,8,34,25,32
"508","Chr3-11007598","LOC_Os03g19580",39,36,27,46,46,50,81,92,85,66,90,69,149,111,112,40,47,32
"509","Chr3-11007785","LOC_Os03g19580",3,2,1,0,0,0,0,1,0,0,0,2,2,4,4,1,0,1
"510","Chr3+11272950","LOC_Os03g20010",10,10,12,11,22,22,205,217,206,62,65,61,22,14,24,10,16,3
"511","Chr3+11273211","LOC_Os03g20010",2,6,1,0,0,1,16,16,19,5,6,7,3,2,4,0,6,2
"512","Chr3-12358932","LOC_Os03g21650",38,29,20,0,0,2,0,0,0,0,0,0,0,0,0,22,12,11
"513","Chr3-12359111","LOC_Os03g21650",215,104,121,134,86,110,0,0,0,0,0,0,0,0,1,227,227,229
"514","Chr3+12494791","LOC_Os03g21850",3,3,0,5,3,2,4,10,6,3,3,0,12,3,1,4,2,1
"515","Chr3+12493764","LOC_Os03g21850",3,4,9,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0
"516","Chr3+12495617","LOC_Os03g21850",6,5,8,1,14,5,0,0,0,5,2,2,0,0,1,1,0,0
"517","Chr3+12500195","LOC_Os03g21850",6,15,7,13,14,12,4,2,3,7,8,6,4,6,4,9,2,8
"518","Chr3+12500011","LOC_Os03g21850",118,129,157,262,266,289,54,54,60,117,119,114,88,64,83,141,137,141
"519","Chr3-12823606","LOC_Os03g22400",13,13,1,14,10,5,13,8,15,3,2,10,2,2,2,8,4,13
"520","Chr3-12823981","LOC_Os03g22400",103,105,74,36,36,27,58,111,76,41,67,72,83,64,73,173,178,173
"521","Chr3-12823726","LOC_Os03g22400",8,16,24,7,13,3,21,19,12,18,3,18,7,3,4,7,10,5
"522","Chr3-13122593","LOC_Os03g22720",8,9,13,32,58,45,39,35,34,27,21,26,69,68,68,6,9,8
"523","Chr3-13122744","LOC_Os03g22720",2,0,6,4,0,1,2,0,1,5,3,5,7,7,11,7,1,4
"524","Chr3-15967318","LOC_Os03g27830",1,0,0,0,0,0,3,1,0,4,3,3,7,5,5,0,1,0
"525","Chr3-15969754","LOC_Os03g27830",0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"526","Chr3-15967901","LOC_Os03g27830",10,1,13,4,21,26,18,15,18,33,22,24,19,22,20,47,22,10
"527","Chr3-15967045","LOC_Os03g27830",0,0,4,1,0,4,0,0,0,0,1,0,1,1,1,0,0,0
"528","Chr3-15968050","LOC_Os03g27830",1,5,0,2,4,0,6,4,4,9,7,16,26,26,33,7,9,1
"529","Chr3-15966789","LOC_Os03g27830",7,2,5,0,4,1,1,2,1,0,0,1,2,1,4,0,0,0
"530","Chr3+16632280","LOC_Os03g29240",0,1,6,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"531","Chr3+16631923","LOC_Os03g29240",112,106,106,178,118,92,65,71,65,296,300,272,150,144,168,35,30,37
"532","Chr3-17265532","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"533","Chr3-17262563","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,0,0
"534","Chr3-17262487","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,5,7,6,9,5,9,0,0,0
"535","Chr3-19518896","LOC_Os03g34300",30,59,52,38,31,42,188,141,145,112,88,86,156,136,151,38,37,36
"536","Chr3-19519047","LOC_Os03g34300",20,11,12,3,3,3,2,4,4,5,6,1,4,4,4,12,11,11
"537","Chr3-21002655","LOC_Os03g37840",0,0,0,0,0,0,68,65,57,2,0,1,0,0,0,0,0,0
"538","Chr3-21003023","LOC_Os03g37840",0,0,0,0,0,0,33,25,12,1,10,3,0,0,0,0,0,0
"539","Chr3-21002883","LOC_Os03g37840",3,3,1,1,1,1,103,106,106,16,26,28,0,0,0,0,0,0
"540","Chr3-22168103","LOC_Os03g39860",0,0,0,0,0,0,11,20,2,0,0,0,1,0,1,2,2,4
"541","Chr3-22167896","LOC_Os03g39860",0,0,0,0,0,0,2,2,5,0,0,1,0,0,0,1,0,0
"542","Chr3-22164643","LOC_Os03g39860",103,138,85,63,49,55,346,347,319,61,58,64,66,63,64,103,94,95
"543","Chr3-22167574","LOC_Os03g39860",0,0,0,0,0,0,5,17,15,2,2,1,0,0,1,0,0,0
"544","Chr3-22169781","LOC_Os03g39860",1,3,3,2,6,6,0,0,0,0,0,0,0,0,0,2,5,4
"545","Chr3+22377852","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","Chr3+22380017","LOC_Os03g40260",8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,8,5
"547","Chr3+22377915","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","Chr3+22380147","LOC_Os03g40260",49,51,52,16,10,18,17,26,23,12,12,15,34,36,18,75,93,81
"549","Chr3-24049423","LOC_Os03g43114",1,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0
"550","Chr3-24052867","LOC_Os03g43114",0,0,0,0,0,0,12,16,18,0,0,0,0,0,0,0,0,0
"551","Chr3-24052315","LOC_Os03g43114",0,0,0,0,0,2,12,11,11,3,3,7,0,0,0,5,3,3
"552","Chr3-24053082","LOC_Os03g43114",0,0,0,0,0,0,4,5,3,1,1,1,0,0,1,0,0,0
"553","Chr3+26439236","LOC_Os03g46710",14,55,46,27,31,20,25,30,32,23,19,24,35,32,39,38,50,36
"554","Chr3+26439085","LOC_Os03g46710",11,13,17,13,13,2,19,12,9,6,4,5,10,12,16,22,33,24
"555","Chr3+27123759","LOC_Os03g47780",76,13,97,26,28,10,43,41,50,40,41,42,40,45,38,45,80,75
"556","Chr3+27120063","LOC_Os03g47780",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"557","Chr3+27256555","LOC_Os03g47940",4,4,6,39,28,48,0,0,0,76,75,76,150,143,155,9,9,3
"558","Chr3+27252695","LOC_Os03g47940",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"559","Chr3-27300750","LOC_Os03g48030",0,0,0,11,2,4,25,24,21,0,0,1,0,0,0,3,0,2
"560","Chr3-27300866","LOC_Os03g48030",1,2,1,8,18,9,154,131,137,4,6,5,0,0,0,9,9,6
"561","Chr3-27300940","LOC_Os03g48030",1,3,0,0,0,0,18,3,6,0,0,0,0,0,0,10,10,10
"562","Chr3-27300989","LOC_Os03g48030",1,4,2,0,3,2,3,3,8,0,0,0,0,0,0,1,4,2
"563","Chr3+27825665","LOC_Os03g48840",45,34,43,86,95,85,10,9,12,33,32,41,53,71,68,29,25,32
"564","Chr3+27823905","LOC_Os03g48840",8,8,14,3,1,3,0,0,0,0,0,1,0,0,0,31,31,29
"565","Chr3-30062335","LOC_Os03g52340",103,125,127,106,94,89,77,54,29,24,47,66,55,61,18,149,164,164
"566","Chr3-30062223","LOC_Os03g52340",0,0,0,0,2,3,0,0,0,4,3,5,1,0,0,0,0,0
"567","Chr3-32360717","LOC_Os03g56790",808,937,746,961,985,876,600,570,631,1012,999,1009,400,390,552,452,452,452
"568","Chr3-32361758","LOC_Os03g56790",2,0,1,2,3,1,0,0,0,2,2,2,0,0,0,0,0,0
"569","Chr3-32363116","LOC_Os03g56790",7,9,6,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"570","Chr3-32363706","LOC_Os03g56790",10,6,2,11,14,16,1,0,0,2,2,2,1,0,0,1,1,1
"571","Chr3+32378357","LOC_Os03g56820",0,0,0,49,88,68,1,1,1,63,26,43,144,155,163,4,1,1
"572","Chr3+32378673","LOC_Os03g56820",1,0,1,6,1,6,0,0,2,14,12,2,21,20,24,3,6,0
"573","Chr3-32570108","LOC_Os03g57130",24,34,41,3,8,0,7,0,2,12,1,6,1,0,0,35,14,53
"574","Chr3-32570066","LOC_Os03g57130",87,91,62,31,101,3,191,154,182,80,118,104,25,26,26,181,208,198
"575","Chr3+33035379","LOC_Os03g58010",7,3,2,15,0,7,35,33,32,3,0,1,1,1,0,1,0,6
"576","Chr3+33035627","LOC_Os03g58010",0,0,2,2,2,0,27,31,30,0,1,0,0,0,0,0,0,0
"577","Chr3+33187191","LOC_Os03g58240",38,38,29,35,18,33,53,36,48,24,26,16,99,90,73,24,30,27
"578","Chr3+33183983","LOC_Os03g58240",3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
"579","Chr3-33190872","LOC_Os03g58250",12,11,12,1,6,13,2,1,6,11,13,0,2,0,4,1,3,2
"580","Chr3-33187380","LOC_Os03g58250",37,35,35,24,26,25,109,85,84,43,28,39,34,22,43,21,24,25
"581","Chr3-33539234","LOC_Os03g58910",10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"582","Chr3-33530087","LOC_Os03g58910",65,56,74,49,71,93,36,35,19,23,23,26,16,16,12,61,56,48
"583","Chr3-33530530","LOC_Os03g58910",17,8,14,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3
"584","Chr3-33530257","LOC_Os03g58910",8,9,7,1,0,0,0,0,0,2,1,0,0,0,0,2,2,2
"585","Chr3-33530461","LOC_Os03g58910",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"586","Chr3+33713385","LOC_Os03g59200",0,0,0,3,12,7,3,0,0,12,0,9,3,2,5,1,1,1
"587","Chr3+33713543","LOC_Os03g59200",0,1,1,3,3,3,1,0,0,4,1,6,5,4,3,0,0,0
"588","Chr3+33713681","LOC_Os03g59200",0,0,0,0,0,0,0,0,0,3,2,1,3,0,4,0,2,0
"589","Chr3+33734975","LOC_Os03g59240",0,8,6,17,12,14,4,4,6,29,31,30,10,21,17,5,5,6
"590","Chr3+33735183","LOC_Os03g59240",0,2,0,0,0,1,0,1,0,6,9,15,2,0,1,0,0,0
"591","Chr3+33734791","LOC_Os03g59240",0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0
"592","Chr3-34820693","LOC_Os03g61340",72,86,102,50,17,41,125,93,117,121,107,110,77,62,77,109,109,109
"593","Chr3-34820824","LOC_Os03g61340",27,28,37,12,8,14,34,35,31,12,11,12,10,12,6,44,60,53
"594","Chr3-35447854","LOC_Os03g62640",6,5,2,8,0,4,1,3,2,2,1,0,0,0,0,1,1,1
"595","Chr3-35446445","LOC_Os03g62640",153,226,272,154,166,47,131,169,141,69,71,70,83,56,64,238,192,233
"596","Chr3-35447557","LOC_Os03g62640",3,6,3,4,1,5,0,0,0,0,0,0,0,1,0,1,1,1
"597","Chr3-35447302","LOC_Os03g62640",7,12,9,0,1,0,1,3,0,2,2,2,0,0,2,1,1,1
"598","Chr3-35664360","LOC_Os03g63074",1444,1651,1239,966,767,750,0,2,1,69,70,57,112,75,77,1335,1778,1129
"599","Chr3-35659856","LOC_Os03g63074",2,0,2,10,2,8,40,27,25,2,0,4,5,2,4,6,6,6
"600","Chr3-35660476","LOC_Os03g63074",1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,1,2,2
"601","Chr3-35665518","LOC_Os03g63074",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"602","Chr3+36175491","LOC_Os03g64010",7,7,4,8,4,2,16,15,16,12,12,10,14,13,13,6,5,3
"603","Chr3+36175371","LOC_Os03g64010",53,36,34,32,5,96,194,180,173,55,16,65,46,27,42,1,8,22
"604","Chr3+36175655","LOC_Os03g64010",0,8,8,0,0,0,0,0,0,0,0,1,1,0,0,2,6,3
"605","Chr3-36265888","LOC_Os03g64190",12,15,20,4,11,5,1,0,1,10,1,9,1,2,1,11,2,7
"606","Chr3-36265551","LOC_Os03g64190",109,98,98,84,91,90,54,65,70,82,75,81,44,55,69,165,137,184
"607","Chr3-36265422","LOC_Os03g64190",7,13,17,7,17,7,4,0,2,2,0,5,2,1,1,2,1,2
"608","Chr4-227055","LOC_Os04g01300",25,18,33,36,28,41,14,7,10,24,14,21,5,10,15,35,50,48
"609","Chr4-226904","LOC_Os04g01300",109,126,55,107,360,228,191,196,220,222,309,291,94,66,110,162,176,182
"610","Chr4-4446093","LOC_Os04g08330",7,9,7,12,5,13,1,5,1,0,0,0,11,10,10,1,1,1
"611","Chr4-4446276","LOC_Os04g08330",8,7,5,47,55,35,30,24,23,23,27,27,37,42,36,11,9,7
"612","Chr4-4446462","LOC_Os04g08330",16,7,20,14,24,26,10,13,12,27,18,13,23,20,18,18,16,16
"613","Chr4+4455326","LOC_Os04g08340",1,0,6,21,14,11,2,3,3,6,10,11,8,4,7,10,10,0
"614","Chr4+4455129","LOC_Os04g08340",1,3,14,4,0,5,1,0,1,1,1,0,1,1,0,18,18,18
"615","Chr4+4455602","LOC_Os04g08340",0,0,0,2,2,3,2,1,0,1,0,0,2,1,2,0,0,0
"616","Chr4+4455445","LOC_Os04g08340",0,0,0,4,3,5,0,0,3,1,3,2,4,2,4,0,1,0
"617","Chr4-8310605","LOC_Os04g14790",1,1,1,3,0,2,2,2,2,1,0,4,0,2,1,0,0,0
"618","Chr4-8307366","LOC_Os04g14790",104,234,176,45,37,15,121,124,122,77,91,78,148,111,123,184,209,179
"619","Chr4-13821867","LOC_Os04g24170",1,13,9,3,3,3,0,1,0,0,0,1,0,1,0,9,9,10
"620","Chr4-13821597","LOC_Os04g24170",15,17,12,10,4,9,5,5,5,5,1,2,4,4,4,7,5,6
"621","Chr4-13822060","LOC_Os04g24170",12,19,29,2,0,1,2,2,0,0,0,0,0,0,1,11,11,14
"622","Chr4-13821797","LOC_Os04g24170",138,130,122,108,106,114,160,110,146,61,56,62,43,45,39,219,221,223
"623","Chr4-16645532","LOC_Os04g28180",20,13,9,2,10,2,4,6,4,4,1,3,9,9,8,18,27,13
"624","Chr4-16645840","LOC_Os04g28180",2303,2332,2277,2397,2483,1987,754,744,764,1094,1255,1063,658,625,636,4263,4239,4261
"625","Chr4-16645602","LOC_Os04g28180",10,10,6,6,1,7,1,1,0,4,3,3,2,1,2,9,5,9
"626","Chr4+19411544","LOC_Os04g32370",6,21,15,6,0,17,24,18,16,20,10,15,9,18,13,13,9,9
"627","Chr4+19418448","LOC_Os04g32370",46,46,48,0,0,15,25,41,32,23,18,18,71,66,62,49,51,50
"628","Chr4+19418720","LOC_Os04g32370",17,15,12,16,19,18,67,65,69,31,30,35,122,118,94,19,10,23
"629","Chr4+19677678","LOC_Os04g32650",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"630","Chr4+19682169","LOC_Os04g32650",3,2,9,11,11,12,56,49,48,9,9,9,2,2,0,5,5,7
"631","Chr4+19682000","LOC_Os04g32650",71,66,65,156,103,153,228,214,215,41,25,70,18,18,25,107,65,95
"632","Chr4+19693301","LOC_Os04g32670",89,98,96,184,177,180,107,124,114,87,96,92,51,42,58,85,84,85
"633","Chr4+19694653","LOC_Os04g32670",6,9,13,1,1,1,1,0,1,3,1,1,1,1,1,7,12,15
"634","Chr4-20046676","LOC_Os04g33110",11,14,12,5,12,8,2,1,2,0,2,2,0,0,0,5,7,22
"635","Chr4-20045934","LOC_Os04g33110",421,461,416,5545,5504,5534,2343,2464,2168,1679,1626,1971,417,389,424,444,456,445
"636","Chr4-20124695","LOC_Os04g33280",10,45,4,32,29,28,88,99,92,34,33,34,14,13,15,31,6,20
"637","Chr4-20124949","LOC_Os04g33280",1,7,7,4,3,4,3,4,2,3,2,1,0,1,1,4,6,4
"638","Chr4-20125077","LOC_Os04g33280",84,87,89,51,65,31,121,124,106,50,61,64,67,50,67,108,107,140
"639","Chr4+20872624","LOC_Os04g34450",5,3,13,1,0,1,1,0,0,0,1,0,0,0,1,12,16,3
"640","Chr4+20872284","LOC_Os04g34450",229,227,248,79,91,94,100,89,97,128,78,144,202,236,207,178,157,175
"641","Chr4+20865574","LOC_Os04g34450",4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0
"642","Chr4+21268294","LOC_Os04g34984",1,12,3,4,5,1,1,2,1,3,2,1,8,12,9,2,1,1
"643","Chr4+21268742","LOC_Os04g34984",12,13,8,3,1,2,0,0,0,1,1,0,0,0,0,10,13,7
"644","Chr4+21265387","LOC_Os04g34984",5,0,5,1,1,4,0,1,0,2,4,9,0,0,0,1,1,0
"645","Chr4+21267966","LOC_Os04g34984",6,2,15,1,2,0,0,0,0,1,0,0,0,0,1,1,1,2
"646","Chr4+21268220","LOC_Os04g34984",52,52,53,66,54,62,43,48,40,64,52,85,48,47,61,56,77,30
"647","Chr4-21461913","LOC_Os04g35290",3,2,4,5,1,0,1,1,3,0,0,0,1,1,2,4,3,2
"648","Chr4-21462280","LOC_Os04g35290",8,9,9,1,6,15,0,0,0,1,0,1,1,2,0,7,5,8
"649","Chr4-21462068","LOC_Os04g35290",38,49,68,76,63,93,73,86,87,51,55,53,15,36,38,45,72,81
"650","Chr4+21847904","LOC_Os04g35840",28,13,37,6,11,9,4,3,2,20,19,10,4,10,10,12,12,12
"651","Chr4+21848067","LOC_Os04g35840",106,94,93,54,35,37,91,98,95,150,182,163,87,92,85,31,30,29
"652","Chr4-22837568","LOC_Os04g38410",0,0,0,0,1,0,0,0,1,2,1,2,0,0,3,0,1,2
"653","Chr4-22835915","LOC_Os04g38410",4,3,12,51,32,44,16116,15671,16019,2682,2299,2687,564,643,533,4,15,9
"654","Chr4-23182531","LOC_Os04g39030",3,3,1,1,0,0,1,0,0,2,2,1,3,6,3,2,0,1
"655","Chr4-23178432","LOC_Os04g39030",0,0,0,4,2,4,1,1,1,7,12,13,63,64,67,0,0,0
"656","Chr4+24375527","LOC_Os04g41100",16,7,4,2,3,2,0,0,0,0,0,0,1,2,2,11,10,9
"657","Chr4+24377215","LOC_Os04g41100",3,2,6,7,1,4,3,10,1,5,2,3,0,0,0,6,11,1
"658","Chr4+24375624","LOC_Os04g41100",0,0,3,7,5,4,0,0,0,1,0,0,0,0,0,0,1,0
"659","Chr4+24376982","LOC_Os04g41100",6,2,1,4,4,5,9,10,9,1,2,0,2,2,4,0,0,0
"660","Chr4+24375892","LOC_Os04g41100",0,3,2,4,5,2,3,6,1,0,3,1,0,2,1,0,0,0
"661","Chr4+24378221","LOC_Os04g41100",4,0,0,0,5,4,11,15,14,12,5,18,10,9,5,4,0,5
"662","Chr4+24378067","LOC_Os04g41100",0,0,2,5,6,6,1,6,0,1,2,1,3,2,1,0,0,0
"663","Chr4+24376899","LOC_Os04g41100",2,3,2,7,8,7,30,31,26,10,12,17,14,4,11,3,3,3
"664","Chr4+24375297","LOC_Os04g41100",157,168,166,255,307,246,143,161,156,64,71,60,66,67,79,95,96,101
"665","Chr4+24376800","LOC_Os04g41100",4,2,4,3,2,2,7,3,5,2,2,2,2,0,6,5,3,4
"666","Chr4+24377050","LOC_Os04g41100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667","Chr4+24378165","LOC_Os04g41100",1,0,1,2,1,3,3,4,3,4,0,4,0,1,1,3,1,8
"668","Chr4+24375988","LOC_Os04g41100",3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
"669","Chr4+24377632","LOC_Os04g41100",31,29,26,8,11,14,14,14,13,6,0,8,7,10,9,28,28,16
"670","Chr4+24468762","LOC_Os04g41229",0,0,0,0,1,2,60,69,67,0,0,0,0,0,0,0,0,0
"671","Chr4+24462034","LOC_Os04g41229",0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0
"672","Chr4+24505398","LOC_Os04g41280",0,1,0,3,1,4,0,0,0,10,9,14,29,27,33,1,0,1
"673","Chr4+24503052","LOC_Os04g41280",215,192,177,189,216,190,10,3,7,5,20,17,6,5,5,151,151,155
"674","Chr4+24515245","LOC_Os04g41310",0,3,0,0,0,0,58,56,59,40,25,29,0,0,0,0,0,0
"675","Chr4+24515684","LOC_Os04g41310",0,0,0,0,0,1,4,11,13,5,15,13,0,0,0,0,0,0
"676","Chr4+24515551","LOC_Os04g41310",0,3,2,0,0,0,8,6,16,6,7,1,0,0,0,0,0,0
"677","Chr4+24515494","LOC_Os04g41310",0,0,0,0,1,0,166,148,181,65,69,67,0,0,0,0,0,0
"678","Chr4+24515364","LOC_Os04g41310",0,1,2,0,0,0,80,82,85,54,42,47,0,0,1,0,0,0
"679","Chr4+25548760","LOC_Os04g43150",249,228,189,77,81,58,16,8,10,36,31,37,98,63,56,224,245,251
"680","Chr4+25548907","LOC_Os04g43150",116,119,130,51,49,22,35,43,33,37,41,43,67,52,59,137,145,126
"681","Chr4+25548632","LOC_Os04g43150",9,15,12,0,0,0,0,0,0,0,0,0,5,3,2,7,3,5
"682","Chr4-26023984","LOC_Os04g43916",16,26,22,18,9,3,22,19,26,37,29,33,23,23,24,15,5,4
"683","Chr4-26024059","LOC_Os04g43916",5,16,21,9,11,11,4,4,4,0,5,1,1,0,0,2,0,1
"684","Chr4+26494070","LOC_Os04g44710",16,3,8,4,3,0,9,9,5,16,12,12,32,26,26,5,5,8
"685","Chr4+26494603","LOC_Os04g44710",2,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"686","Chr4+26494227","LOC_Os04g44710",0,22,9,1,1,1,4,3,12,1,18,19,17,6,17,27,19,19
"687","Chr4-27260359","LOC_Os04g46020",7,16,5,6,9,3,33,36,39,113,107,113,89,103,119,20,20,17
"688","Chr4-27260424","LOC_Os04g46020",3,3,3,0,0,0,2,2,3,8,10,0,7,7,2,0,0,0
"689","Chr4-27260178","LOC_Os04g46020",0,0,0,0,0,0,8,4,5,23,15,27,11,12,9,0,0,0
"690","Chr4+28081226","LOC_Os04g47290",0,0,1,6,11,8,53,59,61,11,15,25,5,7,7,2,2,2
"691","Chr4+28080026","LOC_Os04g47290",0,0,0,0,0,0,1,0,2,0,7,3,0,0,2,0,0,0
"692","Chr4+28079833","LOC_Os04g47290",0,0,0,0,0,0,3,3,0,1,0,0,1,0,2,0,0,0
"693","Chr4+28079988","LOC_Os04g47290",0,0,0,0,0,0,2,1,3,0,0,0,1,3,2,0,0,1
"694","Chr4+28081326","LOC_Os04g47290",0,0,0,3,4,3,5,5,5,4,0,6,0,1,2,0,0,0
"695","Chr4+30018691","LOC_Os04g50740",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"696","Chr4+30021075","LOC_Os04g50740",10,7,8,5,5,6,0,0,0,0,3,0,0,3,2,17,30,25
"697","Chr4+30018590","LOC_Os04g50740",2,6,4,2,1,1,0,0,0,0,0,0,0,1,0,5,0,5
"698","Chr4+30020951","LOC_Os04g50740",23,25,11,4,2,6,0,0,0,0,0,0,0,0,0,11,8,14
"699","Chr4+30017597","LOC_Os04g50740",13,10,5,1,3,4,0,0,0,0,0,0,0,0,0,7,10,11
"700","Chr4+30017765","LOC_Os04g50740",9,6,14,8,7,2,0,0,0,0,0,0,0,0,1,28,11,15
