"","chrstrandcoord","gene","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"466","Chr3-5298441","LOC_Os03g10400",11,4,3,2,0,2,7,0,1,7,1,1,4,5,7,0,0,0
"467","Chr3-5348422","LOC_Os03g10510",247,228,187,406,413,437,230,238,189,162,219,156,217,200,269,264,284,142
"468","Chr3-5348097","LOC_Os03g10510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","Chr3-5779675","LOC_Os03g11240",0,0,3,1,1,1,2,2,3,2,2,0,1,1,1,12,13,12
"470","Chr3-5779638","LOC_Os03g11240",38,41,46,61,66,59,94,102,100,60,57,62,38,49,58,8,1,10
"471","Chr3-7103254","LOC_Os03g13170",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"472","Chr3-7103455","LOC_Os03g13170",41,64,58,1,0,1,3,3,0,11,5,4,1,1,2,0,0,0
"473","Chr3-7102176","LOC_Os03g13170",1062,1295,1514,1102,1124,1206,372,490,397,415,494,449,1226,1184,1271,747,719,673
"474","Chr3-7101925","LOC_Os03g13170",0,1,1,0,0,0,1,0,0,3,6,1,2,1,4,0,0,0
"475","Chr3-7103812","LOC_Os03g13170",5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476","Chr3-7102010","LOC_Os03g13170",0,0,3,10,15,4,8,0,2,0,0,0,3,4,7,0,0,0
"477","Chr3-7102946","LOC_Os03g13170",33,52,27,7,2,6,2,3,3,1,1,0,1,1,3,47,14,23
"478","Chr3-7102730","LOC_Os03g13170",1,4,0,0,0,0,1,0,0,0,0,0,2,4,0,3,1,1
"479","Chr3+7231671","LOC_Os03g13390",1,0,5,3,4,1,1,0,0,15,6,16,14,13,13,12,10,3
"480","Chr3+7231779","LOC_Os03g13390",2,2,2,1,1,0,0,1,1,0,3,1,0,1,1,0,0,2
"481","Chr3+7231507","LOC_Os03g13390",45,47,61,24,26,34,47,43,55,125,138,168,173,159,209,9,30,0
"482","Chr3+7675319","LOC_Os03g14120",2,2,1,4,3,3,3,2,6,3,3,0,0,1,0,2,0,0
"483","Chr3+7675543","LOC_Os03g14120",13,16,17,28,24,25,8,1,5,10,9,9,8,4,3,4,10,15
"484","Chr3+7675886","LOC_Os03g14120",43,42,28,43,38,47,25,39,27,14,17,17,11,12,15,26,42,34
"485","Chr3+7676702","LOC_Os03g14120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,104,12
"486","Chr3-7847873","LOC_Os03g14450",2,1,3,3,1,2,1,0,0,0,1,0,1,2,3,1,1,1
"487","Chr3-7847996","LOC_Os03g14450",330,292,307,353,348,336,99,106,75,105,106,90,206,205,224,397,405,725
"488","Chr3-8547193","LOC_Os03g15540",1,2,8,2,0,1,0,2,0,0,4,1,0,1,0,12,0,25
"489","Chr3-8546870","LOC_Os03g15540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,2
"490","Chr3-8546947","LOC_Os03g15540",86,84,88,68,74,60,59,61,61,81,82,72,75,81,98,19,53,113
"491","Chr3-8581457","LOC_Os03g15580",9,14,5,22,21,21,14,14,28,20,15,11,15,19,17,0,0,0
"492","Chr3-8581591","LOC_Os03g15580",4,3,0,5,0,8,0,0,4,2,8,5,4,3,4,13,13,15
"493","Chr3+9016497","LOC_Os03g16334",194,155,251,89,92,90,114,109,113,59,52,55,23,25,23,1,1,25
"494","Chr3+9016764","LOC_Os03g16334",1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","Chr3+9014396","LOC_Os03g16334",0,1,2,1,1,0,6,2,5,2,3,2,1,2,3,1,9,7
"496","Chr3+9252238","LOC_Os03g16700",23,30,17,41,46,44,156,157,155,108,89,83,48,49,51,17,9,327
"497","Chr3+9249735","LOC_Os03g16700",2,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"498","Chr3+9252587","LOC_Os03g16700",43,41,50,164,175,166,562,557,555,242,237,273,119,118,116,680,617,734
"499","Chr3+9247927","LOC_Os03g16700",0,2,1,0,0,0,0,0,1,4,1,0,0,0,0,2,6,1
"500","Chr3-10123820","LOC_Os03g18130",0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,0,0
"501","Chr3-10120288","LOC_Os03g18130",4,9,7,94,100,125,7,12,9,351,422,292,319,294,287,39,128,237
"502","Chr3-10196515","LOC_Os03g18190",2,1,3,2,1,2,6,6,6,2,3,5,1,0,1,7,18,20
"503","Chr3-10191681","LOC_Os03g18190",0,1,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,0
"504","Chr3-10478483","LOC_Os03g18720",228,274,305,91,90,99,51,143,81,133,140,124,231,234,248,113,127,135
"505","Chr3-10480975","LOC_Os03g18720",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"506","Chr3-10478135","LOC_Os03g18720",11,20,9,1,3,1,1,1,1,4,2,3,4,6,5,0,19,8
"507","Chr3-10478323","LOC_Os03g18720",14,23,18,11,10,10,5,5,3,9,9,15,17,14,16,5,42,3
"508","Chr3-11007598","LOC_Os03g19580",46,46,50,61,80,64,97,95,97,81,92,85,115,134,146,32,8,94
"509","Chr3-11007785","LOC_Os03g19580",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35,61
"510","Chr3+11272950","LOC_Os03g20010",11,22,22,87,74,96,187,197,266,205,217,206,61,72,66,20,44,106
"511","Chr3+11273211","LOC_Os03g20010",0,0,1,3,11,1,25,25,21,16,16,19,4,2,8,0,0,0
"512","Chr3-12358932","LOC_Os03g21650",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
"513","Chr3-12359111","LOC_Os03g21650",134,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514","Chr3+12494791","LOC_Os03g21850",5,3,2,6,7,7,5,4,3,4,10,6,3,3,0,58,10,50
"515","Chr3+12493764","LOC_Os03g21850",2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516","Chr3+12495617","LOC_Os03g21850",1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517","Chr3+12500195","LOC_Os03g21850",13,14,12,1,2,3,3,0,6,4,2,3,1,1,1,1,3,0
"518","Chr3+12500011","LOC_Os03g21850",262,266,289,36,38,41,53,32,47,54,54,60,31,39,20,94,35,5
"519","Chr3-12823606","LOC_Os03g22400",14,10,5,9,7,11,11,10,10,13,8,15,3,0,1,1,0,0
"520","Chr3-12823981","LOC_Os03g22400",36,36,27,45,33,33,48,59,65,58,111,76,40,54,50,1,63,34
"521","Chr3-12823726","LOC_Os03g22400",7,13,3,13,6,10,8,11,14,21,19,12,8,10,6,0,0,0
"522","Chr3-13122593","LOC_Os03g22720",32,58,45,41,22,38,51,55,54,39,35,34,32,50,44,95,53,124
"523","Chr3-13122744","LOC_Os03g22720",4,0,1,1,1,1,1,1,0,2,0,1,2,2,2,20,15,3
"524","Chr3-15967318","LOC_Os03g27830",0,0,0,1,5,6,6,3,1,3,1,0,1,1,2,0,0,0
"525","Chr3-15969754","LOC_Os03g27830",0,0,0,4,5,1,0,0,4,0,0,1,0,0,0,2,0,0
"526","Chr3-15967901","LOC_Os03g27830",4,21,26,6,6,6,11,27,13,18,15,18,19,19,21,3,0,0
"527","Chr3-15967045","LOC_Os03g27830",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,34
"528","Chr3-15968050","LOC_Os03g27830",2,4,0,3,2,1,4,8,1,6,4,4,7,8,8,6,13,22
"529","Chr3-15966789","LOC_Os03g27830",0,4,1,0,1,1,0,0,0,1,2,1,0,0,1,0,0,0
"530","Chr3+16632280","LOC_Os03g29240",1,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0
"531","Chr3+16631923","LOC_Os03g29240",178,118,92,164,120,134,41,52,39,65,71,65,228,228,240,329,241,272
"532","Chr3-17265532","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14
"533","Chr3-17262563","LOC_Os03g30260",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"534","Chr3-17262487","LOC_Os03g30260",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"535","Chr3-19518896","LOC_Os03g34300",38,31,42,142,156,148,229,240,227,188,141,145,147,163,184,182,182,276
"536","Chr3-19519047","LOC_Os03g34300",3,3,3,4,0,6,7,0,4,2,4,4,3,0,2,97,0,50
"537","Chr3-21002655","LOC_Os03g37840",0,0,0,4,5,10,30,33,22,68,65,57,7,13,11,0,0,0
"538","Chr3-21003023","LOC_Os03g37840",0,0,0,3,1,0,10,3,6,33,25,12,5,5,5,0,0,0
"539","Chr3-21002883","LOC_Os03g37840",1,1,1,15,7,10,59,45,58,103,106,106,25,26,32,42,2,9
"540","Chr3-22168103","LOC_Os03g39860",0,0,0,1,3,2,55,13,9,11,20,2,3,8,3,0,0,0
"541","Chr3-22167896","LOC_Os03g39860",0,0,0,1,1,3,10,9,10,2,2,5,2,2,1,0,0,0
"542","Chr3-22164643","LOC_Os03g39860",63,49,55,122,118,125,954,993,1102,346,347,319,82,91,81,162,59,292
"543","Chr3-22167574","LOC_Os03g39860",0,0,0,3,0,0,23,33,25,5,17,15,6,5,3,1,1,0
"544","Chr3-22169781","LOC_Os03g39860",2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545","Chr3+22377852","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,61
"546","Chr3+22380017","LOC_Os03g40260",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547","Chr3+22377915","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,22
"548","Chr3+22380147","LOC_Os03g40260",16,10,18,19,29,54,24,21,23,17,26,23,11,7,20,247,91,223
"549","Chr3-24049423","LOC_Os03g43114",0,0,0,0,0,0,3,2,2,0,1,3,0,1,1,0,0,0
"550","Chr3-24052867","LOC_Os03g43114",0,0,0,2,7,12,7,12,32,12,16,18,7,8,6,5,6,0
"551","Chr3-24052315","LOC_Os03g43114",0,0,2,7,8,8,26,12,20,12,11,11,6,6,11,22,1,33
"552","Chr3-24053082","LOC_Os03g43114",0,0,0,2,3,0,0,2,1,4,5,3,1,0,2,5,11,11
"553","Chr3+26439236","LOC_Os03g46710",27,31,20,45,50,37,38,28,30,25,30,32,40,44,53,1,0,3
"554","Chr3+26439085","LOC_Os03g46710",13,13,2,12,5,22,4,8,6,19,12,9,15,15,15,28,17,9
"555","Chr3+27123759","LOC_Os03g47780",26,28,10,55,59,52,30,19,27,43,41,50,34,28,41,3,12,10
"556","Chr3+27120063","LOC_Os03g47780",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,10,4
"557","Chr3+27256555","LOC_Os03g47940",39,28,48,139,116,155,0,0,0,0,0,0,0,0,0,164,79,6
"558","Chr3+27252695","LOC_Os03g47940",0,0,0,1,2,3,1,1,1,0,0,0,0,0,0,12,11,15
"559","Chr3-27300750","LOC_Os03g48030",11,2,4,10,10,9,57,54,62,25,24,21,5,2,4,0,0,0
"560","Chr3-27300866","LOC_Os03g48030",8,18,9,13,33,43,319,344,384,154,131,137,18,26,31,1,0,0
"561","Chr3-27300940","LOC_Os03g48030",0,0,0,0,1,0,39,33,26,18,3,6,1,1,1,0,0,0
"562","Chr3-27300989","LOC_Os03g48030",0,3,2,1,0,2,16,17,19,3,3,8,7,3,0,0,0,0
"563","Chr3+27825665","LOC_Os03g48840",86,95,85,28,41,42,10,11,28,10,9,12,34,26,25,0,0,33
"564","Chr3+27823905","LOC_Os03g48840",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","Chr3-30062335","LOC_Os03g52340",106,94,89,42,44,43,28,22,58,77,54,29,35,56,42,49,44,54
"566","Chr3-30062223","LOC_Os03g52340",0,2,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"567","Chr3-32360717","LOC_Os03g56790",961,985,876,466,478,487,1026,1015,1023,600,570,631,1074,1015,1013,1273,728,768
"568","Chr3-32361758","LOC_Os03g56790",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","Chr3-32363116","LOC_Os03g56790",4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570","Chr3-32363706","LOC_Os03g56790",11,14,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"571","Chr3+32378357","LOC_Os03g56820",49,88,68,70,71,57,3,1,2,1,1,1,1,1,0,90,52,203
"572","Chr3+32378673","LOC_Os03g56820",6,1,6,17,22,13,1,2,2,0,0,2,0,0,0,7,42,3
"573","Chr3-32570108","LOC_Os03g57130",3,8,0,0,2,1,4,4,3,7,0,2,9,4,2,0,0,0
"574","Chr3-32570066","LOC_Os03g57130",31,101,3,41,48,49,118,109,105,191,154,182,124,112,136,69,31,162
"575","Chr3+33035379","LOC_Os03g58010",15,0,7,7,5,4,22,17,27,35,33,32,20,8,12,0,0,0
"576","Chr3+33035627","LOC_Os03g58010",2,2,0,1,1,1,27,17,24,27,31,30,6,12,5,54,63,2
"577","Chr3+33187191","LOC_Os03g58240",35,18,33,65,69,56,38,32,3,53,36,48,37,22,38,140,30,29
"578","Chr3+33183983","LOC_Os03g58240",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,8
"579","Chr3-33190872","LOC_Os03g58250",1,6,13,7,3,6,1,3,6,2,1,6,6,0,2,0,0,0
"580","Chr3-33187380","LOC_Os03g58250",24,26,25,22,15,39,52,52,76,109,85,84,31,29,33,40,88,25
"581","Chr3-33539234","LOC_Os03g58910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Chr3-33530087","LOC_Os03g58910",49,71,93,20,15,25,20,21,23,36,35,19,35,33,40,5,49,30
"583","Chr3-33530530","LOC_Os03g58910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","Chr3-33530257","LOC_Os03g58910",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585","Chr3-33530461","LOC_Os03g58910",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"586","Chr3+33713385","LOC_Os03g59200",3,12,7,32,34,29,8,5,4,3,0,0,0,5,1,7,18,19
"587","Chr3+33713543","LOC_Os03g59200",3,3,3,17,21,15,3,1,4,1,0,0,0,0,1,0,0,0
"588","Chr3+33713681","LOC_Os03g59200",0,0,0,6,4,4,1,0,1,0,0,0,0,0,0,0,0,0
"589","Chr3+33734975","LOC_Os03g59240",17,12,14,110,126,111,0,4,4,4,4,6,7,4,7,8,21,14
"590","Chr3+33735183","LOC_Os03g59240",0,0,1,15,15,17,0,3,0,0,1,0,1,0,1,0,0,0
"591","Chr3+33734791","LOC_Os03g59240",2,1,1,2,3,4,3,1,0,1,1,1,0,0,0,0,0,0
"592","Chr3-34820693","LOC_Os03g61340",50,17,41,104,110,105,136,110,136,125,93,117,193,225,209,7,49,17
"593","Chr3-34820824","LOC_Os03g61340",12,8,14,5,7,9,9,15,11,34,35,31,22,17,22,2,3,3
"594","Chr3-35447854","LOC_Os03g62640",8,0,4,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0
"595","Chr3-35446445","LOC_Os03g62640",154,166,47,50,57,98,136,145,97,131,169,141,101,126,116,12,109,89
"596","Chr3-35447557","LOC_Os03g62640",4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597","Chr3-35447302","LOC_Os03g62640",0,1,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0
"598","Chr3-35664360","LOC_Os03g63074",966,767,750,8,7,5,6,3,6,0,2,1,7,9,10,7,7,21
"599","Chr3-35659856","LOC_Os03g63074",10,2,8,19,19,18,11,16,20,40,27,25,5,7,7,1,2,1
"600","Chr3-35660476","LOC_Os03g63074",0,0,0,1,4,2,0,0,0,1,1,3,0,0,0,0,0,0
"601","Chr3-35665518","LOC_Os03g63074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602","Chr3+36175491","LOC_Os03g64010",8,4,2,8,7,14,11,19,14,16,15,16,8,9,9,15,28,33
"603","Chr3+36175371","LOC_Os03g64010",32,5,96,74,58,51,182,185,178,194,180,173,163,170,136,66,64,59
"604","Chr3+36175655","LOC_Os03g64010",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"605","Chr3-36265888","LOC_Os03g64190",4,11,5,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0
"606","Chr3-36265551","LOC_Os03g64190",84,91,90,73,70,64,76,94,53,54,65,70,56,68,64,58,66,29
"607","Chr3-36265422","LOC_Os03g64190",7,17,7,1,0,1,1,4,1,4,0,2,0,0,1,0,0,0
"608","Chr4-227055","LOC_Os04g01300",36,28,41,34,51,51,7,2,7,14,7,10,18,29,17,2,5,4
"609","Chr4-226904","LOC_Os04g01300",107,360,228,858,857,835,174,156,166,191,196,220,285,272,262,243,133,82
"610","Chr4-4446093","LOC_Os04g08330",12,5,13,7,2,1,0,6,5,1,5,1,1,4,2,43,57,8
"611","Chr4-4446276","LOC_Os04g08330",47,55,35,15,13,30,43,40,30,30,24,23,21,16,17,17,28,3
"612","Chr4-4446462","LOC_Os04g08330",14,24,26,19,14,11,20,21,17,10,13,12,19,17,22,2,2,0
"613","Chr4+4455326","LOC_Os04g08340",21,14,11,5,1,0,3,1,4,2,3,3,4,4,3,0,5,9
"614","Chr4+4455129","LOC_Os04g08340",4,0,5,0,2,1,4,3,0,1,0,1,3,4,0,0,0,0
"615","Chr4+4455602","LOC_Os04g08340",2,2,3,0,3,0,1,1,1,2,1,0,3,0,2,0,0,0
"616","Chr4+4455445","LOC_Os04g08340",4,3,5,1,1,1,3,3,2,0,0,3,7,8,8,0,0,0
"617","Chr4-8310605","LOC_Os04g14790",3,0,2,2,0,2,0,2,2,2,2,2,0,0,0,0,0,0
"618","Chr4-8307366","LOC_Os04g14790",45,37,15,38,23,50,98,87,114,121,124,122,95,85,88,97,0,44
"619","Chr4-13821867","LOC_Os04g24170",3,3,3,2,3,0,4,4,0,0,1,0,0,0,2,10,0,10
"620","Chr4-13821597","LOC_Os04g24170",10,4,9,3,3,5,7,4,4,5,5,5,5,9,10,0,1,0
"621","Chr4-13822060","LOC_Os04g24170",2,0,1,0,0,0,2,0,1,2,2,0,1,0,1,0,0,0
"622","Chr4-13821797","LOC_Os04g24170",108,106,114,35,49,61,126,109,124,160,110,146,157,163,168,126,64,190
"623","Chr4-16645532","LOC_Os04g28180",2,10,2,8,9,10,8,3,5,4,6,4,5,7,7,0,0,0
"624","Chr4-16645840","LOC_Os04g28180",2397,2483,1987,1453,1498,1430,518,554,545,754,744,764,2364,2316,2309,1012,1215,1304
"625","Chr4-16645602","LOC_Os04g28180",6,1,7,1,2,1,0,0,0,1,1,0,2,1,2,0,0,0
"626","Chr4+19411544","LOC_Os04g32370",6,0,17,18,19,18,39,38,38,24,18,16,14,13,23,117,41,141
"627","Chr4+19418448","LOC_Os04g32370",0,0,15,4,13,4,34,35,16,25,41,32,19,20,23,1,0,0
"628","Chr4+19418720","LOC_Os04g32370",16,19,18,27,21,24,17,29,24,67,65,69,45,35,42,59,47,56
"629","Chr4+19677678","LOC_Os04g32650",0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,5,2
"630","Chr4+19682169","LOC_Os04g32650",11,11,12,28,36,37,61,60,76,56,49,48,36,36,27,3,2,8
"631","Chr4+19682000","LOC_Os04g32650",156,103,153,159,160,160,140,84,191,228,214,215,153,154,159,80,21,84
"632","Chr4+19693301","LOC_Os04g32670",184,177,180,69,79,61,113,80,120,107,124,114,170,197,160,29,68,132
"633","Chr4+19694653","LOC_Os04g32670",1,1,1,1,1,1,2,2,2,1,0,1,0,1,1,1,2,2
"634","Chr4-20046676","LOC_Os04g33110",5,12,8,0,0,0,6,6,5,2,1,2,1,0,0,0,0,0
"635","Chr4-20045934","LOC_Os04g33110",5545,5504,5534,1558,1321,1568,5601,5797,5649,2343,2464,2168,4122,4254,3997,3884,1157,205
"636","Chr4-20124695","LOC_Os04g33280",32,29,28,29,16,20,68,68,71,88,99,92,56,48,55,2,39,24
"637","Chr4-20124949","LOC_Os04g33280",4,3,4,0,0,1,1,3,7,3,4,2,5,0,6,0,0,0
"638","Chr4-20125077","LOC_Os04g33280",51,65,31,80,70,83,139,142,152,121,124,106,84,94,98,35,3,23
"639","Chr4+20872624","LOC_Os04g34450",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"640","Chr4+20872284","LOC_Os04g34450",79,91,94,138,124,138,111,108,114,100,89,97,89,91,71,158,185,144
"641","Chr4+20865574","LOC_Os04g34450",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"642","Chr4+21268294","LOC_Os04g34984",4,5,1,0,4,3,1,1,4,1,2,1,1,0,1,0,0,0
"643","Chr4+21268742","LOC_Os04g34984",3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644","Chr4+21265387","LOC_Os04g34984",1,1,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"645","Chr4+21267966","LOC_Os04g34984",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"646","Chr4+21268220","LOC_Os04g34984",66,54,62,31,49,45,11,39,32,43,48,40,60,54,54,11,5,1
"647","Chr4-21461913","LOC_Os04g35290",5,1,0,4,1,1,5,2,5,1,1,3,3,2,3,0,0,0
"648","Chr4-21462280","LOC_Os04g35290",1,6,15,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0
"649","Chr4-21462068","LOC_Os04g35290",76,63,93,75,74,84,62,114,65,73,86,87,137,98,119,61,93,0
"650","Chr4+21847904","LOC_Os04g35840",6,11,9,26,23,11,9,11,9,4,3,2,13,11,12,3,14,5
"651","Chr4+21848067","LOC_Os04g35840",54,35,37,175,172,183,280,294,285,91,98,95,203,208,195,74,54,7
"652","Chr4-22837568","LOC_Os04g38410",0,1,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0
"653","Chr4-22835915","LOC_Os04g38410",51,32,44,33448,33726,33788,29764,30436,30313,16116,15671,16019,1677,1798,2019,1251,1363,794
"654","Chr4-23182531","LOC_Os04g39030",1,0,0,13,3,2,7,7,7,1,0,0,1,0,1,8,0,0
"655","Chr4-23178432","LOC_Os04g39030",4,2,4,0,0,0,0,0,0,1,1,1,0,0,0,111,12,29
"656","Chr4+24375527","LOC_Os04g41100",2,3,2,2,0,2,2,2,2,0,0,0,1,1,1,0,0,0
"657","Chr4+24377215","LOC_Os04g41100",7,1,4,3,2,1,1,2,1,3,10,1,0,0,1,0,0,0
"658","Chr4+24375624","LOC_Os04g41100",7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"659","Chr4+24376982","LOC_Os04g41100",4,4,5,0,11,7,12,17,19,9,10,9,9,5,11,1,2,1
"660","Chr4+24375892","LOC_Os04g41100",4,5,2,3,0,1,3,0,2,3,6,1,1,1,0,0,0,0
"661","Chr4+24378221","LOC_Os04g41100",0,5,4,12,12,11,27,21,34,11,15,14,19,9,9,18,15,2
"662","Chr4+24378067","LOC_Os04g41100",5,6,6,5,2,5,7,4,4,1,6,0,0,2,3,0,0,0
"663","Chr4+24376899","LOC_Os04g41100",7,8,7,21,16,10,5,3,19,30,31,26,22,17,24,11,11,23
"664","Chr4+24375297","LOC_Os04g41100",255,307,246,69,46,45,117,123,70,143,161,156,130,137,120,113,181,107
"665","Chr4+24376800","LOC_Os04g41100",3,2,2,0,0,2,3,3,3,7,3,5,0,6,0,15,3,7
"666","Chr4+24377050","LOC_Os04g41100",0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,236,88,92
"667","Chr4+24378165","LOC_Os04g41100",2,1,3,3,3,4,16,10,6,3,4,3,1,4,5,1,3,3
"668","Chr4+24375988","LOC_Os04g41100",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"669","Chr4+24377632","LOC_Os04g41100",8,11,14,7,9,5,9,7,17,14,14,13,13,14,3,2,0,6
"670","Chr4+24468762","LOC_Os04g41229",0,1,2,52,72,64,59,60,61,60,69,67,7,8,19,0,0,0
"671","Chr4+24462034","LOC_Os04g41229",1,7,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"672","Chr4+24505398","LOC_Os04g41280",3,1,4,3,3,3,0,1,2,0,0,0,0,1,0,2,12,19
"673","Chr4+24503052","LOC_Os04g41280",189,216,190,8,4,3,9,8,18,10,3,7,10,17,11,34,11,50
"674","Chr4+24515245","LOC_Os04g41310",0,0,0,20,12,12,22,6,18,58,56,59,74,66,62,8,14,17
"675","Chr4+24515684","LOC_Os04g41310",0,0,1,0,0,0,2,0,0,4,11,13,10,10,7,0,0,0
"676","Chr4+24515551","LOC_Os04g41310",0,0,0,1,0,0,0,0,0,8,6,16,10,11,7,1,0,0
"677","Chr4+24515494","LOC_Os04g41310",0,1,0,42,2,15,26,47,17,166,148,181,150,142,149,55,52,8
"678","Chr4+24515364","LOC_Os04g41310",0,0,0,10,9,12,23,15,18,80,82,85,71,92,79,11,14,2
"679","Chr4+25548760","LOC_Os04g43150",77,81,58,27,29,18,15,14,13,16,8,10,17,19,18,59,74,267
"680","Chr4+25548907","LOC_Os04g43150",51,49,22,45,42,39,29,28,26,35,43,33,35,35,48,20,5,11
"681","Chr4+25548632","LOC_Os04g43150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682","Chr4-26023984","LOC_Os04g43916",18,9,3,129,86,11,42,48,48,22,19,26,39,37,46,0,21,59
"683","Chr4-26024059","LOC_Os04g43916",9,11,11,5,4,7,8,6,6,4,4,4,3,0,3,0,0,0
"684","Chr4+26494070","LOC_Os04g44710",4,3,0,2,15,11,6,10,13,9,9,5,4,4,5,4,1,3
"685","Chr4+26494603","LOC_Os04g44710",1,0,1,0,2,2,0,0,0,0,0,0,1,3,0,1,3,0
"686","Chr4+26494227","LOC_Os04g44710",1,1,1,7,10,8,9,5,1,4,3,12,1,1,1,0,0,0
"687","Chr4-27260359","LOC_Os04g46020",6,9,3,84,99,76,36,44,33,33,36,39,82,74,64,11,32,44
"688","Chr4-27260424","LOC_Os04g46020",0,0,0,6,9,9,0,0,8,2,2,3,2,2,4,0,0,0
"689","Chr4-27260178","LOC_Os04g46020",0,0,0,14,8,10,7,6,6,8,4,5,8,7,11,0,0,0
"690","Chr4+28081226","LOC_Os04g47290",6,11,8,10,10,10,71,71,80,53,59,61,7,17,18,12,5,6
"691","Chr4+28080026","LOC_Os04g47290",0,0,0,0,4,3,3,0,1,1,0,2,0,1,0,0,0,0
"692","Chr4+28079833","LOC_Os04g47290",0,0,0,1,1,0,3,5,4,3,3,0,0,0,2,0,0,0
"693","Chr4+28079988","LOC_Os04g47290",0,0,0,5,1,7,1,5,1,2,1,3,0,0,0,0,0,0
"694","Chr4+28081326","LOC_Os04g47290",3,4,3,1,2,1,9,5,9,5,5,5,2,1,0,0,0,0
"695","Chr4+30018691","LOC_Os04g50740",0,0,0,2,2,2,7,7,5,0,0,0,0,0,0,10,16,14
"696","Chr4+30021075","LOC_Os04g50740",5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"697","Chr4+30018590","LOC_Os04g50740",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"698","Chr4+30020951","LOC_Os04g50740",4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
